"Taxon","Replicate","N_inoculation_cells_per_L","delta_Ninoc_to_N0_min"
"Acinetobacter","R1",16062358,51.05
"Acinetobacter","R2",33650112,52.05
"Acinetobacter","R3",23988650,60.05
"Acinetobacter","R4",33433861,72.05
"Acinetobacter","R5",50282571,58.05
"Aeromonas_A","R1",27411143,54.07
"Aeromonas_A","R2",49951833,62.07
"Aeromonas_A","R3",17066101,61.07
"Aeromonas_A","R4",25492091,58.07
"Aeromonas_A","R5",41121033,72.07
"Aeromonas_B","R1",18479941,48.03
"Aeromonas_B","R2",18242149,56.05
"Aeromonas_B","R3",10139761,55.05
"Aeromonas_B","R4",8337845,62.05
"Aeromonas_B","R5",6205863,57.05
"Arthrobacter","R1",29357357,55.05
"Arthrobacter","R2",19900344,62.05
"Arthrobacter","R3",39249930,62.05
"Arthrobacter","R4",35417466,65.05
"Arthrobacter","R5",34367880,69.05
"Bacillus","R1",356754,53.07
"Bacillus","R2",1809324,57.07
"Bacillus","R3",890068,65.07
"Bacillus","R4",717986,75.07
"Bacillus","R5",5085897,55.07
"Burkholderia","R1",36034336,58.05
"Burkholderia","R2",51496286,60.05
"Burkholderia","R3",38743904,63.05
"Burkholderia","R4",33144601,65.05
"Burkholderia","R5",26850611,74.05
"Buttiauxella","R1",43112652,52.05
"Buttiauxella","R2",36488051,54.05
"Buttiauxella","R3",37743289,57.05
"Buttiauxella","R4",67279010,63.05
"Buttiauxella","R5",32911666,63.05
"Chromobacterium","R1",16941126,61.07
"Chromobacterium","R2",15978596,65.07
"Chromobacterium","R3",11105852,65.07
"Chromobacterium","R4",17515292,71.07
"Chromobacterium","R5",15169334,63.07
"Chryseobacterium","R1",96788408,61.07
"Chryseobacterium","R2",64658634,71.07
"Chryseobacterium","R3",67299287,74.07
"Chryseobacterium","R4",65470869,72.07
"Chryseobacterium","R5",88333103,81.07
"Flavobacterium_A","R1",35541651,48.07
"Flavobacterium_A","R2",73376407,57.07
"Flavobacterium_A","R3",17593213,62.07
"Flavobacterium_A","R4",22555011,67.07
"Flavobacterium_A","R5",23374212,71.07
"Flavobacterium_B","R1",17750484,46.03
"Flavobacterium_B","R2",17962165,55.05
"Flavobacterium_B","R3",22606615,59.05
"Flavobacterium_B","R4",14766334,59.05
"Flavobacterium_B","R5",29780339,74.05
"Herbaspirillum","R1",88924196,56.05
"Herbaspirillum","R2",48176184,68.05
"Herbaspirillum","R3",37099546,80.05
"Herbaspirillum","R4",57827187,63.05
"Herbaspirillum","R5",76489435,63.05
"Pseudomonas","R1",12813020,54.07
"Pseudomonas","R2",23832992,60.07
"Pseudomonas","R3",13844264,70.07
"Pseudomonas","R4",36853034,66.07
"Pseudomonas","R5",28491160,70.07
"Serratia","R1",40253536,55.07
"Serratia","R2",9493743,52.07
"Serratia","R3",23501749,52.07
"Serratia","R4",14744954,57.07
"Serratia","R5",9887530,54.07
"Yersinia","R1",2626056,54.07
"Yersinia","R2",5713872,55.07
"Yersinia","R3",6032927,55.07
"Yersinia","R4",7935641,59.07
"Yersinia","R5",9132343,53.07
