Taxon,cell_width_um,cell_length_um,cell_volume_um3,carbon_density_fg_per_um3,cell_carbon_fg
Acinetobacter,0.85,1.8,0.8606,100,86.0633
Aeromonas_A,0.65,2.25,0.6747,100,67.4722
Aeromonas_B,0.65,2.25,0.6747,100,67.4722
Arthrobacter,0.68,2.4,0.7893,100,78.9285
Bacillus,0.75,2.75,1.1045,100,110.4466
Burkholderia,0.65,2.4,0.7245,100,72.449700000000007
Buttiauxella,0.65,2.4,0.7245,100,72.449700000000007
Chromobacterium,0.68,2.25,0.7348,100,73.481
Chryseobacterium,0.58,2.1,0.5038,100,50.3756
Flavobacterium_A,0.55,2.4,0.5266,100,52.6642
Flavobacterium_B,0.55,2.4,0.5266,100,52.6642
Herbaspirillum,0.65,2.4,0.7245,100,72.449700000000007
Pseudomonas,0.65,2.25,0.6747,100,67.4722
Serratia,0.62,1.9,0.5112,100,51.1229
Yersinia,0.65,2,0.5918,100,59.1765
