Taxon,s
Acinetobacter,0.8265814735008725
Aeromonas_A,-0.3039478777263931
Aeromonas_B,0.2734509613840076
Arthrobacter,-0.058489063103319534
Bacillus,-0.8907736762683294
Burkholderia,0.003489931223242647
Buttiauxella,0.06986729676128944
Chromobacterium,-0.19949813600859365
Chryseobacterium,0.14680949328806506
Flavobacterium_A,-0.30288233814207116
Flavobacterium_B,0.8637276912499199
Herbaspirillum,-0.0731556163172948
Pseudomonas,0.44466281835528176
Serratia,-0.09992704075770799
Yersinia,-0.018915124800430803
