Taxon,log_R,mu_tax_collapsed
Acinetobacter,2.3558785640055895,1.9807178312256535
Acinetobacter,2.360290328711472,1.9824831981989979
Acinetobacter,2.364702093417354,1.9842485651723423
Acinetobacter,2.3691138581232365,1.9860139321456869
Acinetobacter,2.373525622829119,1.9877792991190313
Acinetobacter,2.377937387535001,1.989544666092376
Acinetobacter,2.3823491522408835,1.9913100330657203
Acinetobacter,2.386760916946766,1.9930754000390647
Acinetobacter,2.391172681652648,1.9948407670124093
Acinetobacter,2.3955844463585305,1.9966061339857537
Acinetobacter,2.399996211064413,1.998371500959098
Acinetobacter,2.404407975770295,2.0001368679324427
Acinetobacter,2.4088197404761775,2.001902234905787
Acinetobacter,2.41323150518206,2.0036676018791315
Acinetobacter,2.417643269887942,2.005432968852476
Acinetobacter,2.4220550345938245,2.0071983358258203
Acinetobacter,2.426466799299707,2.008963702799165
Acinetobacter,2.430878564005589,2.0107290697725095
Acinetobacter,2.4352903287114716,2.012494436745854
Acinetobacter,2.439702093417354,2.0142598037191983
Acinetobacter,2.4441138581232362,2.0160251706925427
Acinetobacter,2.448525622829119,2.0177905376658876
Acinetobacter,2.4529373875350013,2.019555904639232
Acinetobacter,2.4573491522408837,2.0213212716125764
Acinetobacter,2.461760916946766,2.023086638585921
Acinetobacter,2.4661726816526484,2.0248520055592656
Acinetobacter,2.4705844463585307,2.02661737253261
Acinetobacter,2.474996211064413,2.0283827395059544
Acinetobacter,2.4794079757702954,2.0301481064792988
Acinetobacter,2.4838197404761777,2.031913473452643
Acinetobacter,2.48823150518206,2.033678840425988
Acinetobacter,2.4926432698879424,2.0354442073993324
Acinetobacter,2.4970550345938247,2.037209574372677
Acinetobacter,2.501466799299707,2.038974941346021
Acinetobacter,2.5058785640055894,2.0407403083193656
Acinetobacter,2.5102903287114717,2.04250567529271
Acinetobacter,2.514702093417354,2.044271042266055
Acinetobacter,2.5191138581232364,2.0460364092393992
Acinetobacter,2.5235256228291187,2.0478017762127436
Acinetobacter,2.527937387535001,2.049567143186088
Acinetobacter,2.5323491522408834,2.0513325101594324
Acinetobacter,2.5367609169467658,2.0530978771327772
Acinetobacter,2.541172681652648,2.0548632441061216
Acinetobacter,2.5455844463585304,2.056628611079466
Acinetobacter,2.5499962110644128,2.0583939780528104
Acinetobacter,2.554407975770295,2.060159345026155
Acinetobacter,2.5588197404761774,2.0619247119994992
Acinetobacter,2.5632315051820598,2.063690078972844
Acinetobacter,2.567643269887942,2.0654554459461885
Acinetobacter,2.5720550345938245,2.067220812919533
Acinetobacter,2.576466799299707,2.0689861798928773
Acinetobacter,2.580878564005589,2.0707515468662216
Acinetobacter,2.5852903287114715,2.072516913839566
Acinetobacter,2.589702093417354,2.074282280812911
Acinetobacter,2.594113858123236,2.0760476477862553
Acinetobacter,2.5985256228291185,2.0778130147595997
Acinetobacter,2.602937387535001,2.079578381732944
Acinetobacter,2.607349152240883,2.0813437487062885
