Taxon,slope_tax,se_tax,lo,hi,Taxon_ord
Yersinia,0.15901124225587204,0.05501330518715284,0.05118516408905248,0.2668373204226916,Yersinia
Aeromonas_B,0.1725798140543673,0.055088752036976905,0.06460586006189255,0.280553768046842,Aeromonas_B
Herbaspirillum,0.20850598444529406,0.05467065903673625,0.10135149273329101,0.3156604761572971,Herbaspirillum
Arthrobacter,0.21143072091476206,0.05517982860038954,0.10327825685799857,0.31958318497152555,Arthrobacter
Chromobacterium,0.23277596367414782,0.055374814414199114,0.12424132742231757,0.34131059992597806,Chromobacterium
Buttiauxella,0.24561105749195133,0.05507233289757231,0.1376692850127096,0.3535528299711931,Buttiauxella
Burkholderia,0.24986754915185844,0.05508485574663995,0.1419012318884441,0.35783386641527276,Burkholderia
Pseudomonas,0.26467535105564544,0.05520963487066296,0.15646446670914604,0.37288623540214483,Pseudomonas
Bacillus,0.2656241144168634,0.061472200843117476,0.14513860076435314,0.38610962806937366,Bacillus
Aeromonas_A,0.27829904061427013,0.055185699340887615,0.17013506990613042,0.38646301132240984,Aeromonas_A
Serratia,0.3078590968399729,0.05532524181408774,0.19942162288436094,0.4162965707955849,Serratia
Chryseobacterium,0.31363144161485124,0.0546403406914536,0.2065363738596022,0.42072650937010025,Chryseobacterium
Flavobacterium_A,0.3470844743751007,0.05524392311806053,0.23880638506370205,0.45536256368649936,Flavobacterium_A
Acinetobacter,0.4001498471848133,0.05608783879810787,0.2902176831405219,0.5100820112291047,Acinetobacter
Flavobacterium_B,0.593444804453462,0.05636901322193103,0.48296153853847723,0.7039280703684468,Flavobacterium_B
