Taxon,N0_CV,draw_model,n_reps,R_rel_sd_med,R_rel_sd_min,R_rel_sd_max,N0_CV_pct,scenario
Acinetobacter,0.1,lognormal,5,0.09974680138129068,0.09300206289538523,0.10335856131130686,10,cv10_lognormal
Aeromonas_A,0.1,lognormal,5,0.10062943421187394,0.09428632164091343,0.10101182826227292,10,cv10_lognormal
Aeromonas_B,0.1,lognormal,5,0.10024559930026773,0.0937029494168409,0.10260788270202102,10,cv10_lognormal
Arthrobacter,0.1,lognormal,5,0.09976959963879298,0.09432874871927924,0.1036164756872581,10,cv10_lognormal
Bacillus,0.1,lognormal,5,0.0961177574433146,0.09474335145527535,0.10659938617062108,10,cv10_lognormal
Burkholderia,0.1,lognormal,5,0.10392331595929902,0.10065172160851002,0.10861008875907442,10,cv10_lognormal
Buttiauxella,0.1,lognormal,5,0.09745812041810956,0.09633152853890062,0.09925590101448102,10,cv10_lognormal
Chromobacterium,0.1,lognormal,5,0.10096634577150627,0.09655168606115766,0.10316146589156147,10,cv10_lognormal
Chryseobacterium,0.1,lognormal,5,0.09952666220100852,0.098949659713849,0.10491592665989799,10,cv10_lognormal
Flavobacterium_A,0.1,lognormal,5,0.09972719032102058,0.09916072338243342,0.10126801276701472,10,cv10_lognormal
Flavobacterium_B,0.1,lognormal,5,0.1006549430327869,0.09536029996832204,0.10380106129048995,10,cv10_lognormal
Herbaspirillum,0.1,lognormal,5,0.10110450806537188,0.09549349489794148,0.10478065792670122,10,cv10_lognormal
Pseudomonas,0.1,lognormal,5,0.09983547599564145,0.09260240329143767,0.10527797195361446,10,cv10_lognormal
Serratia,0.1,lognormal,5,0.10015518263442487,0.0930962788487714,0.10889849427674562,10,cv10_lognormal
Yersinia,0.1,lognormal,5,0.10097888867577987,0.09306661846287186,0.10250749730381259,10,cv10_lognormal
Acinetobacter,0.2,lognormal,5,0.19943280703794694,0.18783992602381724,0.2057131708973636,20,cv20_lognormal
Aeromonas_A,0.2,lognormal,5,0.20117629881488938,0.18896926672722195,0.21771287539281028,20,cv20_lognormal
Aeromonas_B,0.2,lognormal,5,0.19806570160432183,0.19076788827759464,0.2063133889462318,20,cv20_lognormal
Arthrobacter,0.2,lognormal,5,0.19620241123736437,0.19233610300987442,0.2072098131276096,20,cv20_lognormal
Bacillus,0.2,lognormal,5,0.19835862032551546,0.1887221529309975,0.20579327960028712,20,cv20_lognormal
Burkholderia,0.2,lognormal,5,0.19263061277411944,0.18613749019028095,0.20565244862877874,20,cv20_lognormal
Buttiauxella,0.2,lognormal,5,0.19663837303075615,0.1834474616295204,0.21813848366151553,20,cv20_lognormal
Chromobacterium,0.2,lognormal,5,0.20175975309855004,0.19033788840761431,0.20787835164991852,20,cv20_lognormal
Chryseobacterium,0.2,lognormal,5,0.193538981478867,0.1830447291541117,0.21545585285479407,20,cv20_lognormal
Flavobacterium_A,0.2,lognormal,5,0.19972603553190343,0.19284291715009513,0.22055681456233514,20,cv20_lognormal
Flavobacterium_B,0.2,lognormal,5,0.20062605713391157,0.18775145670984755,0.2110890474494488,20,cv20_lognormal
Herbaspirillum,0.2,lognormal,5,0.20649499368184984,0.18938182645229787,0.2226781633178537,20,cv20_lognormal
Pseudomonas,0.2,lognormal,5,0.20054413508457,0.19350308869327026,0.21649023984663118,20,cv20_lognormal
Serratia,0.2,lognormal,5,0.1968050433952823,0.19120448764117925,0.19853384949701047,20,cv20_lognormal
Yersinia,0.2,lognormal,5,0.20161115234559943,0.1894738113992236,0.21187656858194684,20,cv20_lognormal
Acinetobacter,0.3,lognormal,5,0.3048077900401893,0.2843515766279854,0.3138674954716918,30,cv30_lognormal
Aeromonas_A,0.3,lognormal,5,0.2977162404336302,0.28872714981934133,0.30510026482878083,30,cv30_lognormal
Aeromonas_B,0.3,lognormal,5,0.29715033251673023,0.28170005549089416,0.31525904047026165,30,cv30_lognormal
Arthrobacter,0.3,lognormal,5,0.29953141210648576,0.2915276967764866,0.33392561891712685,30,cv30_lognormal
