curve_code,series_id,Taxon,Replicate
C001,Acinetobacter | Rep=R1,Acinetobacter,R1
C002,Acinetobacter | Rep=R2,Acinetobacter,R2
C003,Acinetobacter | Rep=R3,Acinetobacter,R3
C004,Acinetobacter | Rep=R4,Acinetobacter,R4
C005,Acinetobacter | Rep=R5,Acinetobacter,R5
C006,Aeromonas_A | Rep=R1,Aeromonas_A,R1
C007,Aeromonas_A | Rep=R2,Aeromonas_A,R2
C008,Aeromonas_A | Rep=R3,Aeromonas_A,R3
C009,Aeromonas_A | Rep=R4,Aeromonas_A,R4
C010,Aeromonas_A | Rep=R5,Aeromonas_A,R5
C011,Aeromonas_B | Rep=R1,Aeromonas_B,R1
C012,Aeromonas_B | Rep=R2,Aeromonas_B,R2
C013,Aeromonas_B | Rep=R3,Aeromonas_B,R3
C014,Aeromonas_B | Rep=R4,Aeromonas_B,R4
C015,Aeromonas_B | Rep=R5,Aeromonas_B,R5
C016,Arthrobacter | Rep=R1,Arthrobacter,R1
C017,Arthrobacter | Rep=R2,Arthrobacter,R2
C018,Arthrobacter | Rep=R3,Arthrobacter,R3
C019,Arthrobacter | Rep=R4,Arthrobacter,R4
C020,Arthrobacter | Rep=R5,Arthrobacter,R5
C021,Bacillus | Rep=R1,Bacillus,R1
C022,Bacillus | Rep=R2,Bacillus,R2
C023,Bacillus | Rep=R3,Bacillus,R3
C024,Bacillus | Rep=R4,Bacillus,R4
C025,Bacillus | Rep=R5,Bacillus,R5
C026,Burkholderia | Rep=R1,Burkholderia,R1
C027,Burkholderia | Rep=R2,Burkholderia,R2
C028,Burkholderia | Rep=R3,Burkholderia,R3
C029,Burkholderia | Rep=R4,Burkholderia,R4
C030,Burkholderia | Rep=R5,Burkholderia,R5
C031,Buttiauxella | Rep=R1,Buttiauxella,R1
C032,Buttiauxella | Rep=R2,Buttiauxella,R2
C033,Buttiauxella | Rep=R3,Buttiauxella,R3
C034,Buttiauxella | Rep=R4,Buttiauxella,R4
C035,Buttiauxella | Rep=R5,Buttiauxella,R5
C036,Chromobacterium | Rep=R1,Chromobacterium,R1
C037,Chromobacterium | Rep=R2,Chromobacterium,R2
C038,Chromobacterium | Rep=R3,Chromobacterium,R3
C039,Chromobacterium | Rep=R4,Chromobacterium,R4
C040,Chromobacterium | Rep=R5,Chromobacterium,R5
C041,Chryseobacterium | Rep=R1,Chryseobacterium,R1
C042,Chryseobacterium | Rep=R2,Chryseobacterium,R2
C043,Chryseobacterium | Rep=R3,Chryseobacterium,R3
C044,Chryseobacterium | Rep=R4,Chryseobacterium,R4
C045,Chryseobacterium | Rep=R5,Chryseobacterium,R5
C046,Flavobacterium_A | Rep=R1,Flavobacterium_A,R1
C047,Flavobacterium_A | Rep=R2,Flavobacterium_A,R2
C048,Flavobacterium_A | Rep=R3,Flavobacterium_A,R3
C049,Flavobacterium_A | Rep=R4,Flavobacterium_A,R4
C050,Flavobacterium_A | Rep=R5,Flavobacterium_A,R5
C051,Flavobacterium_B | Rep=R1,Flavobacterium_B,R1
C052,Flavobacterium_B | Rep=R2,Flavobacterium_B,R2
C053,Flavobacterium_B | Rep=R3,Flavobacterium_B,R3
C054,Flavobacterium_B | Rep=R4,Flavobacterium_B,R4
C055,Flavobacterium_B | Rep=R5,Flavobacterium_B,R5
C056,Herbaspirillum | Rep=R1,Herbaspirillum,R1
C057,Herbaspirillum | Rep=R2,Herbaspirillum,R2
C058,Herbaspirillum | Rep=R3,Herbaspirillum,R3
C059,Herbaspirillum | Rep=R4,Herbaspirillum,R4
C060,Herbaspirillum | Rep=R5,Herbaspirillum,R5
C061,Pseudomonas | Rep=R1,Pseudomonas,R1
C062,Pseudomonas | Rep=R2,Pseudomonas,R2
C063,Pseudomonas | Rep=R3,Pseudomonas,R3
C064,Pseudomonas | Rep=R4,Pseudomonas,R4
C065,Pseudomonas | Rep=R5,Pseudomonas,R5
C066,Serratia | Rep=R1,Serratia,R1
C067,Serratia | Rep=R2,Serratia,R2
C068,Serratia | Rep=R3,Serratia,R3
C069,Serratia | Rep=R4,Serratia,R4
C070,Serratia | Rep=R5,Serratia,R5
C071,Yersinia | Rep=R1,Yersinia,R1
C072,Yersinia | Rep=R2,Yersinia,R2
C073,Yersinia | Rep=R3,Yersinia,R3
C074,Yersinia | Rep=R4,Yersinia,R4
C075,Yersinia | Rep=R5,Yersinia,R5
