curve_code,Taxon,Replicate,Time,Oxygen,O2_fit
C001,Acinetobacter,R1,43.03,6.2,6.186992250404377
C001,Acinetobacter,R1,44.03,6.19,6.185324561152894
C001,Acinetobacter,R1,45.03,6.19,6.180275533220949
C001,Acinetobacter,R1,46.03,6.17,6.172571034665491
C001,Acinetobacter,R1,47.03,6.16,6.163312551068912
C001,Acinetobacter,R1,48.03,6.14,6.153645169149197
C001,Acinetobacter,R1,49.03,6.14,6.144322271765584
C001,Acinetobacter,R1,50.05,6.14,6.134276237081157
C001,Acinetobacter,R1,51.05,6.14,6.122874456258644
C001,Acinetobacter,R1,52.05,6.1,6.109940526669896
C001,Acinetobacter,R1,53.05,6.1,6.095821307583539
C001,Acinetobacter,R1,54.05,6.08,6.08119017126213
C001,Acinetobacter,R1,55.05,6.06,6.0666947998129
C001,Acinetobacter,R1,56.05,6.05,6.052553601727833
C001,Acinetobacter,R1,57.05,6.04,6.038799181042989
C001,Acinetobacter,R1,58.05,6.04,6.025150197585943
C001,Acinetobacter,R1,59.05,6,6.011413472225454
C001,Acinetobacter,R1,60.05,5.99,5.998062414203454
C001,Acinetobacter,R1,61.05,5.99,5.985517396722816
C001,Acinetobacter,R1,62.05,5.98,5.973320060457013
C001,Acinetobacter,R1,63.05,5.95,5.960892092558703
C001,Acinetobacter,R1,64.05,5.96,5.948054098626705
C001,Acinetobacter,R1,65.05,5.93,5.93474275782852
C001,Acinetobacter,R1,66.05,5.92,5.920960125160214
C001,Acinetobacter,R1,67.05,5.91,5.906741909527288
C001,Acinetobacter,R1,68.05,5.89,5.892193059644429
C001,Acinetobacter,R1,69.05,5.87,5.877338306741109
C001,Acinetobacter,R1,70.05,5.87,5.861812272296766
C001,Acinetobacter,R1,71.05,5.85,5.845269576318442
C001,Acinetobacter,R1,72.05,5.82,5.827834942673641
C001,Acinetobacter,R1,73.05,5.81,5.809679411153682
C001,Acinetobacter,R1,74.05,5.8,5.790689181384681
C001,Acinetobacter,R1,75.05,5.77,5.77083916360776
C001,Acinetobacter,R1,76.05,5.74,5.750743950689253
C001,Acinetobacter,R1,77.05,5.73,5.730949229585707
C001,Acinetobacter,R1,78.05,5.72,5.711085380989305
C001,Acinetobacter,R1,79.05,5.69,5.690733510785165
C001,Acinetobacter,R1,80.05,5.67,5.67019293189452
C001,Acinetobacter,R1,81.05,5.64,5.649810357258055
C001,Acinetobacter,R1,82.05,5.64,5.629403892858165
C001,Acinetobacter,R1,83.05,5.61,5.608786071031069
C001,Acinetobacter,R1,84.05,5.58,5.588275736486559
C001,Acinetobacter,R1,85.05,5.56,5.56810063192314
C001,Acinetobacter,R1,86.05,5.56,5.547617779620603
C001,Acinetobacter,R1,87.05,5.53,5.52612115071341
C001,Acinetobacter,R1,88.05,5.5,5.5035232321734044
C001,Acinetobacter,R1,89.05,5.49,5.480008776149536
C001,Acinetobacter,R1,90.05,5.44,5.456233079661796
C001,Acinetobacter,R1,91.05,5.43,5.432739149344782
C001,Acinetobacter,R1,92.05,5.42,5.409150285420465
C001,Acinetobacter,R1,93.05,5.38,5.384953129332809
C001,Acinetobacter,R1,94.05,5.36,5.360007393826358
C001,Acinetobacter,R1,95.05,5.34,5.33425819126372
C001,Acinetobacter,R1,96.05,5.3,5.307619161179181
C001,Acinetobacter,R1,97.05,5.29,5.280056083049545
C001,Acinetobacter,R1,98.05,5.25,5.251774768950003
C001,Acinetobacter,R1,99.05,5.22,5.223036180851059
C001,Acinetobacter,R1,100.05,5.18,5.1940818477060935
C001,Acinetobacter,R1,101.05,5.18,5.164986351942349
C001,Acinetobacter,R1,102.05,5.13,5.135175922899634
C001,Acinetobacter,R1,103.05,5.11,5.104051965364244
C001,Acinetobacter,R1,104.05,5.07,5.07156493899583
C001,Acinetobacter,R1,105.05,5.04,5.037872768925942
C001,Acinetobacter,R1,106.05,5.01,5.003414187300335
C001,Acinetobacter,R1,107.05,4.95,4.9686237796970945
C001,Acinetobacter,R1,108.05,4.94,4.933638738409368
C001,Acinetobacter,R1,109.05,4.9,4.898454398666673
C001,Acinetobacter,R1,110.05,4.87,4.862796060728935
C001,Acinetobacter,R1,111.05,4.82,4.826465904708455
C001,Acinetobacter,R1,112.05,4.79,4.789843665096652
C001,Acinetobacter,R1,113.05,4.75,4.7532982117582945
C001,Acinetobacter,R1,114.05,4.71,4.716577401672414
C001,Acinetobacter,R1,115.05,4.69,4.6792646747476345
C001,Acinetobacter,R1,116.05,4.64,4.640906815496701
C001,Acinetobacter,R1,117.05,4.6,4.60110644833153
C001,Acinetobacter,R1,118.05,4.56,4.5597262126566
C001,Acinetobacter,R1,119.05,4.53,4.5168071107246694
C001,Acinetobacter,R1,120.05,4.46,4.472843581189012
C001,Acinetobacter,R1,121.05,4.43,4.428378746009011
C001,Acinetobacter,R1,122.05,4.38,4.383697023967952
C001,Acinetobacter,R1,123.05,4.34,4.338929013804364
C001,Acinetobacter,R1,124.05,4.29,4.293848737253878
C001,Acinetobacter,R1,125.05,4.25,4.24814289615683
C001,Acinetobacter,R1,126.05,4.21,4.201505489775257
C001,Acinetobacter,R1,127.05,4.14,4.153643740000743
C001,Acinetobacter,R1,128.05,4.11,4.1043104618213695
C001,Acinetobacter,R1,129.05,4.06,4.053278212626072
C001,Acinetobacter,R1,130.05,4,4.00035292631071
C001,Acinetobacter,R1,131.05,3.95,3.945529856447776
C001,Acinetobacter,R1,132.05,3.89,3.889528158809341
C001,Acinetobacter,R1,133.05,3.82,3.8331604987522208
C001,Acinetobacter,R1,134.05,3.78,3.77688967777264
C001,Acinetobacter,R1,135.05,3.71,3.720859683513521
C001,Acinetobacter,R1,136.05,3.67,3.6642891120651693
C001,Acinetobacter,R1,137.05,3.61,3.606229751818633
C001,Acinetobacter,R1,138.05,3.56,3.5459915519205607
C001,Acinetobacter,R1,139.05,3.48,3.48325842845316
C001,Acinetobacter,R1,140.05,3.41,3.4189520044852584
C001,Acinetobacter,R1,141.05,3.35,3.3540077861410262
C001,Acinetobacter,R1,142.05,3.29,3.2881791047793905
C001,Acinetobacter,R1,143.05,3.23,3.2210412132108988
C001,Acinetobacter,R1,144.05,3.15,3.1526392248178645
C001,Acinetobacter,R1,145.05,3.08,3.083137490254053
C001,Acinetobacter,R1,146.05,3,3.0127074486872543
C001,Acinetobacter,R1,147.05,2.95,2.9413188674299016
C001,Acinetobacter,R1,148.05,2.88,2.8681277378589796
C001,Acinetobacter,R1,149.05,2.79,2.7924207305078217
C001,Acinetobacter,R1,150.05,2.71,2.7148210084706337
C001,Acinetobacter,R1,151.05,2.63,2.6360527206168047
C001,Acinetobacter,R1,152.05,2.56,2.5559074663555643
C001,Acinetobacter,R1,153.05,2.48,2.4740445804570723
C001,Acinetobacter,R1,154.05,2.39,2.390526888595374
C001,Acinetobacter,R1,155.05,2.3,2.305535510884587
C001,Acinetobacter,R1,156.05,2.22,2.219321254295249
C001,Acinetobacter,R1,157.05,2.13,2.1320367301741903
C001,Acinetobacter,R1,158.05,2.04,2.04337208051696
C001,Acinetobacter,R1,159.05,1.96,1.9529373152455134
C001,Acinetobacter,R1,160.05,1.86,1.860484385338711
C001,Acinetobacter,R1,161.05,1.76,1.7657698996226123
C001,Acinetobacter,R1,162.05,1.67,1.6684271572552019
C001,Acinetobacter,R1,163.05,1.58,1.5681691333456478
C001,Acinetobacter,R1,164.05,1.46,1.4651508164758957
C001,Acinetobacter,R1,165.05,1.35,1.359567904936405
C001,Acinetobacter,R1,166.05,1.26,1.2513369223789166
C001,Acinetobacter,R1,167.05,1.15,1.1404076765798525
C001,Acinetobacter,R1,168.05,1.03,1.02714228645311
C002,Acinetobacter,R2,44.03,5.96,5.947822891207679
C002,Acinetobacter,R2,45.03,5.95,5.9463000882550885
C002,Acinetobacter,R2,46.03,5.94,5.940597024398302
C002,Acinetobacter,R2,47.03,5.94,5.931239436489036
C002,Acinetobacter,R2,48.03,5.91,5.919278061309008
C002,Acinetobacter,R2,49.03,5.9,5.905753927469362
C002,Acinetobacter,R2,50.05,5.9,5.890843273581329
C002,Acinetobacter,R2,51.05,5.87,5.875514522597169
