noise_sd,dt,duration,n_fits,r_bias,r_rmse,K_bias,K_rmse,R_bias,R_rmse,r_rel_bias,K_rel_bias,R_rel_bias,mean_R2
0.002,1,60,450,6.544878495260491e-6,3.7526016430551335e-4,-1.537256892703624e-6,4.704052767826695e-5,-1.5372568927033607e-15,4.704052767826693e-14,-9.883631009680431e-5,7.355228658516943e-6,7.3552286585747134e-6,0.9995955655266687
0.002,1,120,450,1.8817141529649697e-5,2.2555604346388984e-4,-4.427768777397963e-6,4.225114796666907e-5,-4.427768777397686e-15,4.225114796666903e-14,5.357041525442393e-4,-5.718839016458022e-4,-5.718839016457463e-4,0.9998643176444125
0.002,1,180,450,6.638239165751199e-6,2.1811021997601186e-4,-1.0992509983541933e-6,4.091689467264968e-5,-1.0992509983539116e-15,4.091689467264966e-14,1.764370425109732e-4,3.035979574843548e-5,3.0359795748491672e-5,0.9998758754315568
0.002,3,60,450,-7.958737215297839e-6,5.816311885296156e-4,1.2186520703299755e-6,7.269506988595928e-5,1.218652070330288e-15,7.26950698859593e-14,-0.0014916037650386038,2.7936530145152044e-4,2.7936530145157855e-4,0.9996555515887792
0.002,3,120,450,2.014220322698033e-5,3.238172794454316e-4,-2.845785505161963e-6,6.046175118525933e-5,-2.8457855051616803e-15,6.046175118525932e-14,6.674312450839311e-4,-7.173366110998011e-4,-7.17336611099744e-4,0.9998931535333263
0.002,3,180,450,1.7103763306118655e-5,3.4025984380673096e-4,-2.874769822599761e-6,6.244341648815927e-5,-2.8747698225994746e-15,6.244341648815926e-14,5.47416341038267e-4,-6.09528697266186e-4,-6.095286972661296e-4,0.9999019114866425
0.002,5,60,450,2.310859369438461e-5,7.025963474861937e-4,-3.7177595028093845e-6,8.114853950093776e-5,-3.7177595028091416e-15,8.114853950093777e-14,1.211963010829618e-4,-5.611355736969819e-4,-5.611355736969281e-4,0.9997205446550784
0.002,5,120,450,-1.5887105893228846e-5,3.514223981448146e-4,1.1292390059964503e-6,6.908736997436462e-5,1.1292390059966673e-15,6.908736997436461e-14,-0.00055103782278378055,0.0012072206641318124,0.001207220664131858,0.9999148396995233
0.002,5,180,450,5.444804214629602e-6,3.439330763445212e-4,-1.8072555092981974e-6,6.785079158302147e-5,-1.8072555092979597e-15,6.785079158302147e-14,5.246551517225105e-4,-5.217863411645853e-5,-5.2178634116407076e-5,0.999919026417711
0.005,1,60,450,3.220312420534087e-5,9.541963334341908e-4,-1.631982602003246e-6,1.138530721966316e-4,-1.6319826020029948e-15,1.138530721966316e-13,0.0025510242213434868,-8.288894899426552e-4,-8.288894899426009e-4,0.9974791416125101
0.005,1,120,450,1.3587366088291614e-5,5.516653481411694e-4,-3.6285641753335476e-6,1.0319859071802022e-4,-3.6285641753332645e-15,1.0319859071802018e-13,4.732143065624877e-4,-0.00025447572637374354,-2.5447572637368694e-4,0.9991614087971776
0.005,1,180,450,2.8765278104492323e-5,5.25793041969405e-4,-6.810837512084245e-6,9.907462221640877e-5,-6.810837512083978e-15,9.90746222164088e-14,0.0022674477441964737,-4.994270827314757e-4,-4.994270827314196e-4,0.9992378886610994
0.005,3,60,450,-7.075446208410158e-5,0.0014425404051930898,6.62181906896581e-6,1.7216252640455095e-4,6.621819068966079e-15,1.7216252640455093e-13,-0.005537396587442691,0.0036635408728205817,0.003663540872820631,0.9978732468142002
