Taxon,Replicate,r_per_minute,K,O2_0,O2_ref,T_end_min,fit_start_min,C_tot_mg_per_L,pseudo_R2,AIC,fit_ok,t_depletion_min,O2_start,depleted,FC_Final,cell_carbon_fg,t_growth_min,N0_cells_per_L,biomass_integral_cells_min_per_L,R,R_C_fg_cell_h,G_C_fg_cell_h,r_per_hour,log_G,log_R,log_Rc,b0,b1,log_G_collapsed
Acinetobacter,R1,0.01943645649413162,0.00156154306180892,1.0010946527782818,6.193333333333333,112.02,43.03,3.89215862455252,0.9999385584573174,-1158.6310835372913,TRUE,173.05,4.97,TRUE,596,86.0633,130.02,43324123.399955235,17435800684.490486,2.232279833305664e-10,5027.547923839176,100.36593517148388,1.1661873896478974,2.0015863355442183,3.701356219091695,0.4044767122340658,-0.21869949980101772,0.11677981368192428,2.220285835345236
Acinetobacter,R2,0.01419457550388129,0.00217763559219332,1.0014300304492791,5.876666666666667,116,50.05,3.776767269878864,0.9999503192856314,-1216.3368071022885,TRUE,188.05,4.833333333333333,TRUE,549,86.0633,138,70445828.93432727,20790227601.478306,1.8166069858755727e-10,4091.3681806396967,73.2979205977912,0.8516745302328775,1.8650916542357454,3.6118685632493714,0.31498905639174213,-0.21869949980101772,0.11677981368192428,2.083791154036763
Acinetobacter,R3,0.01494408464942784,0.00240637876372105,1.0030479558953302,5.73,88.00000000000001,64.05,2.5143357739751067,0.9998689128395454,-903.095493376614,TRUE,192.05,4.8,TRUE,438,86.0633,128,58848896.5798612,10731069078.139715,2.3430431354664056e-10,5277.009394353458,77.16823442454621,0.8966450789656708,1.8874385638958175,3.7223878673270643,0.42550836046943497,-0.21869949980101772,0.11677981368192428,2.1061380636968354
Acinetobacter,R4,0.01352010924335995,0.00308040752868794,1.0051878354610433,6.14,106,72.05,4.465116384914033,0.9999596442126264,-1106.2787907055565,TRUE,192.05,4.89,TRUE,493,86.0633,120,88561132.24816167,20907369585.27363,2.1356662619381322e-10,4809.954523183745,69.81511307064363,0.8112065546015972,1.843949445728059,3.682140970256634,0.3852614633990048,-0.21869949980101772,0.11677981368192428,2.0626489455290766
Acinetobacter,R5,0.01018491039079284,0.00306797048340179,1.0037568612102357,5.656666666666666,119,58.05,4.021663530705162,0.9999561291049702,-1236.3033557807296,TRUE,196.05,4.67,TRUE,407,86.0633,138,90821183.79366772,21046560234.514652,1.910841242413551e-10,4303.60288067301,52.59281990615532,0.6110946234475708,1.7209264573099428,3.6338321895427668,0.33695268268513745,-0.21869949980101772,0.11677981368192428,1.9396259571109604
Aeromonas_A,R1,0.02152182979085593,0.00113017978862392,1.000470725734427,6.29,105.01000000000002,47.07,2.835085598821371,0.9999012981245384,-1106.9223288014475,TRUE,183.1,5.083333333333333,TRUE,1802,67.4722,136.03,87762555.98815888,35000742475.425606,8.100072736490989e-11,1824.3010245264063,87.12751224087538,1.291309787451356,1.9401553137645393,3.2610965020319336,-0.03578300482569574,0.009496706436406422,-0.005070992888618908,1.9306586073281329
Aeromonas_A,R2,0.01990585449241123,0.00163003554620612,1.001510598054952,6.036666666666666,111.01000000000002,64.07,4.010678231954882,0.999932377866484,-1125.288924973137,TRUE,190.1,5.093333333333334,TRUE,2321,67.4722,126.03,171848894.9867159,70043895917.01088,5.7259496769094585e-11,1289.6002544413934,80.58550772897215,1.194351269544674,1.906256946529116,3.110455110148424,-0.1864243967092052,0.009496706436406422,-0.005070992888618908,1.8967602400927095
Aeromonas_A,R3,0.02463468815971646,9.19021051773819e-4,1.002385543397342,6.013333333333334,119.01000000000002,59.07,3.984357754963256,0.9999223997837796,-1196.2662996444344,TRUE,191.1,4.876666666666667,TRUE,2183,67.4722,132.03,76825336.44674845,55388813151.084984,7.193434067805457e-11,1620.1075677556971,99.72939638700127,1.4780812895829878,1.9988231904772873,3.209543850673389,-0.08733565618424022,0.009496706436406422,-0.005070992888618908,1.9893264840408809
Aeromonas_A,R4,0.0216194941726135,0.00128098865506093,1.0026801572192143,6.086666666666667,100.01000000000002,56.07,2.773332986284829,0.9998790787053384,-1030.9262376610118,TRUE,186.1,4.88,TRUE,1635,67.4722,130.03,89461848.85650016,31821092389.820103,8.715392144023462e-11,1962.8834622513743,87.52289008280475,1.29716965035681,1.9421216500118772,3.292894516001658,-0.003984990855971482,0.009496706436406422,-0.005070992888618908,1.9326249435754708
Aeromonas_A,R5,0.01739496989774508,0.00194308255260356,1.0012721672383855,6.35,94.01000000000002,74.07,2.930196778646776,0.9998712644313472,-958.0978176331726,TRUE,202.1,4.983333333333333,TRUE,1468,67.4722,128.03,144052126.22415164,34209874582.60968,8.565353759397639e-11,1929.091768312864,70.42061327607816,1.0436981938647052,1.8476998029161715,3.285352887842911,-0.01152661901471852,0.009496706436406422,-0.005070992888618908,1.838203096479765
