Taxon,Replicate,log_R,log_G
Acinetobacter,R1,3.719276725410785,2.001586335581547
Acinetobacter,R2,3.6140222408748883,1.865091654228213
Acinetobacter,R3,3.739800378288737,1.8874385641300926
Acinetobacter,R4,3.670500811057857,1.8439494462301322
Acinetobacter,R5,3.59725673863472,1.720926458010101
Aeromonas_A,R1,3.1920573689489244,1.9401553136590186
Aeromonas_A,R2,3.121326435161838,1.9062569456431167
Aeromonas_A,R3,3.1899425755794404,1.9988231905434335
Aeromonas_A,R4,3.2706742661493324,1.9421216497199627
Aeromonas_A,R5,3.297235968785592,1.8476998021178923
Aeromonas_B,R1,3.1924864253581813,2.0921481088087495
Aeromonas_B,R2,3.000636905245632,2.0641886375243934
Aeromonas_B,R3,3.0843007792833697,2.1381069764667147
Aeromonas_B,R4,3.1160463786341053,2.161884948835086
Aeromonas_B,R5,3.2576882659258484,2.1609205815604153
Arthrobacter,R1,3.2184127694157336,2.0752457837263885
Arthrobacter,R2,3.176553849145156,2.0882891042732803
Arthrobacter,R3,3.25363770003403,2.0078426061014927
Arthrobacter,R4,3.063345718593267,2.0626480071155227
Arthrobacter,R5,3.4636135419139924,2.055389635650546
Bacillus,R1,4.571719218491949,2.4303883965840747
Bacillus,R2,4.435687700046164,2.2482948760627903
Bacillus,R3,4.521703232572811,2.220673253526357
Bacillus,R4,4.489080758028017,2.258061834573637
Bacillus,R5,4.1337802983340435,2.1779547471881457
Burkholderia,R1,3.261712380770896,1.991633295866347
Burkholderia,R2,3.1921430862708946,1.936063485760214
Burkholderia,R3,3.1693782404674393,1.9584634598157855
Burkholderia,R4,3.1068697895400965,1.9552524362437438
Burkholderia,R5,3.0236785413503995,1.981522108443923
Buttiauxella,R1,3.0622875563065888,1.9736411550247717
Buttiauxella,R2,3.1972418997139602,2.026415186837557
Buttiauxella,R3,3.247083376281987,1.973164688485801
Buttiauxella,R4,3.1591588464773617,1.9083745767767262
Buttiauxella,R5,3.0950647270805955,1.9735266256388162
Chromobacterium,R1,3.317054810432111,2.0461776479971676
Chromobacterium,R2,3.256050916122401,2.0635121985237963
Chromobacterium,R3,3.2948998885880996,2.0655003426076397
Chromobacterium,R4,3.3142234700456226,2.0096925171442814
Chromobacterium,R5,3.2405072539593096,2.0409791586171764
Chryseobacterium,R1,2.6118368855573544,1.6695839280319462
Chryseobacterium,R2,2.623926154019724,1.7059854682093054
Chryseobacterium,R3,2.7207625531603377,1.7027192236009747
Chryseobacterium,R4,2.5390826190343407,1.6782256559365685
Chryseobacterium,R5,2.6221495787945743,1.6683303957612377
Flavobacterium_A,R1,3.2223904332138598,1.7554687825393551
Flavobacterium_A,R2,3.242406387602065,1.6949354422530076
Flavobacterium_A,R3,3.3404103115754418,1.8827871242461764
Flavobacterium_A,R4,3.1675117045510595,1.8710204618997888
Flavobacterium_A,R5,3.294861890498648,1.8289119335187882
Flavobacterium_B,R1,3.788767869797134,1.706501772446062
Flavobacterium_B,R2,3.8266750196060433,1.670071341135584
Flavobacterium_B,R3,3.650421937897147,1.651550209348018
Flavobacterium_B,R4,3.8348568453784826,1.6751493022523891
Flavobacterium_B,R5,3.571992696349737,1.4012602542371722
Herbaspirillum,R1,2.702754917306237,1.9027162169327878
Herbaspirillum,R2,2.7377254768017503,1.9911799849724128
Herbaspirillum,R3,2.5907857030171737,1.9868612018571123
Herbaspirillum,R4,2.6059805568372574,1.9745055378104646
Herbaspirillum,R5,2.606416957263949,1.9358645938005292
Pseudomonas,R1,3.3076734369535346,2.001195390690155
Pseudomonas,R2,3.1423815576941014,1.9347072062507003
Pseudomonas,R3,3.2421011273585765,2.0105572773061944
Pseudomonas,R4,3.216414916756878,1.8854587133332599
Pseudomonas,R5,3.2683128471836453,1.9637228102965851
Serratia,R1,3.179904003636455,1.8054186848392602
Serratia,R2,3.32809103605792,1.9257890241195288
Serratia,R3,3.3078399704175716,1.8942881609528839
Serratia,R4,3.7162490523896636,1.9264565190403555
Serratia,R5,3.2559687725823077,1.9409278065416715
Yersinia,R1,3.215515801599264,2.2145402259191247
Yersinia,R2,2.8700197450497504,2.132207861949727
Yersinia,R3,3.1112049699656543,2.1384351471623666
Yersinia,R4,3.5129108291199906,2.115360884559688
Yersinia,R5,3.2122332188953493,2.1067709125446545
