Taxon,Replicate,r_per_minute,K,O2_0,O2_ref,T_end_min,fit_start_min,C_tot_mg_per_L,pseudo_R2,AIC,fit_ok
Acinetobacter,R1,0.019436456494131622,0.001561543061808925,1.0010946527782818,6.193333333333333,112.02000000000001,43.03,3.89215862455252,0.9999385584573174,-1158.6310835372913,TRUE
Acinetobacter,R2,0.014194575503881292,0.0021776355921933263,1.0014300304492791,5.876666666666667,116.00000000000001,50.05,3.776767269878864,0.9999503192856314,-1216.3368071022883,TRUE
Acinetobacter,R3,0.014944084649427846,0.0024063787637210506,1.0030479558953302,5.73,88.00000000000001,64.05,2.5143357739751067,0.9998689128395454,-903.095493376614,TRUE
Acinetobacter,R4,0.013520109243359953,0.0030804075286879487,1.0051878354610433,6.14,106.00000000000001,72.05,4.465116384914033,0.9999596442126263,-1106.2787907055563,TRUE
Acinetobacter,R5,0.010184910390792846,0.0030679704834017944,1.0037568612102357,5.656666666666666,119.00000000000001,58.05,4.021663530705162,0.9999561291049702,-1236.3033557807296,TRUE
Aeromonas_A,R1,0.021521829790855932,0.0011301797886239266,1.000470725734427,6.29,105.01000000000002,47.07,2.835085598821371,0.9999012981245384,-1106.9223288014477,TRUE
Aeromonas_A,R2,0.01990585449241123,0.0016300355462061293,1.001510598054952,6.036666666666666,111.01000000000002,64.07,4.010678231954882,0.999932377866484,-1125.288924973137,TRUE
Aeromonas_A,R3,0.024634688159716464,9.19021051773819e-4,1.002385543397342,6.013333333333334,119.01000000000002,59.07,3.984357754963256,0.9999223997837795,-1196.2662996444344,TRUE
Aeromonas_A,R4,0.0216194941726135,0.001280988655060935,1.0026801572192143,6.086666666666667,100.01000000000002,56.07,2.773332986284829,0.9998790787053383,-1030.9262376610118,TRUE
Aeromonas_A,R5,0.017394969897745086,0.00194308255260356,1.0012721672383857,6.35,94.01000000000002,74.07,2.930196778646776,0.9998712644313471,-958.0978176331726,TRUE
Aeromonas_B,R1,0.030540207797690788,8.464285681270882e-4,1.0015891211160342,5.986666666666667,93.00000000000001,50.05,2.674636268831762,0.9998738146955262,-962.4831024682826,TRUE
Aeromonas_B,R2,0.02863601071145552,8.511505376205517e-4,1.0009805044639777,5.85,98.02000000000001,48.03,2.7053189270781983,0.9998572145274077,-994.9702328814342,TRUE
