Taxon,Replicate,r_per_minute,r_per_hour,K,O2_0,O2_ref,AICc,lnO2_change_per_min,pseudo_R2,fit_ok
Acinetobacter,R1,0.01946567755137696,1.1679406530826175,0.0018446520716147638,1.0002534944101766,6.113333333333333,-944.6882772072802,-0.00734794810961056,0.999917521507347,TRUE
Acinetobacter,R2,0.014263522756593355,0.8558113653956013,0.002244434706056522,1.0025347294391262,5.843333333333334,-1024.0907205743358,-0.006829603352529522,0.9999317334592872,TRUE
Acinetobacter,R3,0.01495816563798366,0.8974899382790196,0.002243141129489468,1.0013111668323562,5.793333333333333,-986.0935856960117,-0.0070729304138769915,0.9999290016116651,TRUE
Acinetobacter,R4,0.013588846665836164,0.8153307999501699,0.003067871163408766,1.0049158559836244,6.14,-891.4595388925202,-0.0079845891401666,0.9999463696927664,TRUE
Acinetobacter,R5,0.010157167614716724,0.6094300568830034,0.0030719397675688996,1.0038569575804035,5.656666666666666,-982.0885993897563,-0.0071471834156385285,0.9999335909940277,TRUE
Aeromonas_A,R1,0.021423208967048326,1.2853925380228997,0.0013371411849919003,1.0025061619894033,6.226666666666667,-1036.1196313559853,-0.0066390412164704145,0.9999441227282537,TRUE
Aeromonas_A,R2,0.019870337795098145,1.1922202677058886,0.0015652344733726867,1.001594592123922,6.056666666666667,-996.2300095190968,-0.006864995595059521,0.999913555136914,TRUE
Aeromonas_A,R3,0.02471561431708316,1.4829368590249896,9.62298129770959e-4,1.0025184084154244,6,-1049.7206763010518,-0.006382585403346238,0.9998697475027257,TRUE
Aeromonas_A,R4,0.021658241775615816,1.299494506536949,0.0013393384243727455,1.003419950541209,6.066666666666666,-1023.8906339649386,-0.006813355256430912,0.9999205305275229,TRUE
Aeromonas_A,R5,0.017425450382190184,1.045527022931411,0.0018666125139888599,1.0013520616978424,6.373333333333334,-985.132372201163,-0.006937851033322989,0.9999071305622,TRUE
Aeromonas_B,R1,0.030555128534388683,1.833307712063321,7.93747079051674e-4,1.0020156901481405,5.993333333333333,-1016.8704137733716,-0.0069198445003855955,0.9999249622947656,TRUE
Aeromonas_B,R2,0.028586065574406568,1.715163934464394,0.0010819801625853776,1.0012235996438175,5.803333333333333,-918.6925238521451,-0.00725714424289681,0.9999060787342534,TRUE
Aeromonas_B,R3,0.03396844048346431,2.0381064290078585,8.949802437054005e-4,0.999912796833103,5.706666666666667,-890.6469948949499,-0.007817124930640783,0.9999227522447302,TRUE
Aeromonas_B,R4,0.036023271634747604,2.1613962980848562,0.001015911323504329,1.0020750792420794,6.166666666666667,-851.1054967075805,-0.008378590535373267,0.9999226918640796,TRUE
Aeromonas_B,R5,0.035935541676587905,2.1561325005952745,6.565915432780453e-4,1.0008716888913558,5.743333333333333,-934.2849856249056,-0.007397240351450732,0.9999294564627024,TRUE
Arthrobacter,R1,0.025100496322992553,1.5060297793795532,0.001846321805960785,1.0030168900796377,5.953333333333333,-839.8504771224574,-0.008453014397072502,0.999918308423704,TRUE
Arthrobacter,R2,0.02583983253703535,1.550389952222121,0.0017048355167599797,1.0020063627132012,5.826666666666667,-831.6246061636473,-0.008268930307102955,0.9999304310710704,TRUE
Arthrobacter,R3,0.021416954310467674,1.2850172586280604,0.0022504819547804096,1.002799969048056,5.9366666666666665,-835.9310228827629,-0.00833121728439828,0.9999308120421634,TRUE
Arthrobacter,R4,0.024350757599255746,1.4610454559553447,0.0019642559653933107,1.0015906213019108,5.916666666666667,-828.0802759918953,-0.008515734519522294,0.9999366450297733,TRUE
Arthrobacter,R5,0.024060148592519877,1.4436089155511926,0.0020999375811719175,1.0013075103911353,6.99,-842.0833466763013,-0.008719958372613832,0.9999387154740171,TRUE
Bacillus,R1,0.04064809617146471,2.438885770287883,7.295643974064171e-4,1.002755761644129,6.033333333333333,-865.6671813520184,-0.00805476173790187,0.9999479159244656,TRUE
Bacillus,R2,0.026636354429958792,1.5981812657975274,0.001394087183123529,0.9997174466822836,5.953333333333333,-852.0144672836458,-0.007761963439569069,0.9999059325119478,TRUE
Bacillus,R3,0.02502496978852032,1.5014981873112192,0.001504993950030825,1.0025238046999936,5.87,-912.5706028492734,-0.00767323681716579,0.9999257366964205,TRUE
Bacillus,R4,0.027182643556460537,1.6309586133876322,0.0014422307471064837,1.0019476473730684,6.21,-888.2595954192361,-0.007928590815314792,0.9999322230587772,TRUE
Bacillus,R5,0.022670143289517098,1.3602085973710258,0.0019315411194827132,1.0030628776990635,5.733333333333333,-842.100732217242,-0.008168107465862804,0.9999103604394437,TRUE
Burkholderia,R1,0.02259406934709138,1.3556441608254828,0.0016983668183302735,1.0013745349245293,6.253333333333333,-889.4473934941268,-0.007683928385829635,0.9999266384875103,TRUE
Burkholderia,R2,0.019982699876622614,1.198961992597357,0.00164142048887921,1.0019300886872888,5.67,-973.0760086644931,-0.007055012794466126,0.9999161937195189,TRUE
