Taxon,Temperature,Replicate,N0_cells_per_mL,r_per_minute,r_per_hour,K,resp_rate,O2_0,O2_ref,AICc,lnO2_change_per_min,pseudo_R2,fit_ok,growth_C_fg_per_hr,growth_C_fg_per_min,resp_C_fg_per_hr,resp_C_fg_per_min,resp_to_growth_C,carbon_use_efficiency
Pseudomonas,20,R1,845057.6003425607,0.009544144730962796,0.5726486838577678,0.0013761482179634563,1.1643537380706469e-11,0.995918372008388,7.15,-1592.7594078291327,-0.0069384275725036144,0.9997879779267044,TRUE,32651245.620667387,544187.4270111232,221387844.56487104,3689797.409414517,6.780379748352948,0.12852843078921602
Pseudomonas,20,R2,849901.9565696628,0.009671171542064743,0.5802702925238846,0.0012672264526164718,1.1480905073486605e-11,0.9983348881558906,7.7,-1812.1995485595498,-0.006437720425564009,0.9999172578363548,TRUE,33275480.926945943,554591.3487824324,219546982.91580382,3659116.3819300635,6.597860550770229,0.13161599812444905
Pseudomonas,20,R3,844969.3201554412,0.009541823132514891,0.5725093879508935,0.0014606706042674844,1.255588485395477e-11,0.9903903348340218,7.263333333333334,-1589.0652317179151,-0.008839433795307662,0.9998444258410581,TRUE,32639893.12489486,543998.2187482477,238710093.50241366,3978501.558373561,7.313445929157973,0.12028706369433076
Pseudomonas,20,R4,846033.0288678348,0.009569780485167847,0.5741868291100708,0.001343266750246403,1.1352224956411425e-11,0.998596887819395,7.15,-1680.5070001023425,-0.006626617011548217,0.999870859076897,TRUE,32776737.222764622,546278.9537127437,216098038.44589007,3601633.974098168,6.593030812591139,0.13169971578960943
Pseudomonas,24,R1,1009000.6788474052,0.013484386998203127,0.8090632198921877,0.001323414364756592,1.0164969699108309e-11,1.0034063106119795,7.75,-1498.5108550904656,-0.013655512070548877,0.9998849045562926,TRUE,55080654.46972875,918010.9078288126,230770379.85443076,3846172.997573846,4.1896811516874335,0.19269006529906915
Pseudomonas,24,R2,1012734.8409854107,0.013566476346085396,0.8139885807651237,0.0017688430229445002,1.2220380415824929e-11,1.0039491960198694,6.996666666666667,-965.3531070284225,-0.019768684868167203,0.9989591122571775,TRUE,55621057.09229431,927017.6182049052,278460112.887038,4641001.8814506335,5.006379372203906,0.16648965009232716
Pseudomonas,24,R3,1012876.2745180846,0.013569579574907358,0.8141747744944414,0.0013729755037326088,9.791383184170737e-12,1.005911539756827,7.223333333333334,-1577.2238323013444,-0.01703586839687474,0.9999420190517967,TRUE,55641549.52648861,927359.1587748101,223142843.74414226,3719047.3957357043,4.010363579790554,0.19958631426140985
Pseudomonas,24,R4,1032058.839358258,0.013986504023816395,0.8391902414289837,0.0014528186575233284,9.896058996732894e-12,1.0034990968451498,7.03,-1487.4226729068837,-0.019752585737344674,0.9999078662660631,TRUE,58437288.685839415,973954.8114306569,229799591.15375248,3829993.1858958746,3.9324136407005783,0.20274049843434552
Pseudomonas,28,R1,1210150.053706723,0.017524030311186028,1.0514418186711616,0.0034982175813463847,1.9059549281260916e-11,1.006043782220592,6.593333333333334,-820.978088954706,-0.02649043261559389,0.9998673018640258,TRUE,85851847.49761517,1430864.1249602528,518960578.1927362,8649342.969878936,6.0448387928652565,0.1419478897107996
Pseudomonas,28,R2,1335235.0639092538,0.01970987455427995,1.182592473256797,0.0030253314272422507,1.4772800264748026e-11,1.0060147310275755,6.52,-1006.403793467421,-0.02847049075908866,0.9999769729764819,TRUE,106541305.50164275,1775688.425027379,443816120.3764382,7396935.339607303,4.165671879903846,0.1935856599584513
Pseudomonas,28,R3,1298343.416528718,0.01908724794757671,1.1452348768546026,0.0032553930282860294,1.657354105472502e-11,1.0064537329146452,6.61,-980.5400993722,-0.02705221180442389,0.9999739402186746,TRUE,100325035.15084526,1672083.9191807543,484158328.13183975,8069305.468863996,4.825897418364978,0.1716473751919661
Pseudomonas,28,R4,1385811.403853044,0.020536062666856925,1.2321637600114155,0.0030886337598728724,1.4984661155533425e-11,1.003770089204891,6.723333333333334,-940.7959703112599,-0.026889629981124805,0.9999614177181579,TRUE,115212005.66364467,1920200.0943940778,467233072.0247688,7787217.867079481,4.055420000141574,0.19780750164615318
Pseudomonas,32,R1,1604402.2294045375,0.023790849893888247,1.4274509936332949,0.004598849423397244,1.703593685680796e-11,1.0062021915617203,5.943333333333333,-759.886151677364,-0.03941671283440271,0.9999680666942639,TRUE,154525315.49745253,2575421.924957542,614981139.1437966,10249685.65239661,3.979808338614491,0.2008109413058707
Pseudomonas,32,R2,1577572.2588739377,0.02341609157960146,1.4049654947760877,0.004846831985478892,1.9519574486172497e-11,1.0083626172913722,6.3533333333333335,-708.0389163509142,-0.027079375184424263,0.9999740920422485,TRUE,149547822.55293316,2492463.7092155525,692854632.3242077,11547577.20540346,4.632997127584178,0.177525387879768
Pseudomonas,32,R3,1670704.5824298258,0.024690720974527215,1.4814432584716328,0.0046357674692100856,1.611197857536884e-11,1.0044174427596226,5.806666666666667,-764.5040989644476,-0.039314560085821335,0.9999768264322676,TRUE,166997458.1073882,2783290.96845647,605663019.8522977,10094383.66420496,3.6267798726782075,0.21613304015285925
Pseudomonas,32,R4,1711119.303162516,0.02522188267533408,1.5133129605200448,0.004169157014280054,1.4204845534925392e-11,1.0022822500729343,5.83,-727.2646167068841,-0.034828262318446004,0.9999477590870159,TRUE,174716619.06177953,2911943.651029659,546889171.3481861,9114819.522469768,3.130149692026761,0.24212197488398457
Pseudomonas,36,R1,1559790.7669281848,0.023164193094615235,1.389851585676914,0.007140334202396329,2.475037533206119e-11,1.0160962691064328,5.406666666666667,-557.6823899629237,-0.048708235878591,0.9999601864324338,TRUE,146271578.14400452,2437859.635733409,868621655.7215134,14477027.595358556,5.9384172013674075,0.144125089480483
