Taxon,Replicate,r_per_minute,r_per_hour,K,O2_0,O2_ref,AICc,lnO2_change_per_min,pseudo_R2,fit_ok
Acinetobacter,R1,0.019499816206441246,1.1699889723864747,0.0018407490033140082,1.0001470294251211,6.113333333333333,-1188.5393708957943,-0.01533387904256656,0.9999703707619962,TRUE
Acinetobacter,R2,0.0142262219924146,0.853573319544876,0.002248128924059007,1.0025059145938355,5.843333333333334,-1322.4175138779283,-0.014326617562001251,0.999971917878263,TRUE
Acinetobacter,R3,0.015029532730768892,0.9017719638461335,0.0022341158135646146,1.0010511586772497,5.793333333333333,-1275.0050223044536,-0.01390444232204955,0.9999761187157793,TRUE
Acinetobacter,R4,0.013512252753260576,0.8107351651956346,0.0030808131405864318,1.0051580278330965,6.14,-1157.3154849605125,-0.014929632877336497,0.9999761992314814,TRUE
Acinetobacter,R5,0.010181199916127983,0.610871994967679,0.003069400774220796,1.0038771459743765,5.656666666666666,-1291.5767230395836,-0.012508119902478633,0.9999708790269897,TRUE
Aeromonas_A,R1,0.021484795325163,1.28908771950978,0.0013317408945318942,1.002341593301368,6.226666666666667,-1282.9951957784242,-0.016006583833792193,0.9999804822076087,TRUE
Aeromonas_A,R2,0.01994078621510686,1.1964471729064117,0.0015584264174884359,1.001427790694846,6.056666666666667,-1243.5550302014128,-0.016095583711084348,0.9999754883910038,TRUE
Aeromonas_A,R3,0.02467740352673953,1.4806442116043719,9.637708783062912e-4,1.0024683432676669,6,-1257.3933310035447,-0.015292311729218598,0.9999606932193458,TRUE
Aeromonas_A,R4,0.021728795519719696,1.3037277311831819,0.0013311591726301013,1.0029018328597736,6.066666666666666,-1262.8962461730728,-0.01601063379825038,0.9999771229353824,TRUE
Aeromonas_A,R5,0.01751446956542813,1.0508681739256878,0.0018581933869864385,1.0011864855523271,6.373333333333334,-1255.8161195681535,-0.0154773361091555,0.9999684415042719,TRUE
Aeromonas_B,R1,0.030517408223075082,1.831044493384505,7.961343126563463e-4,1.0021766553795812,5.993333333333333,-1188.789518088875,-0.016130239543255116,0.9999743421986689,TRUE
Aeromonas_B,R2,0.02863712482255649,1.7182274893533895,0.0010786577693420068,1.0010788996548392,5.803333333333333,-1117.4251518393473,-0.01809046783930017,0.9999720703643068,TRUE
Aeromonas_B,R3,0.03404799483391841,2.0428796900351047,8.911152033515414e-4,0.9998338243638787,5.706666666666667,-1059.1525078542725,-0.020045282044372066,0.9999733483434213,TRUE
Aeromonas_B,R4,0.036040797919751795,2.1624478751851077,0.001015275498931867,1.002071493694096,6.166666666666667,-1008.2857425712774,-0.020896129334466558,0.9999754851142773,TRUE
Aeromonas_B,R5,0.03578063122327054,2.1468378733962323,6.629149000266598e-4,1.001092495681802,5.743333333333333,-1095.3714783158596,-0.018496863093590353,0.9999743782460924,TRUE
Arthrobacter,R1,0.02509672686333362,1.505803611800017,0.0018460128005692118,1.0029998567161786,5.953333333333333,-1023.9481868405207,-0.0189396421048232,0.9999724171109288,TRUE
Arthrobacter,R2,0.025807170841770394,1.5484302505062235,0.0017080957466733182,1.0020920970857985,5.826666666666667,-1030.208630062845,-0.018779938103673715,0.9999763766641033,TRUE
Arthrobacter,R3,0.021600539378433953,1.296032362706037,0.002232643301976659,1.0025120950385003,5.9366666666666665,-1040.0470123759171,-0.018445874134111553,0.9999731744897018,TRUE
Arthrobacter,R4,0.024440382730068363,1.4664229638041018,0.001955792459796759,1.0014116599704947,5.916666666666667,-1025.1536711779709,-0.017279573741637366,0.9999766620619454,TRUE
Arthrobacter,R5,0.023940776855071517,1.436446611304291,0.002111260252113595,1.0015482046499444,6.99,-1013.4764667022979,-0.0170584338874606,0.9999744289661114,TRUE
Bacillus,R1,0.04081058952550529,2.4486353715303175,7.228788852408848e-4,1.0025375391705034,6.033333333333333,-1027.0569576183655,-0.02131929352406231,0.9999823006239821,TRUE
Bacillus,R2,0.026683688605531716,1.601021316331903,0.001391320613178204,0.9996460435835884,5.953333333333333,-1042.8738628200956,-0.01787593545077229,0.9999692060121887,TRUE
Bacillus,R3,0.02498526868823127,1.4991161212938762,0.0015082094854336004,1.0026000553240468,5.87,-1113.408900038352,-0.01785074900518588,0.999973882597113,TRUE
Bacillus,R4,0.02735953138280479,1.6415718829682875,0.0014287065742118626,1.0016396438636388,6.21,-1079.1633748354213,-0.018047238203719486,0.9999724132070387,TRUE
Bacillus,R5,0.02274852192680262,1.3649113156081574,0.001922851228904735,1.002871670068491,5.733333333333333,-1050.8798350113902,-0.01841528224476686,0.9999676159117555,TRUE
Burkholderia,R1,0.022654790202754044,1.3592874121652425,0.0016921383021762909,1.0012131628109044,6.253333333333333,-1109.2488570954554,-0.01598923012280637,0.9999747035297143,TRUE
Burkholderia,R2,0.01984091697892412,1.1904550187354472,0.0016548876954296816,1.002258375609685,5.67,-1210.7593905685808,-0.015779014969915843,0.9999670833809793,TRUE
Burkholderia,R3,0.020988961643197485,1.2593376985918492,0.001436822676554824,1.0007928198272875,6.64,-1251.5406813165303,-0.013954849212128629,0.9999717308067365,TRUE
