Taxon,Replicate,r_per_minute,R,N0_cells_per_L,O2_first,O2_last,dO2_mg_per_L,FC_Initial,FC_Final,dN_cells_per_L,Y_obs,Y_kin,ratio
Acinetobacter,R1,0.01943645649413162,1.9806604877594138e-11,488279377.303928,4.97,0.24,4.7299999999999995,83,596,5260866300,8.990914671220592e-10,1.0190440260329489e-9,0.8822891299624662
Acinetobacter,R2,0.01419457550388129,1.611841680880691e-11,793951332.1058424,4.833333333333333,0.12666666666666668,4.706666666666666,115,549,4450713400,1.0575083685834873e-9,1.135533556773119e-9,0.9312876420743053
Acinetobacter,R3,0.01494408464942784,2.0789387111301205e-11,663249486.0142416,4.8,0.21666666666666667,4.583333333333333,89,438,3579029900,1.2806077237112026e-9,1.3911448977302978e-9,0.9205422999434204
Acinetobacter,R4,0.01352010924335995,1.8949370580469208e-11,998117702.4232156,4.89,0.31666666666666665,4.573333333333333,77,493,4266121600,1.072011949526552e-9,1.4015693393731784e-9,0.7648654400544935
Acinetobacter,R5,0.01018491039079284,1.6954539886807232e-11,1023589344.4256854,4.67,0.44,4.2299999999999995,105,407,3097040200,1.3658201788920918e-9,1.664672465074817e-9,0.8204738214557459
Aeromonas_A,R1,0.02152182979085593,7.1870442844018436e-12,989117443.7136704,5.083333333333333,0,5.083333333333333,216,1802,16264588600,3.125399269756711e-10,3.339420650680656e-10,0.9359106254312939
Aeromonas_A,R2,0.01990585449241123,5.080528933130586e-12,1936802521.3077583,5.093333333333334,0,5.093333333333334,213,2321,21617750800,2.356088466582441e-10,2.552278745465286e-10,0.9231313275513413
Aeromonas_A,R3,0.02463468815971646,6.382600611638374e-12,865850812.3772415,4.876666666666667,0,4.876666666666667,155,2183,20797342800,2.344850836745676e-10,2.590899698123817e-10,0.9050334285204806
Aeromonas_A,R4,0.0216194941726135,7.7330057806567e-12,1008269121.774202,4.88,0,4.88,173,1635,14992956200,3.254861773023788e-10,3.5768671176648003e-10,0.9099755920339481
Aeromonas_A,R5,0.01739496989774508,7.599879505159445e-12,1623522346.723541,4.983333333333333,0,4.983333333333333,189,1468,13116272900,3.7993516689739914e-10,4.3690098631010696e-10,0.8696138914818696
Aeromonas_B,R1,0.03054020779769078,5.611681454135444e-12,902988834.262247,4.78,0.12,4.66,155,3043,29616728800,1.5734350783534203e-10,1.8374732389868533e-10,0.8563036701535754
Aeromonas_B,R2,0.02863601071145552,4.865012815761481e-12,1023477395.362394,4.609999999999999,0,4.609999999999999,146,3193,31247289700,1.4753279546033715e-10,1.6989143022688164e-10,0.8683945697750285
Aeromonas_B,R3,0.03394930244807805,5.820835111927668e-12,740667400.8267047,4.753333333333333,0,4.753333333333333,127,3128,30775555100,1.5445158723825367e-10,1.7145669254412618e-10,0.9008198218830329
Aeromonas_B,R4,0.03585987964659123,6.0764007362420686e-12,869647908.7671227,4.553333333333334,0,4.553333333333334,128,3408,33636728000,1.3536790300570654e-10,1.6944844199497137e-10,0.7988736952194803
Aeromonas_B,R5,0.03578033974097163,6.100512754922488e-12,538582709.2881347,4.613333333333333,0.003333333333333333,4.61,138,3103,30406371500,1.5161296046126386e-10,1.704990170324421e-10,0.8892307011507014
Arthrobacter,R1,0.02511080779633006,7.341262772900708e-12,1318264379.1913104,4.823333333333333,0,4.823333333333333,204,1985,18264333100,2.640848317277642e-10,2.9235470369749044e-10,0.9033028317581712
Arthrobacter,R2,0.02587640886188693,7.210382257844775e-12,1117161426.0563328,4.726666666666667,0,4.726666666666667,186,2028,18889894200,2.5022197671528866e-10,2.786469442622259e-10,0.897989308218692
Arthrobacter,R3,0.02150094294318932,7.124251582553033e-12,1679516634.1844237,4.943333333333333,0.08,4.863333333333333,202,1820,16592751800,2.9309986625204226e-10,3.313460066089671e-10,0.8845734078755311
Arthrobacter,R4,0.0243928703356261,4.8888255994788126e-12,1951082118.7633407,4.94,0.2733333333333334,4.666666666666667,231,2923,27606729200,1.6904091146975378e-10,2.004202675705048e-10,0.8434322212961209
Arthrobacter,R5,0.02398857970330566,7.0799710793688756e-12,2029839444.5124905,5.74,0.38,5.36,201,2342,21956169100,2.441227326856396e-10,2.95139235708617e-10,0.8271442869990195
Bacillus,R1,0.0406522694099089,1.3179415504845215e-10,34774503.53743408,4.726666666666667,0,4.726666666666667,11,175,1681836400,2.8104200067656206e-9,3.2419876420559096e-9,0.8668817765706812
Bacillus,R2,0.02672952707892209,9.282478933831971e-11,93745658.16275518,4.9,0,4.9,17,164,1507499700,3.25041524054698e-9,3.47274342206817e-9,0.9359790936156223
Bacillus,R3,0.0250824325016013,1.4385935321726826e-10,51307385.10290849,4.96,0,4.96,12,99,892193700,5.559330894176903e-9,5.735462587533488e-9,0.9692907606546991
Bacillus,R4,0.02733746457736678,1.19685950736187e-10,62997579.18865025,4.85,0,4.85,11,135,1271632400,3.813995302416012e-9,4.3780925768543046e-9,0.8711545577129844
Bacillus,R5,0.02273270654790027,5.0248605900972545e-11,200444956.24547884,4.8566666666666665,0,4.8566666666666665,34,261,2327907700,2.0862797380955726e-9,2.2104101768565615e-9,0.9438428034485818
Burkholderia,R1,0.0225655256203426,6.311957549647007e-12,1505046614.6654606,4.75,0.20666666666666667,4.543333333333333,296,2201,19535965500,2.325625182606579e-10,2.7971684133769253e-10,0.8314212227925639
Burkholderia,R2,0.01985526299343977,5.525419967770007e-12,1912174536.069011,4.6033333333333335,0,4.6033333333333335,283,2020,17813108700,2.5842391751268735e-10,2.7828490459157453e-10,0.9286307422674033
Burkholderia,R3,0.02090622489729856,5.760145737393102e-12,1631555330.08315,5.47,0.38666666666666666,5.083333333333333,273,2360,21402393700,2.3751237383009796e-10,2.7552299689158184e-10,0.8620419221251392
Burkholderia,R4,0.02075222150130871,5.5376092504127185e-12,1440852142.553858,4.85,0.18,4.67,215,2086,19187292100,2.4339025932690105e-10,2.668441665420493e-10,0.9121063521114958
Burkholderia,R5,0.02204622666471412,5.105094902675047e-12,1548419137.2661884,4.72,0.17,4.55,236,2538,23607240200,1.9273748059716018e-10,2.3156320491097728e-10,0.8323320653264263
Buttiauxella,R1,0.02164977128433935,4.892442635471661e-12,1499467367.0280745,4.75,0,4.75,224,2494,23279077000,2.0404589065107694e-10,2.259812619365025e-10,0.9029327870043088
Buttiauxella,R2,0.02444709978164981,5.746107257085187e-12,1541526925.0789518,4.6466666666666665,0,4.6466666666666665,219,2381,22171526200,2.0957811495478677e-10,2.35042492091363e-10,0.8916605380159175
Buttiauxella,R3,0.02162603229409613,6.028692810210116e-12,1460816733.4175856,4.673333333333334,0.05,4.623333333333334,212,2081,19166781900,2.4121594107215954e-10,2.7877017514007597e-10,0.8652860405563606
Buttiauxella,R4,0.01862887955508459,5.0888159959013534e-12,2454251945.666075,4.696666666666666,0.07666666666666667,4.619999999999999,245,2156,19597496100,2.3574440206164905e-10,2.731681194703095e-10,0.8630011529851014
Buttiauxella,R5,0.02164406271296873,5.876474239462954e-12,1451951044.409993,4.46,0,4.46,236,2073,18838618700,2.367477186636831e-10,2.715051382632465e-10,0.8719824610985328
Chromobacterium,R1,0.02522617126544078,9.69112269916136e-12,891124886.278548,4.753333333333333,0,4.753333333333333,138,1466,13618772800,3.490280220647585e-10,3.841693849291333e-10,0.9085263838219247
Chromobacterium,R2,0.02625342021813681,7.404094922935502e-12,994001055.2524904,5.246666666666667,0.36,4.886666666666667,139,2092,20028210300,2.4398918293097147e-10,2.8202401292538964e-10,0.8651362002834829
Chromobacterium,R3,0.02637388049003547,9.482862218681312e-12,696312614.3438448,4.716666666666667,0,4.716666666666667,115,1526,14469946100,3.259629741583258e-10,3.5955506138977573e-10,0.9065731765766066
Chromobacterium,R4,0.02319349563680926,9.789618351736918e-12,1026196183.4535604,4.836666666666667,0,4.836666666666667,123,1376,12849640300,3.764048295318171e-10,4.2208464411894405e-10,0.8917757013347912
Chromobacterium,R5,0.02492601488710632,8.318483989334815e-12,823478802.9152616,4.6433333333333335,0,4.6433333333333335,134,1599,15023721500,3.090667870363101e-10,3.3372699274274224e-10,0.9261066493190685
Chryseobacterium,R1,0.01546010521164195,1.8269130550962703e-12,2804145113.797192,4.93,2.9633333333333334,1.9666666666666663,333,2913,26458158000,7.433120123731465e-11,1.1816950985045992e-10,0.6290218291620117
Chryseobacterium,R2,0.01681179114807214,1.9479766355537535e-12,2406945449.5078826,4.706666666666667,3.1033333333333335,1.6033333333333335,246,2688,25042954200,6.402333049562234e-11,1.1586966661652431e-10,0.5525460835881261
