Taxon,Replicate,r_per_minute,K,O2_0,O2_ref,T_end_min,fit_start_min,C_tot_mg_per_L,pseudo_R2,AIC,fit_ok,N_inoc_cells_per_L,delta_Ninoc_to_N0_min,cell_carbon_fg,N0_cells_per_L,biomass_integral_cells_min_per_L,R,R_C_fg_cell_h,G_C_fg_cell_h,r_per_hour
Acinetobacter,R1,0.019436456494131622,0.001561543061808925,1.0010946527782818,6.193333333333333,112.02000000000001,43.03,3.89215862455252,0.9999385584573174,-1158.6310835372913,TRUE,16953578,51.05,86.0633,45727963.658746645,18403226597.363873,2.1149327287585772e-10,4763.258392109369,100.36593517148388,1.1661873896478974
Acinetobacter,R2,0.014194575503881292,0.0021776355921933263,1.0014300304492791,5.876666666666667,116.00000000000001,50.05,3.776767269878864,0.9999503192856314,-1216.3368071022883,TRUE,33488070,52.05,86.0633,70106597.90790223,20690112515.09846,1.8253971635595483e-10,4111.165447499293,73.2979205977912,0.8516745302328775
Acinetobacter,R3,0.014944084649427846,0.0024063787637210506,1.0030479558953302,5.73,88.00000000000001,64.05,2.5143357739751067,0.9998689128395454,-903.095493376614,TRUE,22748271,60.05,86.0633,55806001.965407565,10176198652.30448,2.4708006003850127e-10,5564.745173677928,77.16823442454621,0.8966450789656708
Acinetobacter,R4,0.013520109243359953,0.0030804075286879487,1.0051878354610433,6.14,106.00000000000001,72.05,4.465116384914033,0.9999596442126263,-1106.2787907055563,TRUE,34525084,72.05,86.0633,91451612.1367996,21589749425.915382,2.0681649873871646e-10,4657.9279324033805,69.81511307064363,0.8112065546015972
Acinetobacter,R5,0.010184910390792846,0.0030679704834017944,1.0037568612102357,5.656666666666666,119.00000000000001,58.05,4.021663530705162,0.9999561291049702,-1236.3033557807296,TRUE,50860733,58.05,86.0633,91865469.62570235,21288559113.497547,1.8891196483820804e-10,4254.681435724201,52.59281990615532,0.6110946234475708
Aeromonas_A,R1,0.021521829790855932,0.0011301797886239266,1.000470725734427,6.29,105.01000000000002,47.07,2.835085598821371,0.9999012981245384,-1106.9223288014477,TRUE,32331973,54.07,67.4722,103517631.78185618,41284052530.91683,6.867265747950083e-11,1546.6478323388042,87.12751224087538,1.291309787451356
Aeromonas_A,R2,0.01990585449241123,0.0016300355462061293,1.001510598054952,6.036666666666666,111.01000000000002,64.07,4.010678231954882,0.999932377866484,-1125.288924973137,TRUE,48492282,62.07,67.4722,166827615.9722978,67997272662.99834,5.898292791583314e-11,1328.4154269586945,80.58550772897215,1.1943512695446739
Aeromonas_A,R3,0.024634688159716464,9.19021051773819e-4,1.002385543397342,6.013333333333334,119.01000000000002,59.07,3.984357754963256,0.9999223997837795,-1196.2662996444344,TRUE,17920155,61.07,67.4722,80669976.12393828,58160685538.01194,6.850603149027893e-11,1542.8950763730359,99.72939638700127,1.4780812895829878
Aeromonas_A,R4,0.0216194941726135,0.001280988655060935,1.0026801572192143,6.086666666666667,100.01000000000002,56.07,2.773332986284829,0.9998790787053383,-1030.9262376610118,TRUE,26425383,58.07,67.4722,92737141.16126662,32986096023.948193,8.407581740716953e-11,1893.5583027892615,87.52289008280475,1.29716965035681
Aeromonas_A,R5,0.017394969897745086,0.00194308255260356,1.0012721672383857,6.35,94.01000000000002,74.07,2.930196778646776,0.9998712644313471,-958.0978176331726,TRUE,39085262,72.07,67.4722,136920565.73505753,32516253000.581963,9.011483514396116e-11,2029.569257292551,70.42061327607816,1.0436981938647052
