Taxon,Replicate,r,K,se_r,se_K,rho_rK
Acinetobacter,R1,0.01943645650227968,0.001561543060916622,5.700201504661924e-5,6.480206579206641e-6,-0.9836483471209175
Acinetobacter,R2,0.01419457550388129,0.00217763559219332,4.655027822255207e-5,7.290626747856905e-6,-0.9803664115747048
Acinetobacter,R3,0.014944084683788508,0.002406378759503797,1.119824900131554e-4,1.4248313283486955e-5,-0.9780168608568489
Acinetobacter,R4,0.01352010924335995,0.00308040752868794,4.7332092135531016e-5,9.390412035145547e-6,-0.9788984895218055
Acinetobacter,R5,0.010184910396164598,0.00306797048226076,4.09304907221939e-5,8.876984221795577e-6,-0.9773484494880997
Aeromonas_A,R1,0.02152182973967399,0.0011301797926042852,8.022065813832143e-5,6.231068453135997e-6,-0.9841095779553318
Aeromonas_A,R2,0.01990585449241123,0.00163003554620612,6.07966066366621e-5,7.168822618539334e-6,-0.9838309104060965
Aeromonas_A,R3,0.02463468815971646,9.19021051773819e-4,6.311469158998713e-5,4.749692318595822e-6,-0.9875053983312706
Aeromonas_A,R4,0.0216194941726135,0.00128098865506093,9.46924724580364e-5,7.877306908107677e-6,-0.9835478909112636
Aeromonas_A,R5,0.01739496989774508,0.00194308255260356,1.0267864432579142e-4,1.1624873491581528e-5,-0.9802552564815369
Aeromonas_B,R1,0.03054020779769078,8.464285681270882e-4,1.1545386472665938e-4,6.220115454710593e-6,-0.9870761649840286
Aeromonas_B,R2,0.02863601071145552,8.511505376205517e-4,1.1309526601844067e-4,6.441151496476069e-6,-0.9869268982535754
Aeromonas_B,R3,0.03394930244807805,7.528468241546485e-4,1.412955024640557e-4,6.474555415171142e-6,-0.9877430480102902
Aeromonas_B,R4,0.03585987964659123,8.509386784386346e-4,1.3062420734260733e-4,6.378204032581485e-6,-0.9876913526951862
Aeromonas_B,R5,0.03578033965657565,5.710829728399444e-4,1.8706393682957166e-4,6.127297507138069e-6,-0.9876619340274057
Arthrobacter,R1,0.02511080781836032,0.0016102704156605837,6.848087920689877e-5,7.101953137491712e-6,-0.985061546896422
Arthrobacter,R2,0.02587640886188693,0.00136451060286592,5.11587449854881e-5,5.026054282203788e-6,-0.9866219357683622
Arthrobacter,R3,0.021500942908678766,0.0019942165096640836,1.5687384119710207e-4,1.408087400303682e-5,-0.9797501317893889
Arthrobacter,R4,0.0243928703356261,0.00158975003481593,6.506334524651012e-5,6.625027209856342e-6,-0.984686839689197
Arthrobacter,R5,0.02398857970330566,0.0020520520556274,1.1756330907588274e-4,1.1396789005138926e-5,-0.981281236830604
Bacillus,R1,0.04065226938355063,7.600458239172639e-4,9.058696975686185e-5,4.114153629803326e-6,-0.9894972135783735
Bacillus,R2,0.02672952707892209,0.00146826563054103,1.0980407469900376e-4,9.61582020210431e-6,-0.9848974036401339
Bacillus,R3,0.025082432485662883,0.0012446959940323216,5.873837692148844e-5,5.2322096220930026e-6,-0.9862148679813068
Bacillus,R4,0.02733746457736678,0.00120446088806259,6.56871259547009e-5,5.4366556452246195e-6,-0.9867090087462205
Bacillus,R5,0.02273270654790027,0.00174156996159367,8.825859850048282e-5,9.248935646219306e-6,-0.9832586501642117
Burkholderia,R1,0.0225655256203426,0.00150950058400556,7.146647183231794e-5,7.394757366611494e-6,-0.9845878820966928
Burkholderia,R2,0.01985526299343977,0.00188222696498641,6.900512712719997e-5,8.69810788131876e-6,-0.9829803261809771
Burkholderia,R3,0.02090622491207607,0.0014139412943838154,5.709962897606677e-5,5.8927614255489755e-6,-0.9844497525703847
Burkholderia,R4,0.02075222150130871,0.00138522155435472,6.480706245865619e-5,6.68299778503489e-6,-0.9845850271775521
Burkholderia,R5,0.02204622666471412,0.00130514474048356,6.74800576928928e-5,6.147764449087418e-6,-0.9845353021271686
Buttiauxella,R1,0.021649771272688655,0.001251887044945239,7.677222351886377e-5,6.9125413388801826e-6,-0.9846704323869553
Buttiauxella,R2,0.02444709978164981,0.00154856277118677,6.992697547418429e-5,7.193794032654107e-6,-0.9851116440257093
Buttiauxella,R3,0.02162603228910582,0.0015003092573743699,6.588881701550158e-5,6.570617323078224e-6,-0.9837987672094295
Buttiauxella,R4,0.01862887955508459,0.00214837784846517,5.9136341537999275e-5,8.794013067297757e-6,-0.9826675969108176
Buttiauxella,R5,0.02164406270204685,0.0014995347831487495,6.038609712220748e-5,6.5106296849126234e-6,-0.9846594303896739
Chromobacterium,R1,0.025226171248009494,0.001462076854696663,9.509702742377819e-5,7.881921149755202e-6,-0.983717717724283
Chromobacterium,R2,0.026253420216045296,0.0011788058997616044,8.01333284767716e-5,6.136733055076412e-6,-0.9856445891744118
Chromobacterium,R3,0.026373880493910137,0.0011597839428399946,7.911550190735948e-5,6.113041799714377e-6,-0.9859732898504555
Chromobacterium,R4,0.023193495639002703,0.0016979271530389664,6.27401898015222e-5,6.925093113240849e-6,-0.9843075970140287
Chromobacterium,R5,0.024926014888548828,0.0012159932372973732,4.49951983516398e-5,4.400674628026316e-6,-0.9874368339189209
Chryseobacterium,R1,0.015460105223637544,8.384499691769018e-4,5.072602295587961e-5,3.5097523811931364e-6,-0.9825787785452286
Chryseobacterium,R2,0.016811791135711532,7.875711371962443e-4,5.676528811870869e-5,3.506863124500867e-6,-0.9829120705827389
Chryseobacterium,R3,0.01668582715915156,9.312067517155902e-4,5.780217245960564e-5,4.055537214222673e-6,-0.9824166971526795
Chryseobacterium,R4,0.01577081633140894,6.788354020645641e-4,3.697256907335096e-5,2.2689728884404983e-6,-0.9837503053500907
Chryseobacterium,R5,0.0154155460716585,0.00107848665072903,5.260906473900097e-5,4.135648574848945e-6,-0.9812857889983984
Flavobacterium_A,R1,0.01802196080469134,0.0011986181924599,5.8966534244105956e-5,5.72254379365684e-6,-0.983991030113739
Flavobacterium_A,R2,0.015677207272735715,0.002138366507541303,7.63173274194009e-5,1.0395762577067296e-5,-0.9801368934786868
Flavobacterium_A,R3,0.02416130472305527,0.00128073842831951,6.524500768710385e-5,6.003197778607256e-6,-0.9858476584864744
Flavobacterium_A,R4,0.02351547306940147,0.00150600350882712,1.3981079643194544e-4,1.068742170579353e-5,-0.9818197744251939
Flavobacterium_A,R5,0.02134249518277886,0.001493955259249436,5.5348427361090126e-5,5.995422383878866e-6,-0.9845934489584481
Flavobacterium_B,R1,0.0161003393333728,0.001624196403948924,3.865243120702446e-5,5.360277349075529e-6,-0.9833656148021592
Flavobacterium_B,R2,0.0148048700585227,0.0021043742219340484,6.859744393974351e-5,9.318901799195221e-6,-0.9797314395937882
Flavobacterium_B,R3,0.0141867680204075,0.0017838885995339212,3.800082438977563e-5,5.46272677453918e-6,-0.9814776584778312
Flavobacterium_B,R4,0.014978991022919486,0.0018835508509303807,4.7454798471221416e-5,6.4831234652050986e-6,-0.9809622242823712
Flavobacterium_B,R5,0.007972481348553922,0.001588747927507833,9.021139327696752e-5,7.618271669890885e-6,-0.9737597255394991
Herbaspirillum,R1,0.01838774087987666,0.0010426551598049138,6.174334180001114e-5,4.639420949544787e-6,-0.9829562432488724
Herbaspirillum,R2,0.022541984305366695,8.54084712343128e-4,5.288105805530603e-5,3.5965084559257393e-6,-0.9862236500139527
Herbaspirillum,R3,0.02231892948367655,7.838853468847181e-4,5.256706628997956e-5,3.143110424690848e-6,-0.9856405078439392
Herbaspirillum,R4,0.02169290408519785,8.99942686361268e-4,5.4894935830744156e-5,4.0627406280807354e-6,-0.9861590712282656
Herbaspirillum,R5,0.01984617204888009,9.225470256429326e-4,4.6518104863328576e-5,3.536726215125832e-6,-0.9852128880418498
Pseudomonas,R1,0.02476961577599536,7.058706372483028e-4,6.694983008336728e-5,3.913136846441259e-6,-0.9876885477170092
Pseudomonas,R2,0.02125353060972634,0.00104179913355233,5.9969235855496633e-5,4.918804878163449e-6,-0.9854576140576041
Pseudomonas,R3,0.02530935956809623,0.00105711326126181,6.702335039835185e-5,5.367310973886134e-6,-0.9869381439774233
Pseudomonas,R4,0.01897503526471538,0.00161190660070288,4.793185092587117e-5,6.014926873367175e-6,-0.9841047322573292
