figure,in_committed,in_modular,in_original_run,status
Fig_2_oxygen_dynamics_facet4_no_overflow.tiff,TRUE,TRUE,TRUE,regenerated
Fig_3_growth_rate_comparison.tiff,TRUE,TRUE,TRUE,regenerated
Fig_4_growth_rate_regression_normalized_combined.tiff,TRUE,TRUE,TRUE,regenerated
Fig_5_BlandAltman_AllReplicates_LME.tiff,TRUE,TRUE,TRUE,regenerated
Fig_6_COMBINED.tiff,TRUE,FALSE,TRUE,NOT regenerated by modular (original run makes it)
Fig_6_r_vs_R_pooled_MAIN.tiff,TRUE,FALSE,FALSE,NOT regenerated by modular
Fig_6b_between_taxon.tiff,TRUE,FALSE,FALSE,NOT regenerated by modular
Fig_6c_within_taxon.tiff,TRUE,FALSE,FALSE,NOT regenerated by modular
Fig_6d_per_taxon_replicates.tiff,TRUE,FALSE,FALSE,NOT regenerated by modular
Fig_7_SharpeSchoolfield_Temperature_Fits_NEWformula.pdf,FALSE,TRUE,TRUE,new in modular run
Fig_S2_synthetic_param_recovery_combined.pdf,FALSE,TRUE,TRUE,new in modular run
Fig_S2_synthetic_param_recovery_combined.png,FALSE,TRUE,TRUE,new in modular run
method_effects_CI.tiff,TRUE,TRUE,TRUE,regenerated
N0_MC_ourmodel_R_rel_sd_by_taxon_ALL.pdf,FALSE,TRUE,FALSE,new in modular run
N0_MC_ourmodel_R_rel_sd_by_taxon_ALL.png,FALSE,TRUE,FALSE,new in modular run
N0_MC_ourmodel_R_rel_sd_density_ALL.pdf,FALSE,TRUE,FALSE,new in modular run
N0_MC_ourmodel_R_rel_sd_density_ALL.png,FALSE,TRUE,FALSE,new in modular run
oxygen_dynamics_all_models_NEWformula.pdf,FALSE,TRUE,TRUE,new in modular run
oxygen_dynamics_all_models.pdf,FALSE,TRUE,TRUE,new in modular run
oxygen_dynamics_fullsize_per_page_NEWformula.pdf,FALSE,TRUE,TRUE,new in modular run
oxygen_dynamics_fullsize_per_page.pdf,FALSE,TRUE,TRUE,new in modular run
oxygen_model_fit_curves.pdf,FALSE,TRUE,TRUE,new in modular run
oxygen_trimming_diagnostics.pdf,FALSE,TRUE,TRUE,new in modular run
supp_Fig_3_oxygen_all_replicates_NORMALISED_by_replicate.tiff,TRUE,TRUE,TRUE,regenerated
Supp_Fig_S1_residuals.tiff,TRUE,TRUE,TRUE,regenerated
