table,class,n_rows_ref,n_rows_new,n_cols_compared,max_abs_diff,max_rel_diff,worst_column,note
data_Fig6_RIS_COLLAPSED_centeredX.csv,NOT REGENERATED,75,NA,0,NA,NA,NA,no counterpart in modular
Fig6_taxon_specific_lines_COLLAPSED_centeredX_EXTENDED.csv,NOT REGENERATED,1800,NA,0,NA,NA,NA,no counterpart in modular
Fig6b_taxon_specific_slopes.csv,NOT REGENERATED,15,NA,0,NA,NA,NA,no counterpart in modular
growth_rates_combined.csv,DIVERGENT,75,75,6,0.27302286738236603,0.00633145926805345,doubling_time_O2,
method_effects_estimates.csv,DIVERGENT,3,3,3,1.6374595030860944e-5,7.447812082837568e-4,CI_lower,
method_effects_significance.csv,DIVERGENT,3,3,5,0.01753898954076638,0.04596041851312208,p.value,aligned by row order (no key columns)
N0_MC_ourmodel_overall_summary_ALL.csv,IDENTICAL,4,4,7,2.7755575615628914e-16,6.959338193740402e-16,R_rel_sd_med,
N0_MC_ourmodel_taxon_summary_ALL.csv,IDENTICAL,60,60,7,4.440892098500626e-16,1.1393005653374699e-15,R_rel_sd_min,
Oxygen_Data_Filtered.csv,DIVERGENT,9850,9462,1,0,0,Oxygen,cols only in modular: curve_code/O2_fit; row count 9850 vs 9462; 9422 of 9850/9462 rows matched on Taxon+Replicate+Time
Oxygen_Data_Trimmed.csv,NOT REGENERATED,9850,NA,0,NA,NA,NA,no counterpart in modular
oxygen_fit_curves.csv,DIVERGENT,9249,8035,12,457.0767066155116,1,Time0_min,row count 9249 vs 8035; 7774 of 9249/8035 rows matched on Taxon+Replicate+Time_min
oxygen_fit_results.csv,DIVERGENT,75,75,9,457.0767066155116,0.6941789944305541,C_tot_mg_per_L,cols only in modular: fit_start_min
oxygen_model_comparison_O2_ge_0.5_summary.csv,DIVERGENT,1,1,11,0.0013940637205432996,0.10267728787191312,max_abs_K_ratio_minus1,aligned by row order (no key columns)
oxygen_model_results_good_only_NEWformula.csv,IDENTICAL,24,24,17,0,0,N0_cells_per_mL,
oxygen_model_results_main.csv,DIVERGENT,75,75,9,133.39201894867733,0.6870819227937037,lnO2_change_per_min,
oxygen_model_results_O2_ge_0.5.csv,DIVERGENT,75,75,9,133.39201894867733,0.2070627621372487,K,
oxygen_results_with_R.csv,DIVERGENT,75,75,16,86742539013.69788,0.6941789944305541,C_tot_mg_per_L,cols only in original: N_inoculation_cells_per_L; cols only in modular: fit_start_min/N_inoc_cells_per_L/cell_carbon_fg
SharpeSchoolfield_Temperature_Params_NEWformula.csv,IDENTICAL,3,3,8,0,0,Topt_C,
Skipped_Series_Log.csv,DIVERGENT,0,0,1,NA,NA,NA,cols only in modular: curve_code
synthetic_parameter_recovery_results.csv,IDENTICAL,12150,12150,12,0,0,r_true,aligned by row order (no key columns)
Table_S2_synthetic_parameter_recovery_summary.csv,IDENTICAL,27,27,11,0,0,n_fits,
Table_S3_oxygen_model_comparison_O2_ge_0.5.csv,DIVERGENT,75,75,8,0.004509345319554603,1.8002446183053071,K_diff,
