Taxon,n,n_FC_sources_disagree,median_ratio_vs_CellCounts,min_ratio_vs_CellCounts,max_ratio_vs_CellCounts,median_ratio_vs_ODFC
Acinetobacter,5,5,0.35625606382978725,0.18035721276595745,0.5410716276595745,0.2912006086956522
Aeromonas_A,5,4,0.1710686402116402,0.09481563492063493,0.25657292063492065,0.15274787861271677
Aeromonas_B,5,5,0.08735369784172661,0.049241410071942444,0.14772423741007193,0.095607590551181107
Arthrobacter,5,5,0.16217123902439023,0.10429379024390244,0.18948096097560976,0.16236270562770563
Bacillus,5,4,0.05807405882352941,0.03730923529411765,0.11192764705882353,0.06391927272727273
Burkholderia,5,5,0.14061245210727968,0.11898975478927203,0.17730778160919541,0.13963844491525423
Buttiauxella,5,5,0.17445393392070485,0.1451811101321586,0.2636789295154185,0.16780102966101695
Chromobacterium,5,5,0.14130511538461538,0.10450523076923077,0.16360423846153846,0.13708705223880596
Chryseobacterium,5,5,0.3105540419847328,0.2617685458015267,0.41367997328244277,0.32547793693693694
Flavobacterium_A,5,4,0.13354134972677595,0.09835769398907104,0.29507307650273223,0.17362820900321543
Flavobacterium_B,5,5,0.1832481515151515,0.16830203030303031,0.33475221212121214,0.19935787912087913
Herbaspirillum,5,5,0.21558976807228916,0.1451777078313253,0.29332047590361443,0.2301472765273312
Pseudomonas,5,5,0.1828994184397163,0.09300789361702128,0.27008221276595745,0.1778539172413793
Serratia,5,5,0.08407453237410072,0.06446396402877698,0.19339189928057554,0.11247478661087866
Yersinia,5,5,0.05450334259259259,0.025367212962962963,0.07291381481481482,0.05215027814569537
