Taxon,Replicate,N_inoc_cells_per_L,delta_min,FC_Initial_CellCounts,FC_Initial_ODFC,FC_CellCounts_as_cells_per_L,FC_ODFC_as_cells_per_L,ratio_Ninoc_over_FC_CellCounts,ratio_Ninoc_over_FC_ODFC,FC_sources_agree
Acinetobacter,R1,16953578,51.05,94,83,94000000,83000000,0.18035721276595745,0.20425997590361447,FALSE
Acinetobacter,R2,33488070,52.05,94,115,94000000,115000000,0.35625606382978725,0.2912006086956522,FALSE
Acinetobacter,R3,22748271,60.05,94,89,94000000,89000000,0.2420028829787234,0.25559855056179775,FALSE
Acinetobacter,R4,34525084,72.05,94,77,94000000,77000000,0.36728812765957447,0.44837771428571427,FALSE
Acinetobacter,R5,50860733,58.05,94,105,94000000,105000000,0.5410716276595745,0.48438793333333335,FALSE
Aeromonas_A,R1,32331973,54.07,189,216,189000000,216000000,0.1710686402116402,0.14968506018518518,FALSE
Aeromonas_A,R2,48492282,62.07,189,213,189000000,213000000,0.25657292063492065,0.2276632957746479,FALSE
Aeromonas_A,R3,17920155,61.07,189,155,189000000,155000000,0.09481563492063493,0.11561390322580645,FALSE
Aeromonas_A,R4,26425383,58.07,189,173,189000000,173000000,0.13981684126984126,0.15274787861271677,FALSE
Aeromonas_A,R5,39085262,72.07,189,189,189000000,189000000,0.20680032804232804,0.20680032804232804,TRUE
Aeromonas_B,R1,17021733,48.03,139,155,139000000,155000000,0.12245851079136691,0.10981763225806451,FALSE
Aeromonas_B,R2,20533669,56.05,139,146,139000000,146000000,0.14772423741007193,0.14064156849315068,FALSE
Aeromonas_B,R3,12142164,55.05,139,127,139000000,127000000,0.08735369784172661,0.095607590551181107,FALSE
Aeromonas_B,R4,9555359,62.05,139,128,139000000,128000000,0.06874358992805756,0.0746512421875,FALSE
Aeromonas_B,R5,6844556,57.05,139,138,139000000,138000000,0.049241410071942444,0.04959823188405797,FALSE
Arthrobacter,R1,33245104,55.05,205,204,205000000,204000000,0.16217123902439023,0.16296619607843138,FALSE
Arthrobacter,R2,24395408,62.05,205,186,205000000,186000000,0.11900199024390244,0.13115810752688173,FALSE
Arthrobacter,R3,38843597,62.05,205,202,205000000,202000000,0.18948096097560976,0.19229503465346534,FALSE
Arthrobacter,R4,37505785,65.05,205,231,205000000,231000000,0.1829550487804878,0.16236270562770563,FALSE
Arthrobacter,R5,21380227,69.05,205,201,205000000,201000000,0.10429379024390244,0.10636928855721393,FALSE
Bacillus,R1,634257,53.07,17,11,17000000,11000000,0.03730923529411765,0.05765972727272727,FALSE
Bacillus,R2,1560534,57.07,17,17,17000000,17000000,0.09179611764705882,0.09179611764705882,TRUE
Bacillus,R3,987259,65.07,17,12,17000000,12000000,0.05807405882352941,0.08227158333333333,FALSE
Bacillus,R4,703112,75.07,17,11,17000000,11000000,0.041359529411764705,0.06391927272727273,FALSE
