Taxon,n,OD_init_med,stated_cells_per_L,measuredOD_cells_per_L_med,FC_cells_per_L_med,N_inoc_med,r_FCoverNinoc,r_measODoverNinoc,r_FCovermeasOD,r_measODoverStatedOD
Acinetobacter,5,7.4e-4,400000000,592000000,912704081.632653,33488070,35.21662295539508,17.14695321233686,1.6216652323580032,1.48
Aeromonas_A,5,0.00224,400000000,1791999999.9999998,1938214285.7142856,32331973,67.1374433082474,54.43527990079665,1.1144575177009577,4.4799999999999995
Aeromonas_B,5,0.00209,400000000,1671999999.9999998,1415204081.632653,12142164,107.26242531262741,153.51464533010756,0.8152097244427725,4.18
Arthrobacter,5,0.00104,400000000,831999999.9999999,2071530612.2448978,33245104,63.16168482884897,27.432610828950935,2.4774946036106753,2.0799999999999996
Bacillus,5,7e-4,400000000,560000000,123061224.48979591,987259,160.43834047631043,486.19460546827116,0.25637755102040816,1.4
Burkholderia,5,0.00134,400000000,1072000000,2799642857.142857,36699850,73.44039134093829,27.674375649244038,2.6537325456498384,2.68
Buttiauxella,5,0.00166,400000000,1328000000,2297142857.142857,39601043,61.11465502645101,34.10723532366399,1.670545212765957,3.32
Chromobacterium,5,0.002,400000000,1600000000,1374183673.4693875,18369665,74.80722557920286,96.6344398862516,0.8189838435374149,4
Chryseobacterium,5,8.5e-4,400000000,680000000,2676581632.653061,81365159,31.50782549910074,8.048599661034391,3.890380280018984,1.7
Flavobacterium_A,5,0.0028,400000000,2240000000,1507499999.9999998,24438067,59.06357094673718,82.86811375685787,0.7637914540816326,5.6
Flavobacterium_B,5,7e-4,400000000,560000000,984489795.9183673,18141567,51.44066583191438,26.458574388860672,1.75801749271137,1.4
Herbaspirillum,5,9.4e-4,400000000,752000000,3220102040.816326,71575803,44.55886767618768,11.400500808911639,4.282050586191923,1.88
Pseudomonas,5,0.00444,400000000,3552000000.0000005,1322908163.265306,25788818,57.66025398753705,138.35453800170293,0.435312727342344,8.88
Serratia,5,0.00134,400000000,1072000000,1271632653.0612245,11686360,91.17689706134053,61.30616200584835,1.487238706162076,2.68
Yersinia,5,0.0037,400000000,2960000000,1035765306.1224489,5886361,196.64520316010646,679.53698388529,0.33606246552675123,7.4
