Taxon,Replicate,OD_Initial,OD_Final,FC_Initial_perrep,FC_Final_perrep,Duration_min,FC_Initial_taxonmean,N_inoc_cells_per_L,delta_min,cell_volume_um3,cell_carbon_fg,stated_OD_mid,stated_OD_lo,stated_OD_hi,measured_OD_mid,measured_OD_lo,measured_OD_hi,size_factor,measured_OD_sizeadj,FC_cells_per_L,FC_cells_per_L_taxonmean,FC_cells_per_L_nodil,FC_end_cells_per_L,N_inoc,ratio_FC_over_Ninoc,ratio_measuredOD_over_Ninoc,ratio_statedOD_over_Ninoc,ratio_FC_over_measuredOD,ratio_FC_over_statedOD,ratio_measuredOD_over_statedOD
Acinetobacter,R1,6.4e-4,0.00456,83,596,101,94,16953578,51.05,0.8606,86.0633,400000000,250000000,1000000000,512000000.00000006,320000000,1280000000,0.41828277739231984,214160782.02486777,851173469.3877549,963979591.8367345,83000000,6112040816.32653,16953578,50.20612577402569,30.200114689654306,23.593839601292423,1.6624481823979587,2.1279336734693874,1.28
Acinetobacter,R2,6.7e-4,0.00446,115,549,115,94,33488070,52.05,0.8606,86.0633,400000000,250000000,1000000000,536000000,335000000,1340000000,0.41828277739231984,224199568.68228343,1179336734.6938775,963979591.8367345,115000000,5630051020.408163,33488070,35.21662295539508,16.0056999403071,11.94455219425903,2.200255102040816,2.9483418367346936,1.34
Acinetobacter,R3,0.00124,0.00606,89,438,119,94,22748271,60.05,0.8606,86.0633,400000000,250000000,1000000000,992000000,620000000,2480000000,0.41828277739231984,414936515.1731813,912704081.632653,963979591.8367345,89000000,4491734693.877551,22748271,40.121909996265344,43.60770979033967,17.583753947717607,0.9200645984200131,2.2817602040816327,2.48
Acinetobacter,R4,7.4e-4,0.00496,77,493,120,94,34525084,72.05,0.8606,86.0633,400000000,250000000,1000000000,592000000,370000000,1480000000,0.41828277739231984,247623404.21625334,789642857.1428571,963979591.8367345,77000000,5055765306.122448,34525084,22.871569469399613,17.14695321233686,11.585779197524907,1.3338561776061775,1.9741071428571426,1.48
Acinetobacter,R5,8.3e-4,0.00406,105,407,124,94,50860733,58.05,0.8606,86.0633,400000000,250000000,1000000000,664000000,415000000,1660000000,0.41828277739231984,277739764.18850034,1076785714.2857141,963979591.8367345,105000000,4173826530.6122446,50860733,21.171258272776253,13.05525816940153,7.864613355061163,1.6216652323580032,2.6919642857142856,1.66
Aeromonas_A,R1,0.0022,0.01662,216,1802,109,189,32331973,54.07,0.6747,67.4722,400000000,250000000,1000000000,1760000000,1100000000,4400000000,0.5335321746314369,939016627.3513288,2215102040.816326,1938214285.7142856,216000000,18479693877.551018,32331973,68.51119295492194,54.43527990079665,12.37165452290833,1.2585807050092763,5.537755102040816,4.4
Aeromonas_A,R2,0.00245,0.01952,213,2321,116,189,48492282,62.07,0.6747,67.4722,400000000,250000000,1000000000,1960000000,1225000000,4900000000,0.5335321746314369,1045723062.2776163,2184336734.693877,1938214285.7142856,213000000,23802091836.734688,48492282,45.04503901659809,40.418803140672985,8.24873533483122,1.1144575177009577,5.460841836734693,4.8999999999999995
Aeromonas_A,R3,0.00158,0.02712,155,2183,117,189,17920155,61.07,0.6747,67.4722,400000000,250000000,1000000000,1264000000,790000000,3160000000,0.5335321746314369,674384668.7341362,1589540816.3265305,1938214285.7142856,155000000,22386887755.10204,17920155,88.70128725597131,70.53510418855194,22.321235502706312,1.2575481141823817,3.9738520408163263,3.16
Aeromonas_A,R4,0.0023,0.01842,173,1635,112,189,26425383,58.07,0.6747,67.4722,400000000,250000000,1000000000,1840000000,1150000000,4600000000,0.5335321746314369,981699201.3218439,1774132653.0612245,1938214285.7142856,173000000,16767091836.734694,26425383,67.1374433082474,69.63002201330441,15.136961307240089,0.964202528837622,4.435331632653061,4.6
Aeromonas_A,R5,0.00224,0.02012,189,1468,129,189,39085262,72.07,0.6747,67.4722,400000000,250000000,1000000000,1791999999.9999998,1120000000,4480000000,0.5335321746314369,956089656.9395348,1938214285.7142856,1938214285.7142856,189000000,15054489795.918365,39085262,49.589389619910584,45.84848375840489,10.234036553215379,1.081592793367347,4.845535714285714,4.4799999999999995
Aeromonas_B,R1,0.00184,0.02666,155,3043,94,139,17021733,48.03,0.6747,67.4722,400000000,250000000,1000000000,1472000000,920000000,3680000000,0.5335321746314369,785359361.0574751,1589540816.3265305,1425459183.673469,155000000,31206275510.20408,17021733,93.38301901025768,86.47768120907548,23.49936989377051,1.0798510980479148,3.9738520408163263,3.68
Aeromonas_B,R2,0.00203,0.02446,146,3193,97,139,20533669,56.05,0.6747,67.4722,400000000,250000000,1000000000,1624000000,1015000000.0000001,4060000000.0000005,0.5335321746314369,866456251.6014534,1497244897.9591837,1425459183.673469,146000000,32744540816.326527,20533669,72.91657900783264,79.0896161811121,19.480201029830567,0.9219488287926008,3.7431122448979592,4.0600000000000005
Aeromonas_B,R3,0.00233,0.03896,127,3128,88,139,12142164,55.05,0.6747,67.4722,400000000,250000000,1000000000,1864000000,1165000000,4660000000,0.5335321746314369,994503973.5129983,1302397959.1836734,1425459183.673469,127000000,32077959183.673466,12142164,107.26242531262741,153.51464533010756,32.94305693779132,0.698711351493387,3.2559948979591833,4.66
Aeromonas_B,R4,0.00209,0.03466,128,3408,88,139,9555359,62.05,0.6747,67.4722,400000000,250000000,1000000000,1671999999.9999998,1044999999.9999999,4179999999.9999995,0.5335321746314369,892065795.9837624,1312653061.2244897,1425459183.673469,128000000,34949387755.102036,9555359,137.37349493875527,174.980343491019,41.86132619402369,0.7850795820720633,3.2816326530612243,4.18
Aeromonas_B,R5,0.00217,0.03986,138,3103,95,139,6844556,57.05,0.6747,67.4722,400000000,250000000,1000000000,1736000000,1085000000,4340000000,0.5335321746314369,926211855.1601744,1415204081.632653,1425459183.673469,138000000,31821581632.653057,6844556,206.76346013279064,253.63222976041104,58.44060593557858,0.8152097244427725,3.5380102040816324,4.34
Arthrobacter,R1,0.00114,0.01876,204,1985,87,205,33245104,55.05,0.7893,78.9285,400000000,250000000,1000000000,912000000,570000000,2280000000,0.45606760195594886,415933652.9838254,2092040816.3265302,2102295918.3673465,204000000,20356377551.02041,33245104,62.92778679009487,27.432610828950935,12.03184685480304,2.2939044038668093,5.230102040816326,2.28
Arthrobacter,R2,0.00184,0.02916,186,2028,95,205,24395408,62.05,0.7893,78.9285,400000000,250000000,1000000000,1472000000,920000000,3680000000,0.45606760195594886,671331510.0791568,1907448979.5918367,2102295918.3673465,186000000,20797346938.775505,24395408,78.18885339371396,60.33922449667577,16.396528395835805,1.2958213176574978,4.768622448979592,3.68
Arthrobacter,R3,0.00104,0.01886,202,1820,97,205,38843597,62.05,0.7893,78.9285,400000000,250000000,1000000000,831999999.9999999,519999999.99999994,2079999999.9999998,0.45606760195594886,379448244.8273494,2071530612.2448978,2102295918.3673465,202000000,18664285714.285713,38843597,53.33004078496896,21.419231591760152,10.297707496038536,2.489820447409733,5.178826530612245,2.0799999999999996
Arthrobacter,R4,0.00104,0.01866,231,2923,97,205,37505785,65.05,0.7893,78.9285,400000000,250000000,1000000000,831999999.9999999,519999999.99999994,2079999999.9999998,0.45606760195594886,379448244.8273494,2368928571.428571,2102295918.3673465,231000000,29975663265.30612,37505785,63.16168482884897,22.18324453147694,10.665021409363915,2.847269917582418,5.922321428571428,2.0799999999999996
Arthrobacter,R5,0.00104,0.01866,201,2342,100,205,21380227,69.05,0.7893,78.9285,400000000,250000000,1000000000,831999999.9999999,519999999.99999994,2079999999.9999998,0.45606760195594886,379448244.8273494,2061275510.2040815,2102295918.3673465,201000000,24017448979.591835,21380227,96.41036599864358,38.91446054337963,18.70887526124021,2.4774946036106753,5.153188775510204,2.0799999999999996
Bacillus,R1,7e-4,0.00982,11,175,73,17,634257,53.07,1.1045,110.4466,400000000,250000000,1000000000,560000000,350000000,1400000000,0.3259159422578818,182512927.6644138,112806122.44897959,174336734.69387752,11000000,1794642857.1428568,634257,177.85554191594193,882.9228530390677,630.6591807421912,0.20143950437317784,0.28201530612244896,1.4
Bacillus,R2,8e-4,0.00932,17,164,92,17,1560534,57.07,1.1045,110.4466,400000000,250000000,1000000000,640000000,400000000,1600000000,0.3259159422578818,208586203.04504433,174336734.69387752,174336734.69387752,17000000,1681836734.6938775,1560534,111.7160758393457,410.1160243865241,256.32251524157755,0.27240114795918363,0.4358418367346938,1.6
Bacillus,R3,6e-4,0.00912,12,99,102,17,987259,65.07,1.1045,110.4466,400000000,250000000,1000000000,479999999.99999994,300000000,1200000000,0.3259159422578818,156439652.28378323,123061224.48979591,174336734.69387752,12000000,1015255102.0408162,987259,124.64938226928892,486.19460546827116,405.16217122355937,0.25637755102040816,0.30765306122448977,1.2
Bacillus,R4,6e-4,0.00802,11,135,108,17,703112,75.07,1.1045,110.4466,400000000,250000000,1000000000,479999999.99999994,300000000,1200000000,0.3259159422578818,156439652.28378323,112806122.44897959,174336734.69387752,11000000,1384438775.5102038,703112,160.43834047631043,682.6792886481811,568.8994072068177,0.23501275510204084,0.28201530612244896,1.2
Bacillus,R5,8e-4,0.00902,34,261,90,17,1902770,55.07,1.1045,110.4466,400000000,250000000,1000000000,640000000,400000000,1600000000,0.3259159422578818,208586203.04504433,348673469.38775504,174336734.69387752,34000000,2676581632.653061,1902770,183.24520009657238,336.35173983192925,210.2198373949558,0.5448022959183673,0.8716836734693876,1.6
Burkholderia,R1,0.00134,0.01726,296,2201,101,261,31056326,58.05,0.7245,72.449700000000007,400000000,250000000,1000000000,1072000000,670000000,2680000000,0.49685874150977283,532632570.8984765,3035510204.081632,2676581632.653061,296000000,22571479591.83673,31056326,97.74208977847644,34.51792720104754,12.879823582480427,2.831632653061224,7.58877551020408,2.68
