candidate,n,implied_factor_median,implied_factor_min,implied_factor_max,implied_factor_CV,implied_factor_fold_spread,pearson_r_log_log
FC_Initial (per replicate),75,155298.53424657535,28243.907216494845,484387.93333333335,0.54583498111925155,17.150174358682353,0.8792337763787788
FC_Initial (taxon mean),75,151354.8,25367.212962962964,541071.6276595745,0.572210649841775,21.329565390157697,0.8578334702660089
FC_Initial / cell_volume_um3,75,103058.9937,16714.744290721646,416864.2554266667,0.5841612936551609,24.939912222173092,0.8536323640302178
constant (1),75,24605191,634257,108384153,0.7839858617468256,170.88365284104077,NA
OD_Initial * FC_Initial,75,93646601.50034098,7633488.436890499,605915830.1158302,0.9280368530310404,79.37600680543507,0.6082715377101509
OD_Initial / cell_carbon_fg,75,1015636112623.7858,43817143463.1081,7399111676502.272,1.0371321362724015,168.86339664592612,0.12519952918840674
OD_Initial / cell_volume_um3,75,10155551150.642857,438197350.3243243,73991423147.72726,1.0371663406830305,168.85410898300452,0.12520338322964705
OD_Initial,75,16191427083.333332,740448378.3783784,142610727631.57895,1.1242048239568125,192.600499637671,3.9079346204079073e-4
OD_Final,75,1759340843.7200384,31126356.67642423,18004012126.245846,1.2342772542575007,578.4169446301587,-0.19510880960418106
OD_Initial * cell_volume_um3,75,25861535020.855835,820354394.3607321,283070122333.4238,1.2943722593906244,345.0583361036404,-0.14237791917159953
FC_Final (per replicate),75,14110.09813721036,544.4473370429253,207127.93125,1.3018093240544693,380.4370361603397,0.4565026969961397
