Taxon,n,n_distinct_Ninoc,Ninoc_min,Ninoc_max,Ninoc_fold_within_taxon
Acinetobacter,5,5,16953578,50860733,2.999999941015401
Aeromonas_A,5,5,17920155,48492282,2.706019116464115
Aeromonas_B,5,5,6844556,20533669,3.000000146101515
Arthrobacter,5,5,21380227,38843597,1.8168000274272111
Bacillus,5,5,634257,1902770,2.9999984233520482
Burkholderia,5,5,31056326,46277331,1.4901096478701312
Buttiauxella,5,5,32956112,59855117,1.816206869305457
Chromobacterium,5,5,13585680,21268551,1.5655124366244457
Chryseobacterium,5,5,68583359,108384153,1.5803272773501806
Flavobacterium_A,5,5,17999458,53998373,2.9999999444427714
Flavobacterium_B,5,5,16661901,33140469,1.9889968737660846
Herbaspirillum,5,5,48198999,97382398,2.02042366066565
Pseudomonas,5,5,13114113,38081592,2.903863341729631
Serratia,5,5,8960491,26881474,3.000000111601027
Yersinia,5,5,2739659,7874692,2.8743329005544123
