Taxon,n,N0_forward_med,N0_backward_med,ratio_min,ratio_med,ratio_max,r_med
Flavobacterium_B,4,48925331.382795714,1334002641.8321552,17.84487562848792,30.3989540549632,36.63392478102207,0.014495819039989475
Chryseobacterium,5,253957009.29607233,8681832381.334517,28.722567802774876,31.16069034673236,37.45019870690457,0.01577081633140894
Acinetobacter,5,70106597.90790221,2132166092.90801,23.209657574226,31.941918073393065,43.31827575837936,0.01419457550388129
Herbaspirillum,5,281039343.64208955,12187587849.40888,38.00683942323375,42.360010349785625,50.88588831086473,0.02169290408519785
Buttiauxella,5,143602751.1702143,7134742613.186091,45.52441833392546,49.68388526713659,72.12192330456938,0.02164406271296873
Aeromonas_A,5,103517631.78185615,5373008180.674643,42.28891136412441,50.74721221568747,66.60480687907678,0.02152182979085593
Burkholderia,5,141557313.364141,7581153229.856772,44.95960643379561,52.167194669146774,66.46624229132594,0.02090622489729856
Flavobacterium_A,5,105598191.28858835,5837755900.088544,36.09940029228462,55.282726236613215,66.00315598271331,0.02134249516371314
Arthrobacter,5,132456922.23104487,8049016482.564012,53.60957508898816,60.76705050208019,99.60604076540012,0.0243928703356261
Chromobacterium,5,91389789.83031096,5720368899.277267,51.738249186097484,62.882716466026274,76.05509968526201,0.02522617126544078
Pseudomonas,5,100414417.63815266,5936333547.706674,44.49760547653098,67.05625824664408,72.96797189023312,0.02272200698265882
Serratia,5,54434220.03725746,6311909977.565101,75.15973579947702,78.9561500532178,146.445391670232,0.02748035207063554
Bacillus,5,5485536.458960852,697455312.078168,66.80199276490704,97.21803720116057,166.0203903804362,0.02672952707892209
Aeromonas_B,5,78696062.56405644,8152927620.825784,78.81251156611705,112.38778895457405,134.5845707351054,0.03394930244807805
Yersinia,5,48703925.59266054,10521031318.203972,143.80336889736117,211.70727034387286,496.1679711413126,0.0381862786006876
