route,Temperature,n,N0_cells_per_mL,r_per_hour,growth_C_fg_per_hr,resp_C_fg_per_hr,resp_to_growth_C,CUE
forward,20,4,846490.4764838748,0.5749037983606542,32835839.223818205,223935739.85724467,6.821179260218073,0.12803280209940132
forward,24,4,1016667.6584272897,0.8191042041451841,56195137.44358777,240543231.90984088,4.284709436095618,0.19037663202178792
forward,28,4,1307384.9844994347,1.1528582321984941,101982548.45343697,478542024.6814457,4.772957022818914,0.17624710662684256
forward,32,4,1640949.5934677043,1.456793176850265,161446803.80488837,615096990.667122,3.8424337577259093,0.20914783605562062
forward,36,4,1608399.95568232,1.429756232225193,155381150.37761384,830067199.6889143,5.383868422341113,0.15789257954770863
forward,40,4,784898.0983241767,0.47322001359973004,25162880.56221305,683739070.1370567,27.661510303603855,0.035462074751485106
backward,20,4,56762483.78564565,0.5749037983606542,2201848506.638873,223935739.85724467,0.1017232315620426,0.9076833064358347
backward,24,4,68173928.8037562,0.8191042041451841,3768235634.762682,240543231.90984088,0.06389723441018164,0.9399738771426962
backward,28,4,87668344.82592009,1.1528582321984941,6838568080.59117,478542024.6814457,0.0711783980373452,0.9336636921710662
backward,32,4,110035939.30456549,1.456793176850265,10826018529.215977,615096990.667122,0.057301643013332314,0.945860146739592
backward,36,4,107853282.3954222,1.429756232225193,10419278508.058071,830067199.6889143,0.08028882885682515,0.925733611501589
backward,40,4,52632329.384935364,0.47322001359973004,1687328611.002943,683739070.1370567,0.41251198812203116,0.7089983927455429
none,20,4,550000,0.5749037983606542,21334528.166058317,223935739.85724467,10.497684224262493,0.08709621062338561
none,24,4,550000,0.8191042041451841,30396740.748805247,240543231.90984088,7.917277419858021,0.11289680759011701
none,28,4,550000,1.1528582321984941,42782264.60921966,478542024.6814457,11.25592389736808,0.08243750169906504
none,32,4,550000,1.456793176850265,54061210.15769695,615096990.667122,11.413381103435558,0.08140773175555208
none,36,4,550000,1.429756232225193,53057876.28119001,830067199.6889143,15.681465629785764,0.0601924286132287
none,40,4,550000,0.47322001359973004,17561069.761018462,683739070.1370567,39.2921615602929,0.025044802726887166
