Taxon,Replicate,n,span_min,dt_median,r,K,O2_0,sigma,acf_lag1,rho_ar1,durbin_watson,ljung_box_p,ljung_box_stat,n_eff,vif_analytic,L_nw_rule,L_nw_matched,se_r_naive,se_K_naive,se_r_nw_rule,se_K_nw_rule,se_r_nw_matched,se_K_nw_matched,se_r_gls,se_K_gls,rho_gls,r_gls,K_gls,vcov_corr_rK,ratio_r_gls,ratio_K_gls,ratio_r_nw_matched,ratio_K_nw_matched,ratio_r_nw_rule,rel_se_r_naive,rel_se_r_gls,rel_se_K_naive,rel_se_K_gls
Acinetobacter,R1,113,112.02,1,0.01943645650227968,0.001561543060916622,1.0010946527484395,0.001405208979815109,-0.0346825696489289,-0.03494796776997233,2.0617695167579595,0.6795828025770988,7.478987642942683,121.18426411450854,0.965641910818624,4,1,5.7002015046619225e-5,6.480206579206642e-6,4.851701560640387e-5,5.9035324422329316e-6,5.1948349061077844e-5,6.1035936026504796e-6,5.5127420787969534e-5,6.26571205074874e-6,-0.034983994107386,0.019435979334397325,0.001561588151279305,-0.9836483471209175,0.9671135440191623,0.9669000477320954,0.9113423274351227,0.941882566249567,0.851145622952524,0.002932736995549241,0.002836289669441737,0.004149873763585344,0.00401251314009284
Acinetobacter,R2,117,116,1,0.01419457550388129,0.00217763559219332,1.0014300304492791,0.0013094352162549905,0.05131764516900914,0.051339541616487495,1.8639197517995394,0.6977471852097161,7.290682940671762,105.57319423201112,1.0527278199118877,4,2,4.6550278222552086e-5,7.290626747856909e-6,4.503907010050028e-5,6.900577565586119e-6,4.7456398604891825e-5,7.311049581857257e-6,4.889193048499714e-5,7.660377724380007e-6,0.05145354432899821,0.014193584496224931,0.0021778024519829757,-0.9803664115747049,1.0503037221657379,1.050715938328867,1.0194654128168186,1.0028012453121882,0.9675360023665837,0.0032794413760259067,0.0034444094838643386,0.003347955357633447,0.0035177500550789844
Acinetobacter,R3,89,88.00000000000001,1,0.014944084683788508,0.002406378759503797,1.003047955808978,0.0014732152759761264,-0.08848160945328468,-0.08862319597443212,2.166272856845478,0.05983444254751391,17.722202308865207,106.30889881525486,0.9149770343101589,3,1,1.1198249001315542e-4,1.4248313283486956e-5,1.026697744870155e-4,1.4320066976611696e-5,9.456027186972088e-5,1.2790424712507972e-5,1.0292335795515924e-4,1.3089828203357945e-5,-0.08871891664247554,0.014941422413861353,0.002406720811160458,-0.978016860856849,0.9191022448515662,0.9186931774253143,0.8444201576390397,0.8976799188807422,0.9168377527143227,0.007493432510766961,0.006887230642289623,0.005921060110431246,0.005439637526578363
Acinetobacter,R4,107,106,1,0.01352010924335995,0.00308040752868794,1.0051878354610433,0.0013446388668204852,0.036980599005138004,0.0379216080675359,1.8814044785636692,0.8406452479596007,5.689442522054729,99.18127451690489,1.0386687046672751,4,1,4.733209213553102e-5,9.390412035145544e-6,5.140254746499577e-5,1.0153755588515916e-5,4.97642814286826e-5,9.873526969416002e-6,4.907677174650761e-5,9.738889609327324e-6,0.038036722819217564,0.013519841573870069,0.0030804193149701503,-0.9788984895218054,1.0368603949722075,1.037109934354055,1.051385628300292,1.0514476822169572,1.0859977902056257,0.0035008661012688896,0.0036299094085064727,0.0030484317245988777,0.003161558825781561
Acinetobacter,R5,120,119,1,0.010184910396164598,0.00306797048226076,1.0037568611783563,0.0013728355343788894,-0.07582584271549687,-0.07624857512887552,2.1454931850728953,0.9260951387124078,4.425910612477068,139.81015405035305,0.9264484646120426,4,1,4.093049072219385e-5,8.876984221795553e-6,3.4116052004913434e-5,7.657086444473085e-6,3.509565125984173e-5,7.808553088041944e-6,3.80327607303545e-5,8.245785304367172e-6,-0.07628741741190985,0.010184497956697888,0.003068032389460817,-0.9773484494880997,0.9292036342415971,0.9288948924930377,0.8574451622885557,0.8796403027133581,0.8335119223580331,0.004018738420870873,0.0037342263457395522,0.0028934386015520533,0.0026877003387239
Aeromonas_A,R1,106,105.01000000000002,1,0.02152182973967399,0.0011301797926042852,1.0004707258754904,0.0012764773453043754,-0.09817336814711586,-0.09909899320273026,2.185686027803225,0.09977327264020197,15.995081923152242,129.31997233932105,0.9053575572501392,4,1,8.022065813832147e-5,6.231068453136e-6,5.27747222474613e-5,4.21219798616943e-6,6.750790388035959e-5,5.336389907135456e-6,7.294260497833936e-5,5.6624425383802e-6,-0.09925978817335634,0.021519378848719822,0.0011303475712598752,-0.984109577955332,0.9092745767875298,0.9087434331635983,0.8415276743798118,0.8564165114330808,0.6578694749233275,0.003727408826696565,0.003389238083408622,0.005513342650356262,0.005010213928292042
Aeromonas_A,R2,112,111.01000000000002,1,0.01990585449241123,0.00163003554620612,1.001510598054952,0.0015574761871209395,0.051936220595678685,0.052065569949438326,1.872673578060246,0.9893008423495178,2.6022250685394037,100.91448593908963,1.0534944577779948,4,2,6.079660663666211e-5,7.168822618539335e-6,5.3210257383892906e-5,6.544115848216122e-6,5.4406650671272146e-5,6.518323384059717e-6,6.388961112676891e-5,7.537208889897863e-6,0.052164444201705476,0.019904549619817427,0.0016301903888086575,-0.9838309104060966,1.0508746237860194,1.051387276678578,0.8948961739990166,0.9092599623266785,0.8752175545239326,0.003054207326786187,0.0032095889755009385,0.004397954777872574,0.004623953696862985
Aeromonas_A,R3,120,119.01000000000002,1,0.02463468815971646,9.19021051773819e-4,1.002385543397342,0.0016220639819568233,-0.1139400993409634,-0.11578576642249529,2.2114556392186175,0.5873558993933599,8.42542782305746,151.42743340487417,0.890201542188749,4,1,6.311469158998713e-5,4.749692318595827e-6,5.853506233674551e-5,4.617614511406979e-6,5.8490635346067035e-5,4.541969566970412e-6,5.6439328425501814e-5,4.244455196389151e-6,-0.1160473252227237,0.02463241771556758,9.191616110475374e-4,-0.9875053983312705,0.8942344009561105,0.8936273997731202,0.9267356596787414,0.9562660615273656,0.927439568539884,0.0025620251890663094,0.002291051060179177,0.005168208398957087,0.0046184526330456215
Aeromonas_A,R4,101,100.01000000000002,1,0.0216194941726135,0.00128098865506093,1.0026801572192143,0.0014343245887070255,0.08536251518806279,0.0864394964340271,1.7942596067714254,0.9647101433912995,3.568810208914244,84.92843933142689,1.0905212059813756,4,2,9.46924724580364e-5,7.877306908107678e-6,1.0855718283701083e-4,9.26014415680767e-6,1.0623296020798564e-4,9.219769985860409e-6,1.0280423783266681e-4,8.556288303572582e-6,0.0868302669123734,0.021624627857457116,0.0012805808709832147,-0.9835478909112635,1.0856643106264354,1.0861946098311932,1.1218733385070654,1.1704215785182885,1.1464182951302562,0.004379957815016233,0.0047551638818124665,0.006149396309628515,0.006679441125234324
Aeromonas_A,R5,95,94.01000000000002,1,0.01739496989774508,0.00194308255260356,1.0012721672383855,0.0015221678670594375,-0.0728686446086218,-0.07568411822333694,2.10810730356476,0.2808210144449561,12.063623128929667,110.55743306584077,0.9269745895400766,3,1,1.0267864432579145e-4,1.1624873491581536e-5,9.30098754461198e-5,9.946868601427063e-6,9.430362246525014e-5,1.0501113137345499e-5,9.551689591350666e-5,1.080981678107709e-5,-0.07608877434348897,0.01739146877738076,0.0019433961642696693,-0.9802552564815368,0.930250847590458,0.92988683179264775,0.91843462761382,0.9033313906555767,0.9058346655903112,0.005902777925422093,0.005491064168262146,0.005982696656920328,0.00556323083988011
Aeromonas_B,R1,94,93,1,0.03054020779769078,8.464285681270882e-4,1.0015891211160342,0.0014090140741093663,-0.17162640393867218,-0.17168961026226182,2.302452608162457,0.6075464270771831,8.21806070585164,132.96805729978234,0.8407952799348188,3,1,1.1545386472665938e-4,6.2201154547105915e-6,9.213284104380017e-5,5.343463095698746e-6,9.700103738215822e-5,5.527583008392034e-6,9.779065601318889e-5,5.2629660560583665e-06,-0.17198831279402613,0.03053377516765398,8.467938881409263e-4,-0.9870761649840288,0.8470106760367988,0.8461203163154535,0.8401714192228315,0.8886624450364355,0.7980056905148003,0.00378038897087626,0.0032020298179039593,0.0073486596376041305,0.006217850217064213
Aeromonas_B,R2,99,98.02,1,0.02863601071145552,8.511505376205517e-4,1.0009805044639777,0.0015506843481644696,0.015376384245134475,0.015376722743196356,1.9669236987696435,0.9652896475735198,3.552385421954274,96.00151575769095,1.015496783699369,3,1,1.1309526601844069e-4,6.4411514964760694e-6,9.582734156320884e-5,5.733345581975341e-6,9.926426267907314e-5,5.944068168107985e-6,1.1475117227805589e-4,6.536452796751337e-6,0.015378312934691146,0.02863590113639525,8.511577165928259e-4,-0.9869268982535756,1.014641693838407,1.014795693025914,0.8777048427728855,0.9228269466041845,0.8473152319884351,0.003949407169805191,0.004007233180428688,0.0075675820102079,0.007679549630579367
Aeromonas_B,R3,89,88.00000000000001,1,0.03394930244807805,7.528468241546485e-4,1.0005807440957342,0.0014550560790666971,0.15786370187273852,0.15951523837316736,1.6739191149037511,0.027778866744551656,20.159589338467935,64.51242839183298,1.174554865707757,3,2,1.4129550246405574e-4,6.474555415171142e-6,1.511864333767985e-4,7.122463965269571e-6,1.5036114382837337e-4,7.094854947360884e-6,1.641538471763749e-4,7.534012181245165e-6,0.1598552990797482,0.03395756461147491,7.525243299519683e-4,-0.9877430480102902,1.1617768740950132,1.1636339019651465,1.0641608629165238,1.0958057337398426,1.0700017391937788,0.0041619559836362655,0.0048352642127899755,0.00860009660323831,0.010007363967703397
Aeromonas_B,R4,84,83.00000000000001,1,0.03585987964659123,8.509386784386346e-4,1.0000774718055228,0.0013075216294283682,-0.032559284073736844,-0.03287377781480794,2.055508521387011,0.11115547090777966,15.616308609525174,89.71052107387716,0.9676492256552145,3,1,1.3062420734260733e-4,6.378204032581484e-6,1.1594168558499114e-4,5.607003889144235e-6,1.2686671252893554e-4,6.258766648605792e-6,1.2664835464712055e-4,6.182232676598117e-6,-0.03294451813893955,0.03585858355631396,8.50993005414896e-4,-0.9876913526951858,0.9695626654785454,0.969274837402144,0.9712343149090547,0.9812741355771036,0.887597237477536,0.003642628157984468,0.003531756266202625,0.007495491971624426,0.007265191762045341
Aeromonas_B,R5,84,83.00000000000001,1,0.03578033965657565,5.710829728399444e-4,1.0014667445129386,0.001251922012706834,-0.06647417397686646,-0.06674300947726705,2.1281732045724153,0.5956437808014838,8.340204631495006,96.01472446073012,0.9353426181123004,3,1,1.8706393682957164e-4,6.127297507138069e-6,1.7107360817669495e-4,5.728126129924451e-6,1.6889758868897202e-4,5.581886038252156e-6,1.756598062089296e-4,5.750489444208475e-6,-0.06681207897056532,0.03577755165738766,5.711645283034333e-4,-0.9876619340274057,0.9390361883005168,0.9385033838342879,0.9028869570025652,0.9109866187743406,0.9145194476076648,0.005228120767578945,0.004909394597562104,0.010729259667238138,0.010069446503739738
Arthrobacter,R1,98,97,1,0.02511080781836032,0.0016102704156605837,1.0018617114075408,0.0014060301033788102,0.08341437921895352,0.0868449083655859,1.7934610918025233,0.9110981643495526,4.686742449220445,82.33851793513742,1.0909667512557266,3,2,6.848087920689875e-5,7.101953137491712e-6,7.703611030755389e-5,8.07056791730389e-6,7.429563630019055e-5,7.816529399205164e-6,7.438527926581998e-5,7.722008811142327e-6,0.08741672331205616,0.02510722651390047,0.0016105766536132827,-0.9850615468964218,1.0862196882882078,1.0873077675459863,1.0849106664609822,1.1006168652312212,1.1249287567527795,0.002727147597252027,0.0029622814130030317,0.004410410244404985,0.004795473316805933
Arthrobacter,R2,107,106,1,0.02587640886188693,0.00136451060286592,1.0009458266947018,0.00131666250618472,-0.11663110472243948,-0.11705805295497322,2.229428169585363,0.07620959754481305,16.917497638693,135.37154063888505,0.8890541285540478,4,1,5.1158744985488095e-5,5.026054282203788e-6,3.909956011062882e-5,4.001414601310792e-6,4.097153618419323e-5,4.15266509507876e-6,4.571892890411504e-5,4.487344165326417e-6,-0.11713206619591031,0.02587749299455465,0.001364417914579977,-0.9866219357683622,0.8936679138060144,0.8928164944845839,0.8008706272176025,0.8262276652646755,0.7642791104770058,0.00197704191715873,0.0017668189256142856,0.003683411672761959,0.0032886106974189294
Arthrobacter,R3,74,73.00000000000001,1,0.021500942908678766,0.0019942165096640836,1.002770959100506,0.0012337665951308791,-0.06435431083557772,-0.06436077655029071,2.125681809865177,0.4241323835634351,10.188288712190678,84.18062805695855,0.9375831183486669,3,1,1.5687384119710205e-4,1.408087400303682e-5,1.1384877190332565e-4,1.0439856939259729e-5,1.389402711047367e-4,1.2758920345346236e-5,1.4769381299713553e-4,1.3248852567722979e-5,-0.06437946020902444,0.021502171705209502,0.001994100270607293,-0.9797501317893892,0.9414814596881554,0.9409112363952409,0.8856815772756341,0.9061170735988776,0.7257345841381029,0.007296137749092882,0.006869178418101819,0.007060855195411393,0.006643637991922294
Arthrobacter,R4,98,97,1,0.0243928703356261,0.00158975003481593,1.0014040915828974,0.0012688788057215873,0.05993840735345855,0.060014270594476345,1.878408340918862,0.34423550608971487,11.172527681104404,86.9031710583287,1.061928376109784,3,2,6.506334524651009e-5,6.625027209856339e-6,5.5776232193293024e-5,5.6708950660233195e-6,5.505546889906029e-5,5.592061832294454e-6,6.885867196935926e-5,7.015286068583605e-6,0.06002515062795136,0.02439314492182461,0.001589730747957866,-0.9846868396891971,1.058332794117326,1.0589067556049674,0.8461825731595531,0.8440813381075479,0.8572604433720658,0.002667309929142871,0.002822901570086661,0.004167338930502631,0.004412823346404816
Arthrobacter,R5,76,75.00000000000001,1,0.02398857970330566,0.0020520520556274,1.0016190196011714,0.0011501617168466782,-0.24142900688904576,-0.24177551759864344,2.47543105565757,0.3024986864527609,11.744806680644011,124.46833560241163,0.7814071037250974,3,1,1.1756330907588274e-4,1.1396789005138922e-5,9.856450462244534e-5,9.791137797945863e-6,1.0274357555401642e-4,1.0069590538623998e-5,9.306462039538081e-5,9.004100059715012e-6,-0.241864477402506,0.023989453432988396,0.0020518897052078165,-0.9812812368306041,0.7916128010254548,0.7900558706189065,0.8739425281717723,0.8835462808062448,0.8383951200184883,0.0049008032376207065,0.003879538578207545,0.005553849851852046,0.004387851679991652
Bacillus,R1,85,84.01000000000002,1,0.04065226938355063,7.600458239172639e-4,1.002512213689722,0.0010756230006449797,-0.024957976084977424,-0.02498553340831352,1.9822889003609137,0.6867253954732386,7.405116576880332,89.35638734085786,0.9753189486543713,3,1,9.058696975686182e-5,4.114153629803323e-6,1.013610984518071e-4,4.943748285448465e-6,9.099508047062184e-5,4.420861527526289e-6,8.84825896780689e-5,4.017609911563518e-6,-0.025054302552552605,0.04065167563429807,7.600774519558319e-4,-0.9894972135783737,0.9767695057640062,0.9765337595707575,1.0045051812071362,1.0745494518000358,1.1189368484657711,0.0022283373383705013,0.002176571960675636,0.0054130336623639894,0.005286010112991373
Bacillus,R2,91,90.01000000000002,1,0.02672952707892209,0.00146826563054103,1.0008726486068946,0.001680370512287871,-0.1655324898096698,-0.16658396786665977,2.2869621357708074,0.31463589952975957,11.573190928121413,127.3783284491477,0.8452261469595477,3,1,1.0980407469900372e-4,9.615820202104304e-6,8.73697754505247e-5,8.102626079266687e-6,9.667701861460692e-5,8.897974476393885e-6,9.351582289805669e-5,8.177157772664809e-6,-0.16688193885480654,0.026731072567636214,0.0014680324021569477,-0.9848974036401339,0.8516607708266147,0.8503858850101356,0.8804501916674692,0.9253474263637618,0.7956879167737974,0.0041079692272442455,0.003498596238606847,0.0065491011994614655,0.005569263219524978
Bacillus,R3,107,106.01000000000002,1,0.025082432485662883,0.0012446959940323216,1.0016379592858429,0.0013155743355209777,-0.05123241050787181,-0.0518603595358085,2.0903433577454686,0.5172472196678878,9.157257669950866,118.70515024055906,0.9494172273998369,4,1,5.873837692148845e-5,5.232209622093005e-6,5.431003914911413e-5,4.846291145969241e-6,5.7427630436347235e-5,5.058685630151778e-6,5.589930281216297e-5,4.97699955621036e-6,-0.05196108074755885,0.02508338992802646,0.0012446238943997672,-0.9862148679813068,0.9516657718833417,0.9512232719413571,0.9776850067394065,0.9668354281509438,0.9246091226134258,0.0023418134168232407,0.0022286236729278553,0.0042036044521543935,0.003998566380925558
Bacillus,R4,102,101.01000000000002,1,0.02733746457736678,0.00120446088806259,1.0016400930500895,0.001338209330186843,-0.05670294453925183,-0.057176434683907776,2.1051144179695593,0.5807192925536511,8.493801925323933,114.37134189747019,0.9443684675542706,4,1,6.568712595470086e-5,5.436655645224618e-6,5.39937931708777e-5,4.3546813610012405e-6,6.629113801496876e-5,5.438789720804939e-6,6.220457915123771e-5,5.145683509987625e-6,-0.05725592055068428,0.027338412453374854,0.0012043950732509813,-0.9867090087462201,0.9469828105150349,0.9464795723281512,1.009195288292632,1.0003925346241482,0.8219844054086471,0.002402824364666375,0.0022754333700257664,0.0045137668637539865,0.004272188130794854
Bacillus,R5,94,93.01000000000002,1,0.02273270654790027,0.00174156996159367,1.0014387192657337,0.001479697804733318,-0.04315739983618884,-0.04337589451866784,2.0708250539401982,0.4450178881598109,9.948559602514614,102.52442262617507,0.9575253062954355,3,1,8.825859850048285e-5,9.248935646219313e-6,7.189308168430011e-5,7.755403214738028e-6,7.856398475337636e-5,8.38678620646984e-6,8.469754094200628e-5,8.871978543952487e-6,-0.043456803158481876,0.022734101581028926,0.001741429718279235,-0.983258650164212,0.9596520042355183,0.9592431911426572,0.8901567222704828,0.9067839292295332,0.814573117019378,0.003882450086377196,0.003725801006736238,0.0053106885454982395,0.005094241827548487
Burkholderia,R1,105,104,1,0.0225655256203426,0.00150950058400556,1.0029313041523,0.0015557758056918228,-0.0987205608399789,-0.09878467428929404,2.196467703213638,0.5242029891110013,9.083446236695153,128.0186737940705,0.905644987217993,4,1,7.146647183231798e-5,7.394757366611496e-6,5.017432931198015e-5,5.268682267302376e-6,5.691571814238726e-5,5.888748302893131e-6,6.50127759806455e-5,6.722327774707449e-6,-0.09879808078122715,0.022564857241564203,0.0015095636783581858,-0.9845878820966925,0.9096961737972065,0.9090667132717332,0.7963974809884109,0.7963409765791323,0.702068089071255,0.003167064354481141,0.0028810663254410134,0.004898810537051278,0.004453345593858139
Burkholderia,R2,105,104,1,0.01985526299343977,0.00188222696498641,1.0018054968983412,0.001604528523116991,-0.04428062623322144,-0.04428079906624247,2.083401140913087,0.8477610864604443,5.598907921093398,114.72981163800584,0.9566575630345802,4,1,6.900512712719997e-5,8.698107881318764e-6,6.47554962289628e-5,8.233683601328141e-6,6.60338921837801e-5,8.290734975548853e-6,6.615161645231511e-5,8.33552895775209e-6,-0.044292512734801226,0.019855650157339085,0.0018821734866907604,-0.9829803261809769,0.9586478455488551,0.9583151958432939,0.956941823497508,0.953165342241289,0.9384157224954655,0.003475407359247744,0.0033316917773474858,0.004621179083672072,0.004428546138596136
