Taxon,median_ratio_r_gls,median_ratio_K_gls,median_rel_se_r_naive,median_rel_se_r_gls
Acinetobacter,0.9671135440191623,0.9669000477320954,0.0035008661012688896,0.0036299094085064727
Aeromonas_A,0.930250847590458,0.92988683179264775,0.003727408826696565,0.003389238083408622
Aeromonas_B,0.9695626654785454,0.969274837402144,0.003949407169805191,0.004007233180428688
Arthrobacter,0.9414814596881554,0.9409112363952409,0.002727147597252027,0.0029622814130030317
Bacillus,0.9516657718833417,0.9512232719413571,0.002402824364666375,0.0022754333700257664
Burkholderia,0.9586478455488551,0.9583151958432939,0.0031228975873532003,0.0028810663254410134
Buttiauxella,0.9471627211248373,0.9467814668460973,0.0030467362729636395,0.002757052245151526
Chromobacterium,1.0205993255901118,1.0207837172265,0.0029997672100481243,0.0031423115737733848
Chryseobacterium,0.9956526517892418,0.9956231280417774,0.0033765163783249777,0.003269728620548196
Flavobacterium_A,0.9915584798160869,0.9915136462079099,0.00327192667230506,0.0030175015651452996
Flavobacterium_B,0.9828286846155533,0.9827258347104009,0.0031680904540639884,0.003534504406300027
Herbaspirillum,1.013509680889822,1.0136223353157194,0.0023552682635798313,0.002450058452228053
Pseudomonas,0.9679283559621248,0.9676570891884315,0.002702901437342822,0.0027791683520995954
Serratia,0.9284903578863384,0.9280445389401522,0.0025532242326985572,0.0022588067985500684
Yersinia,0.9490597170859589,0.948637637837705,0.0014438021589987713,0.0014346811360793558
