Taxon,Replicate,n,sigma,rho_ar1,corr_vcov,corr_boot_iid,corr_boot_ar1,var_logsum_vcov,var_logdif_vcov,var_logsum_boot_iid,var_logdif_boot_iid,var_logsum_boot_ar1,var_logdif_boot_ar1,n_boot_ok_iid,n_boot_ok_ar1,ridge_ratio_vcov,ridge_ratio_boot_iid,ridge_ratio_boot_ar1
Acinetobacter,R1,113,0.0014052089798151,-0.03494796776997233,-0.9836483469010784,-0.98603152894831,-0.9820793506758237,1.8794371100857268e-6,4.976535928367911e-5,1.859460521879149e-6,5.4321068471925596e-5,1.857753244505163e-6,4.835923473836838e-5,300,300,26.478863813330346,29.213348620614628,26.03103231357806
Acinetobacter,R2,117,0.00130943521625499,0.05133954161648749,-0.9803664115747049,-0.9811061322190977,-0.9817526085798505,4.3582512309248657e-7,4.349125650790191e-5,4.04240868575353e-7,4.117628067133608e-5,4.51383383196166e-7,4.901280015082109e-5,300,300,99.7906137197892,101.86075647534526,108.58352782898233
Acinetobacter,R3,89,0.00147321527597612,-0.08862319597443212,-0.9780168607660541,-0.9792417038381146,-0.976603673530934,4.423097857536495e-6,1.7799786896493364e-4,4.4510415244966126e-6,1.8159833001697283e-4,4.085328974110413e-6,1.5065386602525248e-4,300,300,40.242805992104365,40.79906444762062,36.876801594186816
Acinetobacter,R4,107,0.00134463886682048,0.0379216080675359,-0.9788984895218054,-0.9737519974993166,-0.9791811413385612,6.550938895943309e-7,4.244290498751472e-5,6.569512738203593e-7,3.566513884804559e-5,7.030911810378783e-7,4.730418010288196e-5,300,300,64.78904117667413,54.288864744325124,67.28029219916142
Acinetobacter,R5,120,0.00137283553437888,-0.07624857512887552,-0.9773484500041854,-0.9820013862893181,-0.9728735490579778,1.7930829783494025e-6,4.7251409181898134e-5,1.6225336888503706e-6,4.674868028113621e-5,1.565315034803439e-6,3.731194315962622e-5,300,300,26.352048261254904,28.81214769368487,23.836698894489047
Aeromonas_A,R1,106,0.00127647734530437,-0.09909899320273026,-0.9841095771788149,-0.9837350785638589,-0.9861140768107337,3.842670992336619e-6,8.473837202141546e-5,4.147832649823045e-6,8.806926915051558e-5,3.3467783518624195e-6,7.510013818174005e-5,300,300,22.05194568840474,21.232599428589,22.43953147956399
Aeromonas_A,R2,112,0.00155747618712093,0.05206556994943832,-0.9838309104060966,-0.9855776633850254,-0.9826242614519575,2.2400322275823198e-6,5.510034501883091e-5,2.67578091151007e-6,6.241124927662905e-5,2.3933668970820575e-6,5.6991020614596974e-5,300,300,24.598014412632377,23.3244990306054,23.81207021960537
Aeromonas_A,R3,120,0.00162206398195682,-0.11578576642249527,-0.9875053983312705,-0.9872291881119448,-0.9896171574911243,7.123074966554878e-6,5.9425627282366805e-5,6.206380620166121e-6,5.227400182284385e-5,6.144645143320895e-6,5.20082340321572e-5,300,300,8.3426929467104,8.422622623722468,8.463993089770058
Aeromonas_A,R4,101,0.00143432458870702,0.0864394964340271,-0.9835478909112635,-0.9815754975402067,-0.9845538131581599,4.0171579713638264e-6,1.0998105289702533e-4,4.589412308571293e-6,1.1273104189527176e-4,4.991330537252498e-6,1.3903215583443315e-4,300,300,27.377826234621967,24.563284864324054,27.854728272707035
Aeromonas_A,R5,95,0.00152216786705943,-0.07568411822333694,-0.9802552564815368,-0.9777630451085659,-0.9802662687649716,1.4009396688551034e-6,1.398699533822969e-4,1.5420234847048609e-6,1.363935804793563e-4,1.103490629993519e-6,1.1071548968368905e-4,300,300,99.8400976800118,88.45103970998318,100.33206143702309
Aeromonas_B,R1,94,0.00140901407410936,-0.17168961026226182,-0.9870761649840288,-0.9869968850586205,-0.9895294968587096,1.3450624291859028e-5,1.2313765418909086e-4,1.346736657603821e-5,1.254827383014681e-4,1.0405356944974503e-5,9.518302295337339e-5,300,300,9.154790998334535,9.31754085648289,9.14750195084313
Aeromonas_B,R2,99,0.00155068434816446,0.01537672274319635,-0.9869268982535756,-0.9871635858201775,-0.9869432941802458,1.387263285603417e-5,1.3185959609222762e-4,1.3112474059442808e-5,1.2801602985811238e-4,1.4123884227440308e-5,1.299838048786202e-4,300,300,9.505015915913376,9.762919589222982,9.203120245497605
Aeromonas_B,R3,89,0.00145505607906669,0.15951523837316736,-0.9877430480102902,-0.9894185593130599,-0.9867308411444724,2.0574523803788358e-5,1.6199255458572531e-4,2.0923131068258747e-5,1.6936197561686473e-4,2.7877100683202394e-5,2.1226506338518705e-4,300,300,7.873453409205896,8.094485240490313,7.614316345067023
Aeromonas_B,R4,84,0.00130752162942836,-0.03287377781480794,-0.9876913526951858,-0.9862681406299243,-0.9867606400143323,1.5516692702999458e-5,1.2338558688505563e-4,1.3289234490377026e-5,1.0607464465503689e-4,1.3580137106437539e-5,1.0882966207210509e-4,300,300,7.951796767954588,7.981998115229846,8.013885369427927
Aeromonas_B,R5,84,0.00125192201270683,-0.06674300947726705,-0.9876619340274057,-0.9877636322719022,-0.9855372162192002,3.1646708814482086e-5,2.5325381072034453e-4,2.877851192608873e-5,2.3380024523259816e-4,2.3235951231587924e-5,1.9266583124476636e-4,300,300,8.002532339301304,8.124125591797887,8.29171267078786
Arthrobacter,R1,98,0.00140603010337881,0.0868449083655859,-0.9850615465846494,-0.9839056883884882,-0.9847140864903965,3.192727537068045e-6,5.058537530041882e-5,3.3473544531154707e-6,5.039774980133414e-5,3.731068096869629e-6,6.073174668172069e-5,300,300,15.84393742125347,15.055994370248907,16.277308562841483
Arthrobacter,R2,107,0.00131666250618472,-0.11705805295497322,-0.9866219357683622,-0.9864568399933045,-0.9866230027682154,3.1065428075076097e-6,3.184588977897583e-5,2.8505655788735507e-6,2.971569539775879e-5,2.4083993823988515e-6,2.480263183639964e-5,300,300,10.251231594817746,10.424491061700623,10.298388223175568
Arthrobacter,R3,74,0.00123376659513087,-0.06436077655029071,-0.9797501340829922,-0.9829137197784081,-0.9802482646090515,2.14178163439453e-6,2.0403684305777772e-4,1.9847400124154312e-6,2.2555585665068578e-4,1.8929588560444042e-6,1.8898073082329063e-4,300,300,95.26500731035442,113.64503926949304,99.83351208075999
Arthrobacter,R4,98,0.00126887880572158,0.06001427059447634,-0.9846868396891971,-0.981909112134477,-0.9819164855050435,2.590516459941569e-6,4.6371995579632346e-5,2.519118689134072e-6,4.2989032690015365e-5,3.0025708783976264e-6,5.1968617631254945e-5,300,300,17.90067590640914,17.06510807745725,17.308040254819527
Arthrobacter,R5,76,0.00115016171684667,-0.24177551759864344,-0.9812812368306041,-0.9808264123869059,-0.9816185078055509,1.4454566519939597e-6,1.082807844495872e-4,1.4672190899735649e-6,1.0334726096335813e-4,8.420512686101766e-7,7.078800790035908e-5,300,300,74.91112535282012,70.4375111185475,84.06614957922477
Bacillus,R1,85,0.00107562300064497,-0.02498553340831352,-0.9894972135783737,-0.9909934747749127,-0.9893618441632025,1.039566126155306e-5,5.813718018537062e-5,1.144204958105134e-5,6.46017258011906e-5,1.0827664203893913e-5,5.9775408076308235e-5,300,300,5.5924465719543095,5.645992472203109,5.5206189396611896
Bacillus,R2,91,0.00168037051228787,-0.16658396786665977,-0.9848974036401339,-0.9861221238615977,-0.9886798612006259,6.77175089519219e-6,1.1276052449035438e-4,6.5336021964657025e-6,1.110037502316565e-4,5.7388447005536664e-6,9.728414383107867e-5,300,300,16.65160550580975,16.989670765646405,16.95186904459934
Bacillus,R3,107,0.00131557433552097,-0.0518603595358085,-0.9862148683490927,-0.9867870010836075,-0.9865213092663938,3.7376693621489552e-6,4.2571093867141e-5,3.724850264311875e-6,4.4066783418734664e-5,3.185094778178472e-6,3.649443895754214e-5,300,300,11.38974311057438,11.830484527376166,11.457881632776088
Bacillus,R4,102,0.00133820933018684,-0.05717643468390777,-0.9867090087462201,-0.9865702841773427,-0.9848851793020119,4.744380807843935e-6,4.75509316476718e-5,4.526781390084911e-6,4.696046297636767e-5,4.272912384889467e-6,4.2178546957647355e-5,300,300,10.022579041095383,10.373918890632979,9.871147161080497
Bacillus,R5,94,0.00147969780473331,-0.04337589451866784,-0.983258650164212,-0.9836514918755518,-0.9827887454440261,2.7302275768548856e-6,8.382343542413814e-5,2.8904541850382124e-6,8.877639925577313e-5,2.4180107616803055e-6,7.02374552886434e-5,300,300,30.70199573645045,30.71365037207794,29.047618977441825
Burkholderia,R1,105,0.00155577580569182,-0.09878467428929404,-0.9845878820966925,-0.9820516302693012,-0.985890345829089,3.4771781812301946e-6,6.458010442546916e-5,3.227990817241684e-6,5.954131530676977e-5,2.775743963544883e-6,5.245255174263289e-5,300,300,18.572561157225856,18.445317436698222,18.896754322990983
Burkholderia,R2,105,0.00160452852311699,-0.04428079906624247,-0.9829803261809769,-0.979835691933903,-0.9801165822428695,1.8594810994932077e-6,6.500802377267004e-5,1.7388924762996834e-6,5.7756489822962295e-5,1.5527608035083146e-6,5.5413208144463375e-5,300,300,34.9603035978089,33.21452626321471,35.686892674816704
Burkholderia,R3,112,0.00134846750436608,0.02243241918804658,-0.9844497525967257,-0.9827700630508351,-0.9827149419725725,2.4172170721813976e-6,4.7239986234192755e-5,2.2451731236037445e-6,4.230084215214748e-5,2.216206432870557e-6,4.481860359949614e-5,300,300,19.543129484668672,18.840793036151297,20.223117727099336
Burkholderia,R4,114,0.00158850151042476,0.10520787654891604,-0.9845850271775524,-0.9854222796336969,-0.986598355313201,3.359938557558108e-6,6.26965904167834e-5,3.849253515629444e-6,6.835487264386214e-5,4.431671104756956e-6,8.560926789307007e-5,300,300,18.660040754539633,17.75795550132387,19.317604097735746
Burkholderia,R5,107,0.00132418035352562,-0.0696229182996899,-0.9845353021271682,-0.9843555838716899,-0.9848620444405531,3.1669969717305605e-6,5.9946423656248726e-5,2.883549625967183e-6,5.239837031789068e-5,2.966822091966751e-6,5.7534002553873774e-5,300,300,18.92847520580099,18.171482067112173,19.392468024846618
Buttiauxella,R1,110,0.001568930222736,-0.05674422503163541,-0.9846704320535178,-0.9881772334007403,-0.9865093431813086,4.503310700968548e-6,8.162459888466799e-5,4.815820041950518e-6,8.666088849437277e-5,4.205928025811658e-6,8.153681918864373e-5,300,300,18.125464642515695,17.9950429500005,19.386166070425993
Buttiauxella,R2,101,0.00149621097395422,-0.10190656511315906,-0.9851116440257097,-0.9849595271151089,-0.9853955352769285,3.582338180012257e-6,5.5941420712806225e-5,3.87210297524714e-6,6.454280042477693e-5,2.5818458439004332e-6,4.5035012772897864e-5,300,300,15.615896071714486,16.66866837926939,17.442951863021687
Buttiauxella,R3,103,0.00125717374956047,0.18065634193583857,-0.9837987678492945,-0.9842283186296508,-0.9821901198230971,2.2086349409449445e-6,5.471676221810244e-5,2.2378953003894193e-6,5.5354013584643236e-5,2.9375139251383254e-6,7.235701720851674e-5,300,300,24.77401819727273,24.734854027805056,24.632059303381688
Buttiauxella,R4,109,0.00167419385741493,-0.25093461798094446,-0.9826675969108174,-0.9843525000292411,-0.9829447073063974,1.2947811645333188e-6,5.2370064721975306e-5,1.6551895720805483e-6,6.177907743426822e-5,6.78116902711633e-7,3.168532464432328e-5,300,300,40.44703935807653,37.32447236035498,46.725460636095306
Buttiauxella,R5,110,0.00147699295198574,-0.01244934470299063,-0.9846594307290737,-0.9851776502593709,-0.9877104895362269,2.7797507492440234e-6,5.0489888784705e-5,3.1300178632850666e-6,5.453774111269844e-5,2.7176602964456742e-6,5.104398022563795e-5,300,300,18.163459007407823,17.424098997140902,18.782325477689927
