r_true,R_true,noise_sd,dt,duration,n,sd_log_r,sd_log_K,cov_logr_logK,corr_logr_logK,var_logsum,var_logdif,ridge_ratio
0.01,2e-12,0.002,1,60,50,0.07193340367678429,0.022989140729884904,-0.0016098787268812773,-0.9735086447997344,0.0024831577022631016,0.008922672609788209,3.593276658045624
0.01,2e-12,0.002,1,120,50,0.009704532932018417,0.00694272241620102,-6.591928422767691e-5,-0.9783810744379008,1.054078552169604e-5,2.7421792243240395e-4,26.014941853050964
0.01,2e-12,0.002,1,180,50,0.004756325977984265,0.004140816825417096,-1.927571388094887e-5,-0.9787073284265138,1.2175730286078467e-6,7.832042855240302e-5,64.32503571629977
0.01,2e-12,0.002,3,60,50,0.11336516320098593,0.03432744497054432,-0.0037306810013254528,-0.9586653230387338,0.006568671703141028,0.02149139570844283,3.2718023794926463
0.01,2e-12,0.002,3,120,50,0.014857914522165732,0.010670605759880814,-1.54610960208716e-4,-0.9751992244752677,2.5397530813354708e-5,6.43841371648217e-4,25.350549877457688
0.01,2e-12,0.002,3,180,50,0.008567289391199615,0.007176605099128186,-5.954537910127852e-5,-0.9684686753196589,5.811350058836711e-6,2.4399286646395118e-4,41.985573746833026
0.01,2e-12,0.002,5,60,50,0.16633382015022746,0.054472288743126304,-0.008811931691846565,-0.9725567148381038,0.013010306582989623,0.048258033350375845,3.709215693154457
0.01,2e-12,0.002,5,120,50,0.018863093662085686,0.013993560108314868,-2.5834102343681237e-4,-0.9787059687905733,3.495398013601516e-5,0.0010683180738832625,30.563560136103387
0.01,2e-12,0.002,5,180,50,0.011681179613413495,0.010251666156772981,-1.1800392427590134e-4,-0.985406206567559,5.538767598948461e-6,4.7755446470255437e-4,86.22034706659626
0.01,2e-12,0.005,1,60,50,0.17919017766010303,0.05871575672946218,-0.010207053879215154,-0.9701335963770863,0.015142552099742336,0.055970767616602975,3.6962572258579427
0.01,2e-12,0.005,1,120,50,0.023807335801638605,0.01608880426387793,-3.7809476473590697e-4,-0.987111242355931,6.944933114154447e-5,0.0015818283900851744,22.77672605458582
0.01,2e-12,0.005,1,180,50,0.01430005405618194,0.0117363605664542,-1.6537383106794655e-4,-0.9853616706731904,1.1486043219653474e-5,6.729813674914397e-4,58.59122716340807
0.01,2e-12,0.005,3,60,50,0.30558921194992894,0.08439721876996348,-0.024687650016522556,-0.9572240429039315,0.05113235696323851,0.14988295702932872,2.931274166318731
0.01,2e-12,0.005,3,120,50,0.0346257619501633,0.023809115972983002,-8.080255270697222e-4,-0.980127267911465,1.4976633990488583e-4,0.003381868448183775,22.580964790429842
0.01,2e-12,0.005,3,180,50,0.022105558280740685,0.019253490558720887,-4.140802348932276e-4,-0.9729119485496275,3.119213581152213e-5,0.001687513075384433,54.10059399526847
0.01,2e-12,0.005,5,60,50,0.30563836571690417,0.09574817047426103,-0.027629087027577097,-0.9441221380644713,0.04732434869211402,0.15784069680242244,3.3352957022042338
0.01,2e-12,0.005,5,120,50,0.03747956336998107,0.02669775458115139,-9.634914375638164e-4,-0.9628942653108201,1.9050489495218048e-4,0.004044470645207448,21.230271517289196
0.01,2e-12,0.005,5,180,50,0.027881369143371502,0.023464651011556266,-6.348720934922747e-4,-0.9704162085740337,5.8216405418528873e-5,0.002597704779387627,44.621524821263534
0.01,2e-12,0.01,1,60,50,0.46041593442834255,0.122834006243735,-0.05100715272269976,-0.9019077507338632,0.12505672032001022,0.3290853312108093,2.631488578692181
0.01,2e-12,0.01,1,120,50,0.04102889943123032,0.02873762662426827,-0.0011452405958890504,-0.9713057705145585,2.187405807557629e-4,0.004799702964311966,21.942444093952208
0.01,2e-12,0.01,1,180,50,0.030103408430246104,0.024477917741300394,-7.241778076466083e-4,-0.9827771939702361,5.7028040774866695e-5,0.002953739271361298,51.794507249897755
0.01,2e-12,0.01,3,60,50,1.349083448872608,0.17350016021852324,-0.17608937666689795,-0.7523058894614014,1.4979497042840675,2.2023072109516595,1.4702143901448506
0.01,2e-12,0.01,3,120,50,0.08530202208841356,0.0628372703167631,-0.005268709025563987,-0.982941287194399,6.875394621061853e-4,0.021762375564362127,31.65254761915192
0.01,2e-12,0.01,3,180,50,0.04810473169608774,0.039948970745569023,-0.0018748264884681618,-0.9755907851410247,1.603324982465957e-4,0.007659638452119245,47.77346162434589
0.01,2e-12,0.01,5,60,50,1.1375883440200056,0.2366196873017083,-0.19831102810251128,-0.7367342435653697,0.9534740606639152,1.7467181730739598,1.8319514343764103
0.01,2e-12,0.01,5,120,50,0.09542846374424233,0.06772131413598291,-0.006311696713669232,-0.9766586768653582,0.0010693746535521814,0.02631616150822911,24.608925806137016
0.01,2e-12,0.01,5,180,50,0.059668968943806945,0.05035485259906575,-0.0029556214120437484,-0.9836915520010487,1.847542110031383e-4,0.01200723985917813,64.99034470707772
0.01,5e-12,0.002,1,60,50,0.027631213243544447,0.00906866481445351,-2.4465189384572343e-4,-0.9763494302022725,3.56420839135689e-4,0.0013350284145185799,3.7456519595094053
