arm,r_true,K_true,R_true,noise_sd,dt,duration,r_est,K_est,O2_0_est,R_est,bias_log_r,bias_log_K,bias_log_R
none,0.01,0.002,2e-12,0.005,1,60,0.008894105003184494,0.0020465100844452794,0.999536055300049,2.0465100844452793e-12,-0.11719639490546664,0.022988764032903067,-0.11414221557221974
none,0.01,0.002,2e-12,0.005,1,60,0.011524235347015977,0.001899758840689412,0.999807930666296,1.899758840689412e-12,0.14186714635708408,-0.051420228396272055,0.13758495463370912
none,0.01,0.002,2e-12,0.005,1,60,0.009406191716675776,0.0020700249548165728,1.0015880771121959,2.0700249548165727e-12,-0.0612169272978978,0.034413482111609106,-0.03921874502059475
none,0.01,0.002,2e-12,0.005,1,60,0.010156594735781151,0.00199970683530725,1.000781863199428,1.99970683530725e-12,0.015538129175282158,-1.4659309061708183e-4,0.019271154146245615
none,0.01,0.002,2e-12,0.005,1,60,0.009375159142582114,0.002016587794839259,0.9998558214307204,2.016587794839259e-12,-0.06452154607288962,0.008259692052817447,-0.06922057426700047
none,0.01,0.002,2e-12,0.005,1,60,0.011318586518570971,0.0019341694522174474,0.9993971775060954,1.9341694522174476e-12,0.12386110613398083,-0.033469169881276926,0.13003555842152345
none,0.01,0.002,2e-12,0.005,1,60,0.010378376321543316,0.001952466801252277,0.9987457089433845,1.952466801252277e-12,0.03713934876480875,-0.024053581172655613,0.02286508269871557
none,0.01,0.002,2e-12,0.005,1,60,0.00779892967515664,0.0021590980110612946,1.001621137697156,2.1590980110612946e-12,-0.2485985898479448,0.07654336645057681,-0.19638935382999984
none,0.01,0.002,2e-12,0.005,1,60,0.009495906468591315,0.0020347438988369024,1.0006005981434563,2.034743898836902e-12,-0.05172428529380907,0.017222782177664743,-0.0452848157170122
none,0.01,0.002,2e-12,0.005,1,60,0.012259661260731134,0.0018539904649459626,0.998931776533076,1.8539904649459627e-12,0.20372920750190116,-0.07580685639284968,0.204391139937811
