Taxon,Replicate,r_per_minute,K,O2_ref,form,N0,R,R_C_fg_cell_h
Acinetobacter,R1,0.01943645649413162,0.00156154306180892,6.193333333333333,depletion,488279377.30392814,1.9806604877594067e-11,446.0850012840471
Acinetobacter,R2,0.01419457550388129,0.00217763559219332,5.876666666666667,depletion,793951332.1058427,1.6118416808806858e-11,363.0195092641649
Acinetobacter,R3,0.01494408464942784,0.00240637876372105,5.73,depletion,663249486.0142422,2.078938711130118e-11,468.2192548168731
Acinetobacter,R4,0.01352010924335995,0.00308040752868794,6.14,depletion,998117702.4232161,1.894937058046915e-11,426.77834247518274
Acinetobacter,R5,0.01018491039079284,0.00306797048340179,5.656666666666666,depletion,1023589344.4256866,1.6954539886807187e-11,381.85070050710874
Aeromonas_A,R1,0.02152182979085593,0.00113017978862392,6.29,depletion,989117443.713671,7.187044284401798e-12,161.86684586527284
Aeromonas_A,R2,0.01990585449241123,0.00163003554620612,6.036666666666666,depletion,1936802521.3077583,5.0805289331305555e-12,114.42383839458297
Aeromonas_A,R3,0.02463468815971646,9.19021051773819e-4,6.013333333333334,depletion,865850812.377242,6.382600611638371e-12,143.74913922067967
Aeromonas_A,R4,0.0216194941726135,0.00128098865506093,6.086666666666667,depletion,1008269121.774202,7.73300578065667e-12,174.16300849703214
Aeromonas_A,R5,0.01739496989774508,0.00194308255260356,6.35,depletion,1623522346.7235425,7.599879505159437e-12,171.1647341767673
Aeromonas_B,R1,0.03054020779769078,8.464285681270882e-4,5.986666666666667,depletion,902988834.2622473,5.611681454135441e-12,126.38647280258914
Aeromonas_B,R2,0.02863601071145552,8.511505376205517e-4,5.85,depletion,1023477395.362394,4.865012815761481e-12,109.56997736754386
Aeromonas_B,R3,0.03394930244807805,7.528468241546485e-4,5.726666666666667,depletion,740667400.8267047,5.820835111927669e-12,131.09703830745025
Aeromonas_B,R4,0.03585987964659123,8.509386784386346e-4,6.21,depletion,869647908.7671227,6.076400736242069e-12,136.85289563660882
Aeromonas_B,R5,0.03578033974097163,5.710829700335417e-4,5.753333333333333,depletion,538582709.2881347,6.100512754922488e-12,137.395947308033
Arthrobacter,R1,0.02511080779633006,0.00161027041793647,6.01,depletion,1318264379.1913116,7.341262772900667e-12,165.34015969493703
Arthrobacter,R2,0.02587640886188693,0.00136451060286592,5.903333333333333,depletion,1117161426.0563333,7.2103822578447696e-12,162.3924644646044
Arthrobacter,R3,0.02150094294318932,0.00199421650650208,6,depletion,1679516634.1844242,7.1242515825530045e-12,160.45262658549433
Arthrobacter,R4,0.0243928703356261,0.00158975003481593,6,depletion,1951082118.7633407,4.888825599478812e-12,110.10628965936623
Arthrobacter,R5,0.02398857970330566,0.0020520520556274,7.003333333333333,depletion,2029839444.5124912,7.079971079368845e-12,159.45533964803897
Bacillus,R1,0.0406522694099089,7.600458227107023e-4,6.03,depletion,34774503.53743408,1.3179415504845215e-10,2968.272260054301
Bacillus,R2,0.02672952707892209,0.00146826563054103,5.926666666666667,depletion,93745658.1627552,9.282478933831922e-11,2090.602934075665
Bacillus,R3,0.0250824325016013,0.00124469599260939,5.93,depletion,51307385.10290854,1.4385935321726738e-10,3240.005046864051
Bacillus,R4,0.02733746457736678,0.00120446088806259,6.26,depletion,62997579.18865025,1.1968595073618666e-10,2695.570887478601
Bacillus,R5,0.02273270654790027,0.00174156996159367,5.783333333333333,depletion,200444956.24547884,5.024860590097241e-11,1131.7007415649346
Burkholderia,R1,0.0225655256203426,0.00150950058400556,6.293333333333333,depletion,1505046614.6654618,6.311957549647002e-12,142.1581138736361
Burkholderia,R2,0.01985526299343977,0.00188222696498641,5.613333333333333,depletion,1912174536.069011,5.52541996777e-12,124.44368879220976
Burkholderia,R3,0.02090622489729856,0.00141394129587253,6.6466666666666665,depletion,1631555330.0831513,5.760145737393075e-12,129.73019023406755
Burkholderia,R4,0.02075222150130871,0.00138522155435472,5.76,depletion,1440852142.5538592,5.537609250412684e-12,124.71821621358848
Burkholderia,R5,0.02204622666471412,0.00130514474048356,6.056666666666667,depletion,1548419137.2661884,5.1050949026750355e-12,114.9771139621786
Buttiauxella,R1,0.02164977128433935,0.00125188704384754,5.86,depletion,1499467367.0280752,4.892442635471659e-12,110.18775266201028
Buttiauxella,R2,0.02444709978164981,0.00154856277118677,5.72,depletion,1541526925.078953,5.746107257085147e-12,129.41401512253833
Buttiauxella,R3,0.02162603229409613,0.00150030925686358,5.87,depletion,1460816733.4175863,6.028692810210105e-12,135.77841616994857
Buttiauxella,R4,0.01862887955508459,0.00214837784846517,5.8133333333333335,depletion,2454251945.666076,5.088815995901343e-12,114.61047989268897
Buttiauxella,R5,0.02164406271296873,0.0014995347819748,5.69,depletion,1451951044.409993,5.876474239462925e-12,132.3501445531393
Chromobacterium,R1,0.02522617126544078,0.00146207685325083,5.906666666666667,depletion,891124886.278548,9.691122699161303e-12,218.26378162315095
Chromobacterium,R2,0.02625342021813681,0.00117880589961358,6.243333333333333,depletion,994001055.2524903,7.404094922935458e-12,166.7552674280476
Chromobacterium,R3,0.02637388049003547,0.00115978394314153,5.693333333333333,depletion,696312614.3438455,9.482862218681285e-12,213.57333228685712
Chromobacterium,R4,0.02319349563680926,0.0016979271532427,5.916666666666667,depletion,1026196183.4535612,9.78961835173686e-12,220.48210392407913
