Taxon,Replicate,lr,lk,v_lr,v_lk,c_lrk,v_lr_ar1,v_lk_ar1,c_lrk_ar1
Acinetobacter,R1,-3.94060477525394,-6.462080804985685,8.600946285063187e-6,1.7221452253693994e-5,-1.1971480713057469e-5,8.04493409277728e-6,1.6099331932939017e-5,-1.1194593443363605e-5
Acinetobacter,R2,-4.2548953941270184,-6.12951558151231,1.0754735738790695e-5,1.1208805076706505e-5,-1.0763857846202356e-5,1.1865613345769001e-5,1.237266933883771e-5,-1.1878354886043225e-5
Acinetobacter,R3,-4.20343973076997,-6.029632250916676,5.6151530793419246e-5,3.5058952831340076e-5,-4.3393693014899464e-5,4.745085103323998e-5,2.9581246245418313e-5,-3.664358831413719e-5
Acinetobacter,R4,-4.303577128269789,-5.782693376240375,1.2256063459013636e-5,9.292935979540887e-6,-1.0446952774480097e-5,1.317676405276563e-5,9.995377719927762e-6,-1.123397399489567e-5
Acinetobacter,R5,-4.5868480269695,-5.786739016690047,1.615025849538372e-5,8.371986940951504e-6,-1.136458126152535e-5,1.394557583469655e-5,7.223441590660586e-6,-9.80968209384667e-6
Aeromonas_A,R1,-3.8386875222251926,-6.7853785504149355,1.3893576561335461e-5,3.0396947180237402e-5,-2.0223926226393085e-5,1.148955148123714e-5,2.509479225649151e-5,-1.6710718192890153e-5
Aeromonas_A,R2,-3.9167413949201753,-6.419153456912829,9.328182394994425e-6,1.9342006228212193e-5,-1.3215078197812149e-5,1.0302811709706156e-5,2.137688501234528e-5,-1.4600399830585697e-5
Aeromonas_A,R3,-3.7035997414906663,-6.99220152860891,6.56397306941026e-6,2.671037805505058e-5,-1.307563807895298e-5,5.249882981528726e-6,2.1323582785272876e-5,-1.0448354158921049e-5
Aeromonas_A,R4,-3.834159863316118,-6.6601231124214095,1.9184030461321777e-5,3.78150749728728e-5,-2.6490973731415376e-5,2.2600848841172228e-5,4.464335234319348e-5,-3.124112303573146e-5
Aeromonas_A,R5,-4.051574200891653,-6.243479622302791,3.4842787236850337e-5,3.579265928872567e-5,-3.461725342836045e-5,3.0163926785704454e-5,3.093954934446606e-5,-2.9946984694226394e-5
Aeromonas_B,R1,-3.488711175099187,-7.074484744916742,1.4291340771122863e-5,5.400279846935207e-5,-2.7421757474307955e-5,1.0257315460171437e-5,3.862831003715452e-5,-1.964841409372574e-5
Aeromonas_B,R2,-3.553090237392691,-7.068921550063699,1.5597816992908652e-5,5.726829748122225e-5,-2.9496740809048366e-5,1.605804232073139e-5,5.897449238535265e-5,-3.0371237019111214e-5
Aeromonas_B,R3,-3.382886971636877,-7.1916487716345525,1.7321877609725715e-5,7.396166158503112e-5,-3.535450769548424e-5,2.336840439412052e-5,1.002331882279299e-4,-4.780312174185591e-5
