variant,Taxon,m_lr,m_lk,sd_lr,sd_lk,ci_width_lr,ci_width_lk
naive,Acinetobacter,-4.260274734185784,-6.03329130047576,0.06732704800721956,0.10981516832044211,0.2639220281883007,0.43047545981613305
naive,Aeromonas_A,-3.8682481952900507,-6.619132865889461,0.06649064105220907,0.10532114208031965,0.2606433129246596,0.412858876954853
naive,Aeromonas_B,-3.4188888712942522,-7.168944372851062,0.06577671065051276,0.10825082678897023,0.25784470575001,0.4243432410127633
naive,Arthrobacter,-3.7232079285624247,-6.377481118035558,0.06641292721250873,0.10781429548099747,0.26033867467303423,0.42263203828551005
naive,Bacillus,-3.5796877203019846,-6.692056476224584,0.06634837745036296,0.10727580637807937,0.2600856396054228,0.42052116100207115
naive,Burkholderia,-3.8529717578943217,-6.510691203160812,0.06749958048068154,0.10895701415340799,0.26459835548427163,0.4271114954813593
naive,Buttiauxella,-3.839193069484464,-6.45681289026349,0.06636650004620638,0.107279446968777,0.26015668018112903,0.42053543211760586
naive,Chromobacterium,-3.682083731760034,-6.6230316886709195,0.065930871952231,0.10694430419346365,0.2584490180527455,0.4192216724383775
naive,Chryseobacterium,-4.13308560752627,-7.066136576543749,0.06607003930553673,0.1075085804338174,0.258994554077704,0.4214336353005642
naive,Flavobacterium_A,-3.8985054134239903,-6.508878676785196,0.06631087927862771,0.10550446563806584,0.2599386467722206,0.4135775053012181
naive,Flavobacterium_B,-4.324432322504708,-6.326469511729478,0.06629404507885568,0.10683795549615067,0.25987265670911425,0.41880478554491063
naive,Herbaspirillum,-3.8680167823742084,-7.014777837428677,0.06567250184630745,0.10797889775122332,0.2574362072375252,0.4232772791847954
naive,Pseudomonas,-3.7953841650627522,-6.747198482547328,0.06622380570689955,0.10686323553548117,0.2595973183710462,0.4189038832990862
naive,Serratia,-3.657205526027433,-6.806101710165381,0.06541937727172666,0.1065530831011162,0.25644395890516847,0.4176880857563755
naive,Yersinia,-3.245592237579909,-7.6845013741865635,0.06666684720944675,0.10854116718870906,0.26133404106103125,0.4254813753797395
ar1,Acinetobacter,-4.257423154933412,-6.036477081518231,0.06446413087914003,0.10403920068861328,0.2526993930462289,0.40783366669936405
ar1,Aeromonas_A,-3.869391162764823,-6.616073580632477,0.06738713950059728,0.1052385206282812,0.26415758684234136,0.4125350008628623
ar1,Aeromonas_B,-3.4185588798945816,-7.169781263758631,0.06564605759287044,0.10647100625816758,0.2573325457640521,0.4173663445320169
ar1,Arthrobacter,-3.726182191384716,-6.371400158065286,0.06565208679799688,0.10896182090372154,0.25735618024814777,0.4271303379425884
ar1,Bacillus,-3.579871697376226,-6.688297856234492,0.06265902614683581,0.10223651996542883,0.2456233824955964,0.400767158264481
ar1,Burkholderia,-3.852288857129972,-6.5102230168346615,0.06516095369819967,0.10731644463584497,0.2554309384969427,0.42068046297251227
ar1,Buttiauxella,-3.84023668834508,-6.457769759170691,0.06631937946107144,0.10684394093826244,0.25997196748740004,0.4188282484779888
ar1,Chromobacterium,-3.683964086757671,-6.620900792642494,0.06513210511586931,0.10485195191128042,0.2553178520542077,0.41101965149221925
ar1,Chryseobacterium,-4.13597219423211,-7.06423887254622,0.06605346483664949,0.10613347954977692,0.258929582159666,0.41604323983512553
ar1,Flavobacterium_A,-3.8976464704125138,-6.505841544062142,0.0650866067043808,0.1063333375505971,0.2551394982811727,0.4168266831983406
ar1,Flavobacterium_B,-4.324967608650129,-6.325391931457509,0.06561958211284498,0.10545153570508568,0.25722876188235233,0.41337001996393585
ar1,Herbaspirillum,-3.869850246827794,-7.013934337337659,0.06502307848106742,0.10652880029515811,0.25489046764578427,0.4175928971570198
ar1,Pseudomonas,-3.7957894135019465,-6.747553198396222,0.0667587746606727,0.10792477787172415,0.261694396669837,0.42306512925715867
ar1,Serratia,-3.657818594785688,-6.807377951729954,0.06302277185756268,0.10334719191314437,0.2470492656816457,0.4051209922995259
ar1,Yersinia,-3.2463767924491727,-7.685353914614299,0.06580085658828938,0.10624072909283758,0.25793935782609434,0.41646365804392327
inflate10,Acinetobacter,-4.2585246929080895,-6.036678990515453,0.06644008894540376,0.10878832969488661,0.26044514866598273,0.4264502524039555
inflate10,Aeromonas_A,-3.86932171630126,-6.617388184906195,0.06621247116318242,0.10728019807495384,0.2595528869596751,0.42053837645381903
inflate10,Aeromonas_B,-3.4178597047404318,-7.170864623824854,0.06501195653542813,0.10751949255001161,0.25484686961887826,0.42147641079604553
inflate10,Arthrobacter,-3.7245799716582813,-6.373311408274378,0.06675449094601203,0.10866515591106092,0.26167760450836713,0.4259674111713588
inflate10,Bacillus,-3.5787694917753363,-6.691142736901897,0.06332725454738569,0.10537407127073849,0.2482428378257519,0.4130663593812949
inflate10,Burkholderia,-3.855599236309356,-6.506070680233699,0.06469144602410787,0.10478073059913444,0.25359046841450283,0.41074046394860697
inflate10,Buttiauxella,-3.8376292744536418,-6.458573769249451,0.0635167215240564,0.10563318332380728,0.24898554837430106,0.4140820786293245
inflate10,Chromobacterium,-3.682720192580431,-6.620407247213335,0.06531577675134073,0.10440422092893718,0.25603784486525566,0.40926454604143375
inflate10,Chryseobacterium,-4.1348562867439815,-7.063618401405965,0.0649499939437841,0.10553013055675846,0.25460397625963366,0.41367811178249314
inflate10,Flavobacterium_A,-3.899140286078252,-6.503116198073203,0.06382959495524243,0.106687569196829,0.2502120122245503,0.41821527125156965
inflate10,Flavobacterium_B,-4.317103912944197,-6.328279950545761,0.06455869984558953,0.10664167061222238,0.2530701033947109,0.4180353487999117
inflate10,Herbaspirillum,-3.8687094935921866,-7.0141098016117995,0.0652141562743785,0.10750470031253163,0.25563949259556373,0.421418425225124
inflate10,Pseudomonas,-3.794779610953863,-6.7481057057523115,0.06478517374388228,0.10609127130766549,0.2539578810760185,0.4158777835260487
inflate10,Serratia,-3.6585920822568725,-6.805625424145032,0.06313067567385788,0.10484847722580616,0.2474722486415229,0.4110060307251601
inflate10,Yersinia,-3.2448321087993595,-7.6864820517037025,0.06367462574369999,0.10426789931600593,0.24960453291530396,0.40873016531874323
inflate100,Acinetobacter,-4.25715358107928,-6.035262699847513,0.0606174893462608,0.10782062785348952,0.23762055823734235,0.4226568611856789
inflate100,Aeromonas_A,-3.8665088343619005,-6.617823668618538,0.05971276318129881,0.10882789827182571,0.23407403167069132,0.42660536122555676
inflate100,Aeromonas_B,-3.4182858096219086,-7.1682295182903655,0.05955613499467316,0.10938911746405257,0.23346004917911878,0.4288053404590861
inflate100,Arthrobacter,-3.7193754687987113,-6.379462751380146,0.061922242570376124,0.10967871753754972,0.2427351908758744,0.4299405727471949
inflate100,Bacillus,-3.5767742883890907,-6.691551232555776,0.05659228273319627,0.10480363223034095,0.22184174831412937,0.4108302383429365
inflate100,Burkholderia,-3.854921419877069,-6.5079883138035965,0.05878766000867722,0.10776372753666441,0.23044762723401468,0.4224338119437245
inflate100,Buttiauxella,-3.840336551161842,-6.456074811823198,0.06038540385402845,0.10745921803483256,0.2367107831077915,0.42124013469654364
inflate100,Chromobacterium,-3.684081892574507,-6.619819121110627,0.05886218205987933,0.10474984550376235,0.23073975367472696,0.41061939437474837
inflate100,Chryseobacterium,-4.134981598040626,-7.064147567223948,0.05950533764299572,0.10587172498164697,0.2332609235605432,0.4150171619280561
inflate100,Flavobacterium_A,-3.8975926904717366,-6.504950197630186,0.058841187342021886,0.10576299641866545,0.2306574543807258,0.4145909459611685
inflate100,Flavobacterium_B,-4.265188476251688,-6.3468915885025226,0.06310540749180311,0.10847972124974942,0.2473731973678682,0.4252405072990177
inflate100,Herbaspirillum,-3.868959355765462,-7.014790905378503,0.05941711326210404,0.10802152878742047,0.23291508398744784,0.4234443928466882
inflate100,Pseudomonas,-3.795285212609441,-6.745094816433861,0.058465230452563646,0.10641358922875004,0.2291837033740495,0.41714126977670013
inflate100,Serratia,-3.6592925047313605,-6.799767896238131,0.05744352485999067,0.10662139157602434,0.22517861745116344,0.4179558549780154
inflate100,Yersinia,-3.244852160174258,-7.686219080932192,0.056630516213363624,0.10541473233868036,0.2219916235563854,0.413225750767627
