model,taxon_a,taxon_b,diff_logr,se,z,p,p_holm,resolved_raw,resolved_holm
within-curve only (naive),Acinetobacter,Aeromonas_A,-0.38892046650928247,0.002585659600752222,-150.41441123809858,0,0,TRUE,TRUE
within-curve only (naive),Acinetobacter,Aeromonas_B,-0.8412367592438135,0.0026556976014794603,-316.7667729846838,0,0,TRUE,TRUE
within-curve only (naive),Acinetobacter,Arthrobacter,-0.5334368510434087,0.0025821442714760484,-206.58677244957988,0,0,TRUE,TRUE
within-curve only (naive),Acinetobacter,Bacillus,-0.6791285309498933,0.002322779269648499,-292.3775581364924,0,0,TRUE,TRUE
within-curve only (naive),Acinetobacter,Burkholderia,-0.40426456335748995,0.0023537947035592263,-171.75013723422538,0,0,TRUE,TRUE
within-curve only (naive),Acinetobacter,Buttiauxella,-0.41908742916416486,0.0023464211131631074,-178.6070824257166,0,0,TRUE,TRUE
within-curve only (naive),Acinetobacter,Chromobacterium,-0.5756849978050087,0.002290708249643013,-251.3131027902502,0,0,TRUE,TRUE
within-curve only (naive),Acinetobacter,Chryseobacterium,-0.12380586784136671,0.0023709030336910818,-52.218866010991015,0,0,TRUE,TRUE
within-curve only (naive),Acinetobacter,Flavobacterium_A,-0.3594997566177387,0.0025707005679895993,-139.84505278220064,0,0,TRUE,TRUE
within-curve only (naive),Acinetobacter,Flavobacterium_B,0.06813214091142594,0.002878841727036147,23.666511524956256,7.980793010929802e-124,9.576951613115761e-123,TRUE,TRUE
within-curve only (naive),Acinetobacter,Herbaspirillum,-0.38961678225995255,0.0022231240462768954,-175.25642930831978,0,0,TRUE,TRUE
within-curve only (naive),Acinetobacter,Pseudomonas,-0.4628723596091837,0.0022629470469353982,-204.5440525159569,0,0,TRUE,TRUE
within-curve only (naive),Acinetobacter,Serratia,-0.6009287969728594,0.0022126050688538743,-271.5933382924678,0,0,TRUE,TRUE
within-curve only (naive),Acinetobacter,Yersinia,-1.0139047407858555,0.002009065252953289,-504.6649128471234,0,0,TRUE,TRUE
within-curve only (naive),Aeromonas_A,Aeromonas_B,-0.452316292734531,0.0025554273650408104,-177.00221063700923,0,0,TRUE,TRUE
within-curve only (naive),Aeromonas_A,Arthrobacter,-0.14451638453412619,0.0024789006245132606,-58.29857925930468,0,0,TRUE,TRUE
within-curve only (naive),Aeromonas_A,Bacillus,-0.29020806444061087,0.002207438063231781,-131.46827051434195,0,0,TRUE,TRUE
within-curve only (naive),Aeromonas_A,Burkholderia,-0.015344096848207478,0.0022400510650427427,-6.849887079656684,7.390830469037178e-12,1.4781660938074357e-11,TRUE,TRUE
within-curve only (naive),Aeromonas_A,Buttiauxella,-0.03016696265488239,0.0022323017958585387,-13.513837022775963,1.2958736072816273e-41,7.775241643689764e-41,TRUE,TRUE
within-curve only (naive),Aeromonas_A,Chromobacterium,-0.18676453129572623,0.002173665924763559,-85.92145148341578,0,0,TRUE,TRUE
within-curve only (naive),Aeromonas_A,Chryseobacterium,0.26511459866791576,0.0022580213600985346,117.41013763321831,0,0,TRUE,TRUE
within-curve only (naive),Aeromonas_A,Flavobacterium_A,0.029420709891543773,0.002466978045657827,11.925809369616282,8.683595237566253e-33,4.341797618783127e-32,TRUE,TRUE
within-curve only (naive),Aeromonas_A,Flavobacterium_B,0.4570526074207084,0.0027866124518526303,164.01728454089303,0,0,TRUE,TRUE
within-curve only (naive),Aeromonas_A,Herbaspirillum,-6.963157506700846e-4,0.002102322475889514,-0.33121262729946616,0.7404838828195708,0.7404838828195708,FALSE,FALSE
within-curve only (naive),Aeromonas_A,Pseudomonas,-0.07395189309990124,0.0021443900309247154,-34.4862138106524,1.2910587433333714e-260,2.3239057380000684e-259,TRUE,TRUE
within-curve only (naive),Aeromonas_A,Serratia,-0.21200833046357692,0.0020911959396989845,-101.38138011787373,0,0,TRUE,TRUE
within-curve only (naive),Aeromonas_A,Yersinia,-0.624984274276573,0.0018745192605358644,-333.410430841831,0,0,TRUE,TRUE
within-curve only (naive),Aeromonas_B,Arthrobacter,0.3077999082004048,0.002551870389685544,120.61737517881292,0,0,TRUE,TRUE
within-curve only (naive),Aeromonas_B,Bacillus,0.16210822829392013,0.002289077758082083,70.81813962918562,0,0,TRUE,TRUE
within-curve only (naive),Aeromonas_B,Burkholderia,0.4369721958863235,0.002320543676283803,188.3059562085492,0,0,TRUE,TRUE
within-curve only (naive),Aeromonas_B,Buttiauxella,0.4221493300796486,0.0023130640906241394,182.50654263788215,0,0,TRUE,TRUE
within-curve only (naive),Aeromonas_B,Chromobacterium,0.26555176143880477,0.002256527804397685,117.68158181843727,0,0,TRUE,TRUE
within-curve only (naive),Aeromonas_B,Chryseobacterium,0.7174308914024468,0.002337895344578721,306.8704050701315,0,0,TRUE,TRUE
within-curve only (naive),Aeromonas_B,Flavobacterium_A,0.4817370026260748,0.0025402903096495345,189.63856248876394,0,0,TRUE,TRUE
within-curve only (naive),Aeromonas_B,Flavobacterium_B,0.9093689001552394,0.0028517193298713234,318.8844324999797,0,0,TRUE,TRUE
within-curve only (naive),Aeromonas_B,Herbaspirillum,0.4516199769838609,0.0021878880163691736,206.41823237979506,0,0,TRUE,TRUE
within-curve only (naive),Aeromonas_B,Pseudomonas,0.37836439963462976,0.0022283408142092895,169.79646794688793,0,0,TRUE,TRUE
within-curve only (naive),Aeromonas_B,Serratia,0.24030796227095408,0.002177198805289755,110.3748365501112,0,0,TRUE,TRUE
within-curve only (naive),Aeromonas_B,Yersinia,-0.172667981542042,0.001970004222752211,-87.64853371776775,0,0,TRUE,TRUE
within-curve only (naive),Arthrobacter,Bacillus,-0.14569167990648468,0.0022033193755692584,-66.12372292548065,0,0,TRUE,TRUE
within-curve only (naive),Arthrobacter,Burkholderia,0.1291722876859187,0.0022359924511843863,57.76955446226898,0,0,TRUE,TRUE
within-curve only (naive),Arthrobacter,Buttiauxella,0.1143494218792438,0.002228229067117582,51.31852176543287,0,0,TRUE,TRUE
within-curve only (naive),Arthrobacter,Chromobacterium,-0.04224814676160005,0.0021694831228273362,-19.473830571468554,1.8305685345427754e-84,1.8305685345427754e-83,TRUE,TRUE
within-curve only (naive),Arthrobacter,Chryseobacterium,0.40963098320204194,0.0022539951043459854,181.73552480758366,0,0,TRUE,TRUE
within-curve only (naive),Arthrobacter,Flavobacterium_A,0.17393709442566996,0.0024632933535233157,70.61160384202027,0,0,TRUE,TRUE
within-curve only (naive),Arthrobacter,Flavobacterium_B,0.6015689919548346,0.0027833509344986594,216.1312051953628,0,0,TRUE,TRUE
within-curve only (naive),Arthrobacter,Herbaspirillum,0.1438200687834561,0.0020979974405095567,68.55111736863007,0,0,TRUE,TRUE
within-curve only (naive),Arthrobacter,Pseudomonas,0.07056449143422494,0.002140150011677624,32.97175013395941,2.0641911431083233e-238,3.5091249432841495e-237,TRUE,TRUE
within-curve only (naive),Arthrobacter,Serratia,-0.06749194592945074,0.0020868478444697283,-32.34157493001152,1.8223978700062408e-229,2.915836592009985e-228,TRUE,TRUE
within-curve only (naive),Arthrobacter,Yersinia,-0.4804678897424468,0.0018696673302687717,-256.9804167639693,0,0,TRUE,TRUE
within-curve only (naive),Bacillus,Burkholderia,0.2748639675924034,0.0019306726129890075,142.36694804867383,0,0,TRUE,TRUE
