bin,frac_window_mid,n,mean_resid_sd,median_resid_sd
1,0.05,835,-0.06195679393109626,-0.06053887920722234
2,0.15,798,0.009027886396676857,0.017468854843913927
3,0.25,796,0.03711463939387817,0.01975148840679493
4,0.35,799,0.017995586621295207,0.028207971772542473
5,0.45,805,0.04524081037631721,0.07684646358898901
6,0.55,786,0.0010761944377047203,-5.012894342092362e-4
7,0.65,790,0.014231359652689042,-0.0024841785175438846
8,0.75,795,-0.057120259284935235,-0.09431380979800441
9,0.85,797,-0.03302400981550694,9.685478179754069e-4
10,0.95,834,0.02857454691364015,0.02274009563089429
