Taxon,Replicate,model,converged,k,AIC,BIC,rss,sigma,r,K,O2_0,extra1,extra2,at_bounds,R_C_fg_cell_h,late_mean_sd
Acinetobacter,R1,M0,TRUE,3,-1158.6310835372929,-1147.7215322624436,2.1720735046483217e-4,0.001405208979815109,0.01943645650227968,0.001561543060916622,1.0010946527484395,NA,NA,,446.0850010291451,0.028268847857231844
Acinetobacter,R1,M1,TRUE,4,-1156.631261268757,-1142.9943221751953,2.1720700883164553e-4,0.0014116390656490321,0.01943631354789283,0.0015619857024932622,1.001073837026636,0.013988834681242483,NA,,446.07463761098325,0.028323340439304998
Acinetobacter,R1,M2o,TRUE,4,-1156.6275738326356,-1142.9906347390738,2.172140968850836e-4,0.0014116620982656104,0.019439694352169832,0.001561171207628231,1.0010803254508749,1e-6,NA,Km@lower,445.97807265766534,0.027179660674719712
Acinetobacter,R1,M2g,TRUE,4,-1156.5800931296494,-1142.9431540360877,2.173053857797497e-4,0.0014119587077796461,0.01944847535925706,0.0015610400636098486,1.0010859698737942,6350.651429401528,NA,,445.6664820560407,0.029790853050644238
Acinetobacter,R1,M3o,TRUE,5,-1154.2348424716215,-1137.8705155593475,2.1797033760726704e-4,0.0014206491004938391,0.019433486254451265,0.0015796534421332945,1.0002134086919605,1e-6,0.5798579566659658,Km@lower,445.5546681867559,0.030031291668258082
Acinetobacter,R1,M3g,TRUE,5,-1154.5612230026502,-1138.1968960903762,2.173416771304485e-4,0.001418598934298571,0.019451679686147177,0.00156206255800281,1.0010314255686428,4758.966539976173,0.0359563536646479,,445.5151483233938,0.030920622257546035
Acinetobacter,R2,M0,TRUE,3,-1216.3368071022883,-1205.2881113630972,1.954667467548379e-4,0.0013094352162549905,0.01419457550388129,0.00217763559219332,1.0014300304492791,NA,NA,,363.01950926416504,-0.03169728783938761
Acinetobacter,R2,M1,TRUE,4,-1214.2978910645327,-1200.487021390544,1.9553177287882117e-4,0.0013154351643064712,0.014185558654559859,0.0021790463232401994,1.0014766781118336,0,NA,tlag@lower,363.2546830894726,-0.03325938475976575
Acinetobacter,R2,M2o,TRUE,4,-1215.391574719074,-1201.5807050450853,1.937125121424893e-4,0.0013093013476507547,0.014347863059238559,0.002192429869925544,1.001236380393646,0.01204453076422035,NA,,358.58998452700826,0.009220916942612012
Acinetobacter,R2,M2g,TRUE,4,-1214.8213650746277,-1201.010495400639,1.9465889112301718e-4,0.0013124957349210675,0.014432402862346587,0.0021667830467546564,1.0012648508857198,163.64832998670525,NA,,356.50975356386255,-0.005209397944668326
Acinetobacter,R2,M3o,TRUE,5,-1213.3543651712025,-1196.781321562416,1.937741283928269e-4,0.0013153425965749478,0.01434098742328183,0.0021940024243524772,1.001278257214601,0.012199191699546297,0,tlag@lower,358.7609137097027,0.007945737179382817
Acinetobacter,R2,M3g,TRUE,5,-1212.5489345040219,-1195.9758908952354,1.9511267591976655e-4,0.0013198778214552074,0.014599023922793936,0.0021598893916047503,1.0011785656378631,96.15403916292509,0,tlag@lower,351.998244257222,0.012059635128508349
Acinetobacter,R3,M0,TRUE,3,-903.095493376614,-893.1409478976854,1.8665123944576963e-4,0.0014732152759761264,0.014944084683788508,0.002406378759503797,1.003047955808978,NA,NA,,468.219253996305,-0.062133180392780346
Acinetobacter,R3,M1,TRUE,4,-901.972309438338,-889.5291275896773,1.848214049141138e-4,0.0014745743350464938,0.014922667881907225,0.0024304163620364173,1.0017452462570327,0.5804117546035762,NA,,467.31771936950196,-0.05979223226766456
Acinetobacter,R3,M2o,TRUE,4,-901.0898664831176,-888.6466846344568,1.8666304056764397e-4,0.00148190275368664,0.014952239050605992,0.0024053331482106676,1.0030239768622562,1e-6,NA,Km@lower,468.01519138051054,-0.0618908641594624
Acinetobacter,R3,M2g,TRUE,4,-901.0730660608176,-888.6298842121569,1.8669828004988065e-4,0.0014820426287823194,0.014960769105110428,0.002405875248943757,1.0030427503836834,1921.5688401168745,NA,,467.78900194430804,-0.061451141667142654
Acinetobacter,R3,M3o,TRUE,5,-899.9697646617507,-885.0379464433578,1.848266895872397e-4,0.0014833468013857802,0.014919757046352684,0.0024318587547664176,1.0016850439583742,1.13600661102831e-6,0.6093868740718006,Km@lower,467.3175551781399,-0.05989776552852713
Acinetobacter,R3,M3g,TRUE,5,-899.9548621902168,-885.0230439718239,1.848576402062757e-4,0.0014834709949749115,0.01493231131821046,0.0024300884387771942,1.0017466307270178,3222.9996290125687,0.5787931882507363,,467.073483366241,-0.0593868963284485
Acinetobacter,R4,M0,TRUE,3,-1106.2787907055576,-1095.58747536771,1.8803758294508495e-4,0.0013446388668204852,0.01352010924335995,0.00308040752868794,1.0051878354610433,NA,NA,,426.77834247518285,0.023738310448480907
Acinetobacter,R4,M1,TRUE,4,-1106.477038856131,-1093.1128946838214,1.8421388055899447e-4,0.0013373422438821675,0.013491784373251747,0.0031383367006822724,1.001628670979039,1.228444898048235,NA,,425.40915706202355,0.032437524253367496
Acinetobacter,R4,M2o,TRUE,4,-1106.9741748878714,-1093.6100307155618,1.8335998390648983e-4,0.00133423911594197,0.013748140096235668,0.003096829346692283,1.004864281463788,0.012481307369784698,NA,,419.8010758777885,0.09129250298022688
Acinetobacter,R4,M2g,TRUE,4,-1107.2232199997861,-1093.8590758274765,1.8293370534737185e-4,0.0013326872820440872,0.014197012442404776,0.0030458476513164543,1.0047389435007055,49.21664983851859,NA,,407.64674559694794,0.0905945000914263
Acinetobacter,R4,M3o,TRUE,5,-1105.8712345193899,-1089.8342615126185,1.8182916835712988e-4,0.0013351550117728119,0.013661183086978178,0.0031469128910621745,1.0016286660045288,0.009042915481068189,1.1494723765562604,,420.3853148483475,0.08102531500262741
Acinetobacter,R4,M3g,TRUE,5,-1105.712814197349,-1089.6758411905776,1.820985774232719e-4,0.0013361437687675647,0.013950660569328721,0.003110528269553621,1.0016286627768756,70.47956949864627,1.1287076165709493,,412.59096381259616,0.07619586140379558
Acinetobacter,R5,M0,TRUE,3,-1236.3033557807303,-1225.1533888096021,2.2050725632104438e-4,0.0013728355343788894,0.010184910396164598,0.00306797048226076,1.0037568611783563,NA,NA,,381.8507003650926,-0.0428414789003498
Acinetobacter,R5,M1,TRUE,4,-1228.3888536201005,-1214.4513949061902,2.3164780141414e-4,0.0014131396977278326,0.010166573469764866,0.0031066949976459647,1.0005892872113138,1.0890208067444622,NA,,380.6035826249345,-0.0373074377538654
Acinetobacter,R5,M2o,TRUE,4,-1235.6944744247594,-1221.7570157108491,2.1796575154967496e-4,0.0013707717167953837,0.010340147322135167,0.0030833194520194364,1.003519316922152,0.010012811830921925,NA,,377.2199678825856,0.0013543744287563622
Acinetobacter,R5,M2g,TRUE,4,-1236.2369235373799,-1222.2994648234696,2.1698268076059522e-4,0.0013676769908806837,0.010743528955223113,0.0030411766133813405,1.003390805568978,38.90900787664248,NA,,366.44508935409067,0.004394168633715311
Acinetobacter,R5,M3o,TRUE,5,-1227.0335931769214,-1210.308642720229,2.3040653478369246e-4,0.001415462851888239,0.010279241428088262,0.0031157622093996905,1.0005892686976696,0.007110231822013445,1.0315382275935052,,377.34791597145306,-0.006948041584779673
Acinetobacter,R5,M3g,TRUE,5,-1227.2313562830861,-1210.5064058263938,2.3002713156939348e-4,0.001414296972594645,0.010564125510697417,0.003084743219112987,1.0005895324112557,53.38346672828463,1.0021006834885837,,369.769591622891,-0.005482350681261872
Aeromonas_A,R1,M0,TRUE,3,-1106.9223288014468,-1096.2685724249986,1.678276245467565e-4,0.0012764773453043754,0.02152182973967399,0.0011301797926042852,1.0004707258754904,NA,NA,,161.86684643534963,0.04977904909329566
Aeromonas_A,R1,M1,TRUE,4,-1105.0696391614351,-1091.7524436908748,1.6759455306666272e-4,0.0012818283245406665,0.021516712643326778,0.0011412732979310168,0.9999999980803974,0.4358819513139212,NA,,161.75196135379906,0.051217320163921456
Aeromonas_A,R1,M2o,TRUE,4,-1104.9222703965381,-1091.6050749259778,1.678277170180751e-4,0.0012827196789193696,0.021521367245297317,0.0011302166351676872,1.0004721691968568,1e-6,NA,Km@lower,161.87190808023772,0.049597028412721546
Aeromonas_A,R1,M2g,TRUE,4,-1104.9166600444837,-1091.5994645739233,1.6783660001331208e-4,0.0012827536251656469,0.02152563080489433,0.0011300670764150494,1.000468836734022,23738.184824991888,NA,,161.82143631829305,0.050145943439404275
Aeromonas_A,R1,M3o,TRUE,5,-1103.0695839857085,-1087.0889494210362,1.6759464030396135e-4,0.0012881587147151733,0.021516668997251756,0.0011411381906331378,1.0000066294846695,1e-6,0.4302298657279329,Km@lower,161.75458772069558,0.050938855372017505
Aeromonas_A,R1,M3g,TRUE,5,-1103.0538130366824,-1087.0731784720101,1.6761957731494757e-4,0.0012882545460410845,0.021524803908598285,0.0011416119472938075,0.9999711199862876,10660.77135302564,0.45875697139005384,,161.64609560467267,0.052086496305623765
Aeromonas_A,R2,M0,TRUE,3,-1125.2889249731359,-1114.4149294879555,2.64404796005917e-4,0.0015574761871209395,0.01990585449241123,0.00163003554620612,1.001510598054952,NA,NA,,114.42383839458297,0.0030124236203560215
Aeromonas_A,R2,M1,TRUE,4,-1123.2881697780854,-1109.6956754216098,2.644065788440105e-4,0.0015646753859412717,0.019907257847778935,0.0016298604873058165,1.0015047065792522,0,NA,tlag@lower,114.41154975991824,9.376783943194099e-4
Aeromonas_A,R2,M2o,TRUE,4,-1123.287795136518,-1109.6953007800425,2.6440746328919556e-4,0.0015646780028739896,0.01990777373137577,0.0016298066427507143,1.0015013994534996,1e-6,NA,Km@lower,114.40758253495979,0.002382698980790316
Aeromonas_A,R2,M2g,TRUE,4,-1123.2692502252146,-1109.676755868739,2.6445124738678144e-4,0.0015648075475881106,0.019910303014816767,0.0016298388770207796,1.0015071641001638,18061.660174072524,NA,,114.38432931836893,0.0035511712388074097
