Taxon,Temperature,Replicate,r_per_hour,K,N0_cells_per_mL,mu_per_hr,q_default,q_fixed
Pseudomonas,20,R1,0.5726486838577678,0.00137614821796345,845057.6003425607,0.5726486838577678,3.882778256317351,5.9657659562651135
Pseudomonas,20,R2,0.5802702925238846,0.00126722645261647,849901.9565696628,0.5802702925238846,3.828545151239306,5.916160027006512
Pseudomonas,20,R3,0.5725093879508935,0.00146067060426748,844969.3201554412,0.5725093879508935,4.187019383004887,6.432550766427808
Pseudomonas,20,R4,0.5741868291100708,0.0013432667502464,846033.0288678348,0.5741868291100708,3.785634105887418,5.823220888707836
Pseudomonas,24,R1,0.8090632198921877,0.00132341436475659,1009000.6788474052,0.8090632198921877,3.3897192952050914,6.21859830902561
Pseudomonas,24,R2,0.8139885807651237,0.0017688430229445,1012734.8409854108,0.8139885807651237,4.075138491942769,7.503699513874886
Pseudomonas,24,R3,0.8141747744944414,0.0013729755037326,1012876.2745180846,0.8141747744944414,3.265139148328372,6.013058138803624
Pseudomonas,24,R4,0.8391902414289837,0.00145281865752332,1032058.839358258,0.8391902414289837,3.300045462079051,6.192438344405075
Pseudomonas,28,R1,1.0514418186711616,0.00349821758134638,1210150.053706723,1.0514418186711616,6.355800742059256,13.98449565336771
Pseudomonas,28,R2,1.182592473256797,0.00302533142724225,1335235.0639092538,1.182592473256797,4.926295658905899,11.959568543554724
Pseudomonas,28,R3,1.1452348768546026,0.00325539302828602,1298343.416528718,1.1452348768546026,5.526789903564919,13.046675065147094
Pseudomonas,28,R4,1.2321637600114157,0.00308863375987287,1385811.403853044,1.2321637600114157,4.99694505291812,12.590588070474515
Pseudomonas,32,R1,1.4274509936332949,0.00459884942339724,1604402.2294045377,1.4274509936332949,5.680985343269956,16.57197372719422
Pseudomonas,32,R2,1.4049654947760877,0.00484683198547889,1577572.2588739377,1.4049654947760877,6.509205657128139,18.670440494528457
Pseudomonas,32,R3,1.4814432584716328,0.00463576746921008,1670704.5824298258,1.4814432584716328,5.372872352551108,16.320877200395735
Pseudomonas,32,R4,1.5133129605200448,0.00416915701428005,1711119.303162516,1.5133129605200448,4.736899412436846,14.737090948654304
Pseudomonas,36,R1,1.389851585676914,0.00714033420239632,1559790.7669281848,1.389851585676914,8.253524339970784,23.4068564729154
Pseudomonas,36,R2,1.5099162580603849,0.00648073834566715,1706765.728581725,1.5099162580603849,6.934649728573578,21.51967726626899
Pseudomonas,36,R3,1.4404331772238128,0.00681956769524196,1620100.0104140087,1.4404331772238128,7.378755258406764,21.735129947249494
Pseudomonas,36,R4,1.378823907939661,0.00701013491705643,1546943.3168053613,1.378823907939661,8.109876568730716,22.810035196571594
Pseudomonas,40,R1,0.5370271749031724,0.00578342938579194,822779.8429840353,0.5370271749031724,12.501386113606623,18.701615461156464
Pseudomonas,40,R2,0.446798206819556,0.00570201043481073,768943.0682970585,0.446798206819556,14.11152580179986,19.72901808798017
Pseudomonas,40,R3,0.4055764966091578,0.00547148564886049,745533.9333070467,0.4055764966091578,12.522257246373773,16.974123088675828
Pseudomonas,40,R4,0.5034781760670339,0.00571827188122494,802335.5487085666,0.5034781760670339,12.540824003147911,18.29445255967862
